,9,10
2020-11-28,7,0
2020-11-29,7,0
2020-11-30,7,0
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,7,7
2020-12-05,7,7
2020-12-06,7,7
2020-12-07,7,7
2020-12-08,7,7
2020-12-09,7,7
2020-12-10,7,7
2020-12-11,7,7
2020-12-12,7,7
2020-12-13,7,7
2020-12-14,14,14
2020-12-15,14,21
2020-12-16,14,21
2020-12-17,14,21
2020-12-18,14,28
2020-12-19,14,35
2020-12-20,14,35
2020-12-21,14,42
2020-12-22,21,49
2020-12-23,21,49
2020-12-24,21,63
2020-12-25,21,63
2020-12-26,21,63
2020-12-27,21,63
2020-12-28,21,63
2020-12-29,21,70
2020-12-30,28,70
2020-12-31,28,70
2021-01-01,63,112
2021-01-02,63,112
2021-01-03,70,119
2021-01-04,70,133
2021-01-05,77,189
2021-01-06,91,245
2021-01-07,112,329
2021-01-08,126,406
2021-01-09,126,427
2021-01-10,126,427
2021-01-11,133,497
2021-01-12,161,623
2021-01-13,203,756
2021-01-14,238,959
2021-01-15,273,1141
2021-01-16,273,1197
2021-01-17,273,1225
2021-01-18,350,1561
2021-01-19,490,1981
2021-01-20,644,2443
2021-01-21,945,2870
2021-01-22,1169,3213
2021-01-23,1253,3311
2021-01-24,1302,3325
2021-01-25,1638,3710
2021-01-26,2009,4256
2021-01-27,2408,4739
2021-01-28,2898,5173
2021-01-29,3514,5544
2021-01-30,3675,5614
2021-01-31,3738,5642
2021-02-01,4501,6083
2021-02-02,5397,6524
2021-02-03,6293,6930
2021-02-04,7273,7350
2021-02-05,8330,7728
2021-02-06,8589,7861
2021-02-07,8652,7882
2021-02-08,9856,8323
2021-02-09,11242,8876
2021-02-10,12159,9261
2021-02-11,12922,9632
2021-02-12,13503,9870
2021-02-13,13580,9891
2021-02-14,13601,9898
2021-02-15,13874,10038
2021-02-16,14147,10171
2021-02-17,14378,10297
2021-02-18,14581,10395
2021-02-19,14707,10472
2021-02-20,14721,10479
2021-02-21,14721,10479
2021-02-22,14924,10570
2021-02-23,15099,10675
2021-02-24,15309,10787
2021-02-25,15442,10857
2021-02-26,15568,10920
2021-02-27,15589,10927
2021-02-28,15596,10927
2021-03-01,15736,11004
2021-03-02,15925,11109
2021-03-03,16100,11221
2021-03-04,16282,11333
2021-03-05,16443,11417
2021-03-06,16457,11424
2021-03-07,16464,11424
2021-03-08,16702,11571
2021-03-09,16968,11683
2021-03-10,17157,11767
2021-03-11,17479,11879
2021-03-12,17619,11928
2021-03-13,17626,11935
2021-03-14,17633,11935
2021-03-15,17794,12019
2021-03-16,17941,12089
2021-03-17,18095,12145
2021-03-18,18214,12229
2021-03-19,18319,12285
2021-03-20,18340,12306
2021-03-21,18340,12306
2021-03-22,18480,12369
2021-03-23,18620,12439
2021-03-24,18788,12551
2021-03-25,18914,12600
2021-03-26,18977,12642
2021-03-27,19012,12649
2021-03-28,19012,12649
2021-03-29,19068,12670
2021-03-30,19173,12719
2021-03-31,19250,12761
2021-04-01,19390,12796
2021-04-02,19397,12796
2021-04-03,19397,12803
2021-04-04,19397,12803
2021-04-05,19404,12803
2021-04-06,19446,12824
2021-04-07,19495,12866
2021-04-08,19537,12887
2021-04-09,19593,12908
2021-04-10,19593,12908
2021-04-11,19593,12908
2021-04-12,19628,12929
2021-04-13,19649,12950
2021-04-14,19677,12971
2021-04-15,19726,12985
2021-04-16,19768,13013
2021-04-17,19775,13013
2021-04-18,19775,13020
2021-04-19,19810,13027
2021-04-20,19838,13048
2021-04-21,19894,13083
2021-04-22,19929,13090
2021-04-23,19957,13104
2021-04-24,19964,13111
2021-04-25,19964,13111
2021-04-26,19978,13125
2021-04-27,20013,13146
2021-04-28,20041,13153
2021-04-29,20069,13160
2021-04-30,20097,13174
2021-05-01,20097,13181
2021-05-02,20097,13181
2021-05-03,20097,13181
2021-05-04,20118,13195
2021-05-05,20139,13209
2021-05-06,20188,13223
2021-05-07,20216,13230
2021-05-08,20216,13230
2021-05-09,20223,13230
2021-05-10,20258,13244
2021-05-11,20300,13265
2021-05-12,20335,13293
2021-05-13,20356,13307
2021-05-14,20370,13328
2021-05-15,20377,13335
2021-05-16,20377,13335
2021-05-17,20391,13342
2021-05-18,20433,13356
2021-05-19,20482,13363
2021-05-20,20489,13370
2021-05-21,20503,13384
2021-05-22,20510,13384
2021-05-23,20510,13384
2021-05-24,20559,13412
2021-05-25,20566,13426
2021-05-26,20601,13454
total,1203363,867874
