,11,12
2020-11-28,7,7
2020-11-29,7,7
2020-11-30,7,7
2020-12-01,14,14
2020-12-02,14,14
2020-12-03,14,14
2020-12-04,14,14
2020-12-05,14,14
2020-12-06,14,14
2020-12-07,14,14
2020-12-08,14,28
2020-12-09,63,77
2020-12-10,126,182
2020-12-11,224,287
2020-12-12,266,315
2020-12-13,273,322
2020-12-14,357,427
2020-12-15,448,546
2020-12-16,581,679
2020-12-17,693,805
2020-12-18,805,945
2020-12-19,819,973
2020-12-20,833,994
2020-12-21,889,1071
2020-12-22,945,1134
2020-12-23,1036,1232
2020-12-24,1085,1302
2020-12-25,1085,1302
2020-12-26,1085,1302
2020-12-27,1092,1302
2020-12-28,1092,1309
2020-12-29,1127,1351
2020-12-30,1155,1386
2020-12-31,1190,1435
2021-01-01,1211,1456
2021-01-02,1232,1477
2021-01-03,1232,1484
2021-01-04,1330,1610
2021-01-05,1484,1841
2021-01-06,1624,2002
2021-01-07,1806,2177
2021-01-08,1981,2373
2021-01-09,2037,2457
2021-01-10,2058,2471
2021-01-11,2289,2765
2021-01-12,2541,3038
2021-01-13,2835,3339
2021-01-14,3129,3619
2021-01-15,3388,3843
2021-01-16,3465,3892
2021-01-17,3493,3927
2021-01-18,3913,4312
2021-01-19,4249,4648
2021-01-20,4494,4921
2021-01-21,4690,5152
2021-01-22,4858,5341
2021-01-23,4879,5362
2021-01-24,4900,5383
2021-01-25,5187,5684
2021-01-26,5551,6013
2021-01-27,5803,6272
2021-01-28,5964,6461
2021-01-29,6132,6629
2021-01-30,6153,6643
2021-01-31,6160,6650
2021-02-01,6363,6888
2021-02-02,6636,7105
2021-02-03,6832,7294
2021-02-04,7007,7462
2021-02-05,7217,7693
2021-02-06,7259,7735
2021-02-07,7273,7756
2021-02-08,7497,8001
2021-02-09,7735,8302
2021-02-10,7945,8505
2021-02-11,8120,8687
2021-02-12,8218,8813
2021-02-13,8225,8820
2021-02-14,8232,8827
2021-02-15,8302,8904
2021-02-16,8372,8974
2021-02-17,8428,9051
2021-02-18,8498,9107
2021-02-19,8540,9163
2021-02-20,8547,9163
2021-02-21,8547,9170
2021-02-22,8596,9212
2021-02-23,8659,9303
2021-02-24,8701,9359
2021-02-25,8736,9408
2021-02-26,8771,9450
2021-02-27,8778,9457
2021-02-28,8778,9457
2021-03-01,8827,9499
2021-03-02,8883,9548
2021-03-03,8953,9618
2021-03-04,9016,9681
2021-03-05,9058,9737
2021-03-06,9058,9751
2021-03-07,9072,9751
2021-03-08,9135,9793
2021-03-09,9205,9856
2021-03-10,9261,9912
2021-03-11,9324,9968
2021-03-12,9352,9989
2021-03-13,9352,9996
2021-03-14,9352,9996
2021-03-15,9408,10059
2021-03-16,9464,10101
2021-03-17,9513,10136
2021-03-18,9541,10171
2021-03-19,9583,10199
2021-03-20,9590,10199
2021-03-21,9590,10199
2021-03-22,9632,10227
2021-03-23,9660,10262
2021-03-24,9744,10311
2021-03-25,9779,10346
2021-03-26,9800,10360
2021-03-27,9800,10360
2021-03-28,9807,10360
2021-03-29,9814,10381
2021-03-30,9849,10423
2021-03-31,9870,10437
2021-04-01,9891,10458
2021-04-02,9891,10458
2021-04-03,9891,10458
2021-04-04,9891,10458
2021-04-05,9891,10458
2021-04-06,9898,10472
2021-04-07,9919,10486
2021-04-08,9919,10500
2021-04-09,9933,10514
2021-04-10,9933,10514
2021-04-11,9933,10514
2021-04-12,9947,10521
2021-04-13,9961,10542
2021-04-14,9968,10549
2021-04-15,9975,10570
2021-04-16,9982,10577
2021-04-17,9982,10577
2021-04-18,9982,10577
2021-04-19,9989,10584
2021-04-20,9996,10591
2021-04-21,10003,10605
2021-04-22,10010,10612
2021-04-23,10024,10626
2021-04-24,10031,10626
2021-04-25,10031,10626
2021-04-26,10031,10640
2021-04-27,10038,10654
2021-04-28,10045,10661
2021-04-29,10052,10661
2021-04-30,10059,10668
2021-05-01,10059,10668
2021-05-02,10059,10668
2021-05-03,10059,10668
2021-05-04,10066,10675
2021-05-05,10073,10675
2021-05-06,10080,10689
2021-05-07,10080,10696
2021-05-08,10087,10696
2021-05-09,10087,10696
2021-05-10,10087,10710
2021-05-11,10094,10717
2021-05-12,10108,10717
2021-05-13,10115,10724
2021-05-14,10115,10738
2021-05-15,10115,10738
2021-05-16,10115,10738
2021-05-17,10122,10745
2021-05-18,10143,10759
2021-05-19,10150,10759
2021-05-20,10150,10766
2021-05-21,10157,10773
2021-05-22,10157,10773
2021-05-23,10157,10773
2021-05-24,10171,10787
2021-05-25,10192,10787
2021-05-26,10206,10801
total,588028,524972
