,0,1,2,3
2020-11-28,23701979,10089506,6316184,8070986
2020-11-29,23701979,10089492,6316177,8070972
2020-11-30,23701972,10089471,6316177,8070965
2020-12-01,23701860,10089338,6316156,8070930
2020-12-02,23701853,10089324,6316149,8070923
2020-12-03,23701853,10089317,6316142,8070923
2020-12-04,23701846,10089303,6316135,8070909
2020-12-05,23701832,10089296,6316128,8070909
2020-12-06,23701825,10089289,6316128,8070902
2020-12-07,23701825,10089261,6316128,8070888
2020-12-08,23700348,10087091,6315141,8069775
2020-12-09,23697478,10083731,6313517,8067710
2020-12-10,23693901,10078929,6311620,8065547
2020-12-11,23690100,10074113,6309583,8063202
2020-12-12,23686460,10070949,6307833,8061263
2020-12-13,23684262,10069234,6306944,8059975
2020-12-14,23680587,10063900,6305397,8057784
2020-12-15,23674567,10017546,6302471,8053822
2020-12-16,23667175,9936563,6299125,8048985
2020-12-17,23658467,9859899,6295037,8042727
2020-12-18,23649493,9802135,6290872,8036574
2020-12-19,23641800,9729951,6287554,8031331
2020-12-20,23631888,9674539,6283249,8024219
2020-12-21,23619491,9638594,6277761,8015602
2020-12-22,23607766,9577029,6272553,8007713
2020-12-23,23593661,9526699,6266491,7998599
2020-12-24,23586668,9513840,6263656,7994266
2020-12-25,23586556,9513777,6263607,7994231
2020-12-26,23585632,9513623,6263341,7993832
2020-12-27,23583238,9513126,6262585,7992684
2020-12-28,23579073,9511936,6261276,7990689
2020-12-29,23567208,9489494,6256684,7984193
2020-12-30,23544717,9427810,6247122,7970788
2020-12-31,23523892,9381561,6238456,7958321
2021-01-01,23517669,9370193,6235873,7954555
2021-01-02,23509472,9356627,6232912,7950208
2021-01-03,23503053,9352693,6230770,7946897
2021-01-04,23490607,9347877,6226773,7940436
2021-01-05,23467962,9333002,6218982,7927801
2021-01-06,23437575,9302923,6208461,7910469
2021-01-07,23397206,9182565,6193334,7886039
2021-01-08,23352763,9025611,6175610,7859418
2021-01-09,23315278,8891960,6160462,7837228
2021-01-10,23289553,8834658,6151649,7823431
2021-01-11,23253167,8790782,6138839,7803775
2021-01-12,23209501,8701133,6123124,7779408
2021-01-13,23161075,8546902,6104546,7752017
2021-01-14,23108897,8368493,6083483,7722008
2021-01-15,23049852,8156925,6058787,7688849
2021-01-16,23001888,7965965,6039747,7662263
2021-01-17,22969051,7883064,6027882,7644252
2021-01-18,22926078,7814912,6011936,7621341
2021-01-19,22878688,7616637,5991251,7595889
2021-01-20,22826300,7408891,5965526,7568365
2021-01-21,22772393,7168805,5935160,7538972
2021-01-22,22714461,6834016,5896142,7506737
2021-01-23,22667932,6496980,5857446,7480753
2021-01-24,22640821,6374130,5837797,7465262
2021-01-25,22606360,6260520,5816377,7446691
2021-01-26,22567265,6123124,5788916,7425320
2021-01-27,22527225,5984748,5756891,7403571
2021-01-28,22487472,5757913,5712889,7381479
2021-01-29,22443890,5412925,5657246,7357021
2021-01-30,22409527,5073453,5600700,7337022
2021-01-31,22384915,4878188,5563068,7322294
2021-02-01,22359596,4694529,5525723,7307027
2021-02-02,22331561,4489940,5478865,7289268
2021-02-03,22301461,4241944,5413065,7269619
2021-02-04,22270633,3979472,5338158,7249284
2021-02-05,22239406,3714389,5257154,7228396
2021-02-06,22212491,3409287,5147779,7208663
2021-02-07,22198183,3261867,5102076,7197498
2021-02-08,22180144,3104136,5049205,7185129
2021-02-09,22158108,2900814,4981186,7168882
2021-02-10,22132964,2680839,4911781,7149359
2021-02-11,22105062,2423806,4831911,7124712
2021-02-12,22070734,2154369,4741898,7091630
2021-02-13,22034201,1889251,4655126,7056476
2021-02-14,22013873,1789536,4618544,7036008
2021-02-15,21988736,1677718,4575760,7014609
2021-02-16,21954478,1537746,4483500,6974982
2021-02-17,21906717,1391264,4325797,6911968
2021-02-18,21857472,1266503,4169718,6851880
2021-02-19,21810978,1177918,4042423,6800710
2021-02-20,21765436,1102605,3913196,6749946
2021-02-21,21744639,1075718,3874262,6730829
2021-02-22,21719180,1036014,3818297,6704649
2021-02-23,21674338,987042,3683568,6650588
2021-02-24,21615503,925925,3491383,6565650
2021-02-25,21548170,864248,3288691,6465606
2021-02-26,21476812,808346,3082765,6355629
2021-02-27,21410634,770294,2916858,6259015
2021-02-28,21381073,752976,2866101,6205731
2021-03-01,21352905,736799,2820244,6148828
2021-03-02,21322749,719054,2764510,6079087
2021-03-03,21281428,698544,2684801,5990369
2021-03-04,21227297,672392,2563463,5871453
2021-03-05,21158627,644259,2415868,5733462
2021-03-06,21090090,621607,2273992,5589682
2021-03-07,21066318,615538,2237725,5519955
2021-03-08,21040271,603435,2191399,5433113
2021-03-09,21011102,591346,2142252,5341182
2021-03-10,20975913,579390,2087148,5232192
2021-03-11,20941039,567770,2038260,5115908
2021-03-12,20885634,553784,1959195,4950708
2021-03-13,20807192,538916,1848021,4694088
2021-03-14,20773459,531860,1800218,4564049
2021-03-15,20724389,520891,1737344,4364367
2021-03-16,20665932,510223,1669311,4126542
2021-03-17,20600440,500815,1608222,3871679
2021-03-18,20523986,490966,1545390,3564519
2021-03-19,20433497,481523,1478358,3197684
2021-03-20,20305208,472577,1399678,2735530
2021-03-21,20245022,469448,1369144,2544913
2021-03-22,20186908,464114,1336860,2373651
2021-03-23,20120163,457723,1304590,2216634
2021-03-24,20037164,451430,1272523,2069627
2021-03-25,19940844,444598,1237992,1924888
2021-03-26,19821466,438368,1201746,1772372
2021-03-27,19652724,432369,1158899,1589784
2021-03-28,19560009,429835,1139180,1501787
2021-03-29,19483639,425600,1118558,1429596
2021-03-30,19402621,421029,1098818,1367702
2021-03-31,19313462,416192,1078049,1306669
2021-04-01,19245660,412608,1062943,1275659
2021-04-02,19207454,411187,1056153,1257109
2021-04-03,19168324,409724,1047788,1234639
2021-04-04,19155290,409255,1044421,1226351
2021-04-05,19146267,408856,1042160,1221990
2021-04-06,19116013,406756,1034782,1210237
2021-04-07,19084373,403935,1025927,1197091
2021-04-08,19054035,401114,1018101,1185499
2021-04-09,19019476,398111,1009596,1171359
2021-04-10,18973521,395899,1002078,1158213
2021-04-11,18949910,394989,998802,1152634
2021-04-12,18936127,393344,995253,1147251
2021-04-13,18910409,391440,991074,1141651
2021-04-14,18844889,389494,986461,1136086
2021-04-15,18764207,387457,981386,1130423
2021-04-16,18676980,385182,976010,1124907
2021-04-17,18578357,383845,971124,1119832
2021-04-18,18517170,383292,968639,1117480
2021-04-19,18444587,382088,965384,1114043
2021-04-20,18372676,380562,961499,1110074
2021-04-21,18292379,378938,957089,1105832
2021-04-22,18202520,377237,952483,1101471
2021-04-23,18108419,375452,947457,1096830
2021-04-24,17998428,374304,942977,1092693
2021-04-25,17945025,373730,940856,1090747
2021-04-26,17890411,372547,937734,1087408
2021-04-27,17816421,371196,933786,1083831
2021-04-28,17726702,369768,929418,1080478
2021-04-29,17630144,368270,924658,1076649
2021-04-30,17530345,366758,920157,1072736
2021-05-01,17422048,365974,916419,1069859
2021-05-02,17358922,365666,914550,1068466
2021-05-03,17306772,365365,913241,1067556
2021-05-04,17220574,364518,910112,1065099
2021-05-05,17127040,363363,906017,1061655
2021-05-06,17039127,362124,901726,1058484
2021-05-07,16943682,360878,897281,1055292
2021-05-08,16821539,360031,893165,1052058
2021-05-09,16756047,359653,891156,1050476
2021-05-10,16690016,358834,887999,1047858
2021-05-11,16602901,357504,883337,1043938
2021-05-12,16469278,356139,876764,1039857
2021-05-13,16312422,354690,869771,1035125
2021-05-14,16146004,353416,863037,1030862
2021-05-15,15960455,352520,856373,1026606
2021-05-16,15865500,352093,853300,1024541
2021-05-17,15794009,351330,850213,1021503
2021-05-18,15656606,350189,844781,1017730
2021-05-19,15445059,348817,837669,1013131
2021-05-20,15238916,347508,830459,1008686
2021-05-21,15076782,346486,824803,1004857
2021-05-22,14924049,345807,819945,1001322
2021-05-23,14887383,345653,818888,1000573
2021-05-24,14854077,345289,817495,999481
2021-05-25,14801990,344939,815766,998326
2021-05-26,14728203,344470,813547,996947
total,23702000,10089611,6316219,8071014
