,7
2020-11-28,914893
2020-11-29,914886
2020-11-30,914886
2020-12-01,914879
2020-12-02,914879
2020-12-03,914879
2020-12-04,914879
2020-12-05,914879
2020-12-06,914879
2020-12-07,914879
2020-12-08,914767
2020-12-09,914508
2020-12-10,914270
2020-12-11,914032
2020-12-12,913843
2020-12-13,913661
2020-12-14,913430
2020-12-15,913080
2020-12-16,912625
2020-12-17,911988
2020-12-18,911442
2020-12-19,910917
2020-12-20,910252
2020-12-21,909398
2020-12-22,908691
2020-12-23,907732
2020-12-24,907242
2020-12-25,907242
2020-12-26,907228
2020-12-27,907095
2020-12-28,906850
2020-12-29,906255
2020-12-30,904792
2020-12-31,903462
2021-01-01,903105
2021-01-02,902713
2021-01-03,902391
2021-01-04,901789
2021-01-05,900613
2021-01-06,898842
2021-01-07,896238
2021-01-08,893599
2021-01-09,891261
2021-01-10,889994
2021-01-11,888125
2021-01-12,885787
2021-01-13,883092
2021-01-14,879984
2021-01-15,876512
2021-01-16,873537
2021-01-17,871514
2021-01-18,869183
2021-01-19,866376
2021-01-20,863401
2021-01-21,860244
2021-01-22,856534
2021-01-23,853545
2021-01-24,851592
2021-01-25,849611
2021-01-26,847245
2021-01-27,844998
2021-01-28,842653
2021-01-29,839832
2021-01-30,837613
2021-01-31,835912
2021-02-01,834316
2021-02-02,832426
2021-02-03,830284
2021-02-04,827981
2021-02-05,825608
2021-02-06,823403
2021-02-07,821975
2021-02-08,820673
2021-02-09,818811
2021-02-10,815927
2021-02-11,811895
2021-02-12,806687
2021-02-13,801185
2021-02-14,798406
2021-02-15,795424
2021-02-16,787801
2021-02-17,776426
2021-02-18,766325
2021-02-19,757477
2021-02-20,748545
2021-02-21,744401
2021-02-22,739977
2021-02-23,730884
2021-02-24,713433
2021-02-25,690963
2021-02-26,663873
2021-02-27,641158
2021-02-28,625184
2021-03-01,608398
2021-03-02,587041
2021-03-03,559356
2021-03-04,521437
2021-03-05,484267
2021-03-06,445081
2021-03-07,425194
2021-03-08,401044
2021-03-09,379344
2021-03-10,356804
2021-03-11,334866
2021-03-12,306012
2021-03-13,270025
2021-03-14,251251
2021-03-15,230419
2021-03-16,212177
2021-03-17,197099
2021-03-18,181881
2021-03-19,165550
2021-03-20,148302
2021-03-21,141155
2021-03-22,134659
2021-03-23,129017
2021-03-24,123410
2021-03-25,118314
2021-03-26,113022
2021-03-27,107079
2021-03-28,104300
2021-03-29,101612
2021-03-30,99218
2021-03-31,97167
2021-04-01,95858
2021-04-02,95144
2021-04-03,94255
2021-04-04,93863
2021-04-05,93646
2021-04-06,93100
2021-04-07,92127
2021-04-08,91259
2021-04-09,90356
2021-04-10,89684
2021-04-11,89404
2021-04-12,89054
2021-04-13,88655
2021-04-14,88319
2021-04-15,87920
2021-04-16,87584
2021-04-17,87255
2021-04-18,87136
2021-04-19,86835
2021-04-20,86548
2021-04-21,86198
2021-04-22,85911
2021-04-23,85596
2021-04-24,85358
2021-04-25,85218
2021-04-26,85008
2021-04-27,84700
2021-04-28,84476
2021-04-29,84245
2021-04-30,84042
2021-05-01,83909
2021-05-02,83832
2021-05-03,83783
2021-05-04,83650
2021-05-05,83426
2021-05-06,83174
2021-05-07,82950
2021-05-08,82747
2021-05-09,82656
2021-05-10,82502
2021-05-11,82264
2021-05-12,81963
2021-05-13,81585
2021-05-14,81291
2021-05-15,81032
2021-05-16,80892
2021-05-17,80696
2021-05-18,80423
2021-05-19,80108
2021-05-20,79807
2021-05-21,79562
2021-05-22,79310
2021-05-23,79184
2021-05-24,78988
2021-05-25,78813
2021-05-26,78582
total,914893
