,9,10
2020-11-28,1558039,1125481
2020-11-29,1558039,1125481
2020-11-30,1558039,1125474
2020-12-01,1558032,1125474
2020-12-02,1558032,1125474
2020-12-03,1558025,1125474
2020-12-04,1558025,1125467
2020-12-05,1558025,1125467
2020-12-06,1558025,1125467
2020-12-07,1558018,1125467
2020-12-08,1557948,1125425
2020-12-09,1557892,1125397
2020-12-10,1557801,1125341
2020-12-11,1557724,1125264
2020-12-12,1557647,1125222
2020-12-13,1557619,1125208
2020-12-14,1557528,1125117
2020-12-15,1557360,1124865
2020-12-16,1557073,1124298
2020-12-17,1556709,1123815
2020-12-18,1556240,1123094
2020-12-19,1555582,1122107
2020-12-20,1554903,1120924
2020-12-21,1554406,1119706
2020-12-22,1553930,1118551
2020-12-23,1553412,1117193
2020-12-24,1553181,1116927
2020-12-25,1553181,1116927
2020-12-26,1553160,1116920
2020-12-27,1553125,1116892
2020-12-28,1553055,1116857
2020-12-29,1552572,1116206
2020-12-30,1551634,1113784
2020-12-31,1550542,1109934
2021-01-01,1550220,1108023
2021-01-02,1549590,1105944
2021-01-03,1549289,1105566
2021-01-04,1549079,1105370
2021-01-05,1548099,1104194
2021-01-06,1547161,1101429
2021-01-07,1544263,1087835
2021-01-08,1540511,1069880
2021-01-09,1536472,1056013
2021-01-10,1534778,1050077
2021-01-11,1532482,1044939
2021-01-12,1528751,1036945
2021-01-13,1522668,1015518
2021-01-14,1513883,989723
2021-01-15,1505147,960099
2021-01-16,1499841,934703
2021-01-17,1496117,923328
2021-01-18,1491959,914557
2021-01-19,1479324,876211
2021-01-20,1461341,833553
2021-01-21,1435518,771386
2021-01-22,1397466,683781
2021-01-23,1350181,599655
2021-01-24,1325821,570899
2021-01-25,1308132,542731
2021-01-26,1283408,514927
2021-01-27,1254806,489909
2021-01-28,1210111,437990
2021-01-29,1133118,345933
2021-01-30,1042461,272986
2021-01-31,983619,238210
2021-02-01,928410,205590
2021-02-02,855358,181139
2021-02-03,760326,160363
2021-02-04,660226,141666
2021-02-05,555464,126266
2021-02-06,440244,112287
2021-02-07,389368,106015
2021-02-08,336490,98189
2021-02-09,284543,91175
2021-02-10,239666,84553
2021-02-11,202622,78645
2021-02-12,170359,73094
2021-02-13,142835,68621
2021-02-14,135919,67347
2021-02-15,128856,65373
2021-02-16,123326,63742
2021-02-17,118342,61845
2021-02-18,113617,60053
2021-02-19,110292,58674
2021-02-20,107744,57785
2021-02-21,107065,57540
2021-02-22,105476,56840
2021-02-23,102991,55818
2021-02-24,100310,54544
2021-02-25,97475,53263
2021-02-26,94843,52150
2021-02-27,92988,51394
2021-02-28,92337,51086
2021-03-01,91336,50589
2021-03-02,90244,50015
2021-03-03,88851,49280
2021-03-04,87122,48412
2021-03-05,85274,47481
2021-03-06,83797,46802
2021-03-07,83363,46571
2021-03-08,82537,46088
2021-03-09,81494,45549
2021-03-10,80479,45010
2021-03-11,79548,44443
2021-03-12,78561,43960
2021-03-13,77658,43505
2021-03-14,77252,43337
2021-03-15,76454,42896
2021-03-16,75614,42420
2021-03-17,74837,42007
2021-03-18,73990,41489
2021-03-19,73178,41034
2021-03-20,72429,40656
2021-03-21,72114,40523
2021-03-22,71561,40215
2021-03-23,70889,39809
2021-03-24,70224,39389
2021-03-25,69433,38955
2021-03-26,68754,38570
2021-03-27,68096,38199
2021-03-28,67809,38045
2021-03-29,67333,37744
2021-03-30,66808,37401
2021-03-31,66206,37058
2021-04-01,65779,36820
2021-04-02,65632,36736
2021-04-03,65443,36624
2021-04-04,65387,36603
2021-04-05,65338,36568
2021-04-06,65002,36400
2021-04-07,64673,36155
2021-04-08,64281,35896
2021-04-09,63868,35637
2021-04-10,63567,35462
2021-04-11,63455,35385
2021-04-12,63259,35189
2021-04-13,62965,35000
2021-04-14,62671,34797
2021-04-15,62384,34531
2021-04-16,62006,34132
2021-04-17,61817,33985
2021-04-18,61740,33922
2021-04-19,61551,33803
2021-04-20,61292,33663
2021-04-21,61054,33537
2021-04-22,60795,33383
2021-04-23,60452,33201
2021-04-24,60277,33096
2021-04-25,60193,33068
2021-04-26,60011,32977
2021-04-27,59822,32844
2021-04-28,59647,32711
2021-04-29,59416,32592
2021-04-30,59164,32473
2021-05-01,59059,32417
2021-05-02,59024,32396
2021-05-03,58982,32375
2021-05-04,58849,32305
2021-05-05,58667,32214
2021-05-06,58506,32130
2021-05-07,58310,32032
2021-05-08,58177,31962
2021-05-09,58121,31934
2021-05-10,57995,31864
2021-05-11,57750,31731
2021-05-12,57540,31626
2021-05-13,57358,31521
2021-05-14,57162,31395
2021-05-15,57008,31332
2021-05-16,56959,31304
2021-05-17,56854,31227
2021-05-18,56686,31143
2021-05-19,56490,31017
2021-05-20,56287,30884
2021-05-21,56126,30800
2021-05-22,56049,30737
2021-05-23,56042,30737
2021-05-24,56042,30723
total,1558053,1125488
