wave,total,vacc_group,decline_group,decline_total_group,other_reason_group,declined_accepted_group,vaccinated_and_declined_group,preg_group,sevment_group,learndis_group,immuno_group,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,total_percent,vacc_group_percent,decline_group_percent,decline_total_group_percent,other_reason_group_percent,declined_accepted_group_percent,vaccinated_and_declined_group_percent,preg_group_percent,sevment_group_percent,learndis_group_percent,immuno_group_percent,ethnicity_1_percent,ethnicity_2_percent,ethnicity_3_percent,ethnicity_4_percent,ethnicity_5_percent,ethnicity_6_percent
0,9459149,3753526,45213,53788,3080,4760,3815,133308,0,0,0,4328100,143003,686406,199983,247331,3854312,100.0,39.7,0.5,0.6,0.0,0.1,0.0,1.4,0.0,0.0,0.0,45.8,1.5,7.3,2.1,2.6,40.7
1,108451,105119,1589,2562,42,679,294,0,6419,4235,3612,65282,217,686,406,287,41552,100.0,96.9,1.5,2.4,0.0,0.6,0.3,0.0,5.9,3.9,3.3,60.2,0.2,0.6,0.4,0.3,38.3
2,1113000,1072260,21014,34398,665,11228,2149,0,6356,497,49308,573580,2590,22589,7658,4053,502516,100.0,96.3,1.9,3.1,0.1,1.0,0.2,0.0,0.6,0.0,4.4,51.5,0.2,2.0,0.7,0.4,45.1
3,2071244,1984262,34055,49581,1743,10794,4725,0,14952,2947,85484,1215130,5376,45066,10661,9898,785092,100.0,95.8,1.6,2.4,0.1,0.5,0.2,0.0,0.7,0.1,4.1,58.7,0.3,2.2,0.5,0.5,37.9
4,833735,737786,25809,35357,1190,7399,2135,10157,22820,26950,139377,399854,12271,88298,33152,12432,287714,100.0,88.5,3.1,4.2,0.1,0.9,0.3,1.2,2.7,3.2,16.7,48.0,1.5,10.6,4.0,1.5,34.5
5,1074843,1000139,18823,24360,945,3773,1757,0,9037,2492,16373,620704,4305,36043,7980,8050,397754,100.0,93.0,1.8,2.3,0.1,0.4,0.2,0.0,0.8,0.2,1.5,57.7,0.4,3.4,0.7,0.7,37.0
6,1790530,1509389,42259,52395,1960,7343,2786,13818,127239,82159,97076,983710,17766,109242,30604,19628,629566,100.0,84.3,2.4,2.9,0.1,0.4,0.2,0.8,7.1,4.6,5.4,54.9,1.0,6.1,1.7,1.1,35.2
7,914893,821842,13622,18697,840,2996,2072,0,0,0,0,515347,4844,24682,10178,8463,351365,100.0,89.8,1.5,2.0,0.1,0.3,0.2,0.0,0.0,0.0,0.0,56.3,0.5,2.7,1.1,0.9,38.4
8,1178968,1034866,16996,24927,994,5061,2863,0,0,0,0,649383,8330,33915,17808,12698,456827,100.0,87.8,1.4,2.1,0.1,0.4,0.2,0.0,0.0,0.0,0.0,55.1,0.7,2.9,1.5,1.1,38.7
9,1297807,1103767,19551,25172,1113,3857,1764,0,0,0,0,697732,11242,56525,24122,17731,490448,100.0,85.0,1.5,1.9,0.1,0.3,0.1,0.0,0.0,0.0,0.0,53.8,0.9,4.4,1.9,1.4,37.8
total,19842655,13122977,238952,321258,12600,57918,24388,157290,186837,119294,391244,10048857,209965,1103480,342587,340585,7797167,100.0,66.1,1.2,1.6,0.1,0.3,0.1,0.8,0.9,0.6,2.0,50.6,1.1,5.6,1.7,1.7,39.3
