,F,M
2020-11-28,35,14
2020-11-29,42,14
2020-11-30,42,14
2020-12-01,56,28
2020-12-02,56,28
2020-12-03,56,28
2020-12-04,63,28
2020-12-05,63,28
2020-12-06,63,28
2020-12-07,70,35
2020-12-08,630,497
2020-12-09,1757,1456
2020-12-10,3066,2611
2020-12-11,4340,3668
2020-12-12,5229,4347
2020-12-13,5943,4956
2020-12-14,7252,6076
2020-12-15,18837,16681
2020-12-16,38514,33509
2020-12-17,56770,48258
2020-12-18,68859,58135
2020-12-19,83209,69804
2020-12-20,95879,80031
2020-12-21,104020,86408
2020-12-22,118251,98098
2020-12-23,129017,106722
2020-12-24,131985,108794
2020-12-25,131992,108794
2020-12-26,131999,108808
2020-12-27,132181,108913
2020-12-28,132587,109193
2020-12-29,138089,113253
2020-12-30,153881,124327
2020-12-31,165921,132440
2021-01-01,168343,134050
2021-01-02,170394,135583
2021-01-03,171549,136353
2021-01-04,172998,137326
2021-01-05,176141,139258
2021-01-06,183449,144459
2021-01-07,211722,165949
2021-01-08,246855,191765
2021-01-09,277291,213836
2021-01-10,290556,223573
2021-01-11,300510,230195
2021-01-12,323806,245791
2021-01-13,359422,271761
2021-01-14,396872,299894
2021-01-15,443744,334691
2021-01-16,492205,369768
2021-01-17,512960,384839
2021-01-18,529585,396270
2021-01-19,576317,432964
2021-01-20,631162,475720
2021-01-21,687610,519120
2021-01-22,770602,583478
2021-01-23,855715,651623
2021-01-24,884170,675304
2021-01-25,910574,696780
2021-01-26,946106,725361
2021-01-27,980504,753389
2021-01-28,1033921,799190
2021-01-29,1110347,865354
2021-01-30,1188908,932603
2021-01-31,1233092,971726
2021-02-01,1273377,1007188
2021-02-02,1318891,1048180
2021-02-03,1376599,1099840
2021-02-04,1436512,1154923
2021-02-05,1494003,1206646
2021-02-06,1566866,1271655
2021-02-07,1603077,1305073
2021-02-08,1638336,1337525
2021-02-09,1687861,1383361
2021-02-10,1739290,1430450
2021-02-11,1799161,1485638
2021-02-12,1860369,1541176
2021-02-13,1923572,1598415
2021-02-14,1948128,1621438
2021-02-15,1975008,1646183
2021-02-16,2007502,1677340
2021-02-17,2042292,1711178
2021-02-18,2069984,1737547
2021-02-19,2091285,1758120
2021-02-20,2109142,1775466
2021-02-21,2115841,1781927
2021-02-22,2125585,1791699
2021-02-23,2137527,1803032
2021-02-24,2153438,1817788
2021-02-25,2168530,1831627
2021-02-26,2183139,1845081
2021-02-27,2192820,1854111
2021-02-28,2197636,1858752
2021-03-01,2201535,1862280
2021-03-02,2205861,1866151
2021-03-03,2211006,1870631
2021-03-04,2217922,1876763
2021-03-05,2225020,1883084
2021-03-06,2230711,1888271
2021-03-07,2232048,1889552
2021-03-08,2234848,1892149
2021-03-09,2237781,1894858
2021-03-10,2240539,1897357
2021-03-11,2243213,1899863
2021-03-12,2246636,1903062
2021-03-13,2250234,1906520
2021-03-14,2251928,1908144
2021-03-15,2254630,1910804
2021-03-16,2257150,1913121
2021-03-17,2259208,1915214
2021-03-18,2261497,1917349
2021-03-19,2263506,1919330
2021-03-20,2265550,1921430
2021-03-21,2266152,1922109
2021-03-22,2267335,1923243
2021-03-23,2268686,1924538
2021-03-24,2270086,1925903
2021-03-25,2271430,1927247
2021-03-26,2272753,1928486
2021-03-27,2274055,1929788
2021-03-28,2274615,1930362
2021-03-29,2275483,1931202
2021-03-30,2276456,1932140
2021-03-31,2277506,1933092
2021-04-01,2278311,1933813
2021-04-02,2278731,1934170
2021-04-03,2279060,1934450
2021-04-04,2279172,1934590
2021-04-05,2279249,1934681
2021-04-06,2279655,1935059
2021-04-07,2280334,1935647
2021-04-08,2280929,1936151
2021-04-09,2281587,1936746
2021-04-10,2282063,1937222
2021-04-11,2282280,1937418
2021-04-12,2282644,1937733
2021-04-13,2283057,1938097
2021-04-14,2283477,1938475
2021-04-15,2283911,1938839
2021-04-16,2284352,1939203
2021-04-17,2284674,1939448
2021-04-18,2284800,1939581
2021-04-19,2285059,1939861
2021-04-20,2285402,1940155
2021-04-21,2285745,1940484
2021-04-22,2286067,1940806
2021-04-23,2286438,1941142
2021-04-24,2286704,1941394
2021-04-25,2286851,1941548
2021-04-26,2287089,1941779
2021-04-27,2287376,1942038
2021-04-28,2287691,1942311
2021-04-29,2288006,1942633
2021-04-30,2288293,1942871
2021-05-01,2288468,1943060
2021-05-02,2288545,1943130
2021-05-03,2288608,1943193
2021-05-04,2288783,1943333
2021-05-05,2288986,1943564
2021-05-06,2289273,1943844
2021-05-07,2289532,1944054
2021-05-08,2289714,1944215
2021-05-09,2289798,1944285
2021-05-10,2290001,1944439
2021-05-11,2290239,1944628
2021-05-12,2290554,1944901
2021-05-13,2290890,1945188
2021-05-14,2291135,1945398
2021-05-15,2291345,1945552
2021-05-16,2291464,1945622
2021-05-17,2291597,1945755
2021-05-18,2291828,1945972
2021-05-19,2292115,1946238
total,2353638,2013998
