,F,M
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,28,7
2020-12-09,63,35
2020-12-10,126,56
2020-12-11,168,77
2020-12-12,210,91
2020-12-13,238,98
2020-12-14,294,126
2020-12-15,441,182
2020-12-16,623,287
2020-12-17,980,567
2020-12-18,1316,826
2020-12-19,1729,1148
2020-12-20,2072,1372
2020-12-21,2471,1645
2020-12-22,2821,1911
2020-12-23,3185,2261
2020-12-24,3367,2394
2020-12-25,3367,2394
2020-12-26,3374,2401
2020-12-27,3388,2408
2020-12-28,3451,2436
2020-12-29,3710,2597
2020-12-30,4781,3479
2020-12-31,5943,4354
2021-01-01,6286,4606
2021-01-02,6685,4956
2021-01-03,6769,5026
2021-01-04,6888,5103
2021-01-05,7154,5278
2021-01-06,8582,6496
2021-01-07,13643,10990
2021-01-08,20391,16870
2021-01-09,26019,21756
2021-01-10,28539,23779
2021-01-11,30422,25396
2021-01-12,34349,28721
2021-01-13,43008,36281
2021-01-14,52850,45045
2021-01-15,64757,55398
2021-01-16,74669,63700
2021-01-17,78855,67144
2021-01-18,83209,70917
2021-01-19,101885,87549
2021-01-20,126644,109102
2021-01-21,155022,133805
2021-01-22,199857,173257
2021-01-23,256550,222558
2021-01-24,276269,240254
2021-01-25,292789,255598
2021-01-26,316372,276668
2021-01-27,340487,298088
2021-01-28,381339,335552
2021-01-29,444150,392882
2021-01-30,513359,453943
2021-01-31,552552,489489
2021-02-01,584633,519323
2021-02-02,621537,554365
2021-02-03,669536,599011
2021-02-04,718473,645995
2021-02-05,764449,689052
2021-02-06,825559,744555
2021-02-07,855624,772583
2021-02-08,880572,796635
2021-02-09,911085,825727
2021-02-10,934647,847721
2021-02-11,957110,868315
2021-02-12,976059,885234
2021-02-13,992796,899815
2021-02-14,997528,904239
2021-02-15,1001539,907823
2021-02-16,1004962,910917
2021-02-17,1008070,913598
2021-02-18,1010555,915670
2021-02-19,1012396,917245
2021-02-20,1014076,918624
2021-02-21,1014573,919044
2021-02-22,1015406,919667
2021-02-23,1016645,920668
2021-02-24,1018276,922012
2021-02-25,1020068,923545
2021-02-26,1021762,924931
2021-02-27,1022882,925855
2021-02-28,1023309,926212
2021-03-01,1023778,926583
2021-03-02,1024317,927052
2021-03-03,1025052,927612
2021-03-04,1026060,928438
2021-03-05,1027257,929376
2021-03-06,1028146,930069
2021-03-07,1028342,930244
2021-03-08,1028727,930552
2021-03-09,1029140,930930
2021-03-10,1029602,931308
2021-03-11,1030050,931679
2021-03-12,1030638,932204
2021-03-13,1031268,932729
2021-03-14,1031506,932925
2021-03-15,1031835,933226
2021-03-16,1032220,933541
2021-03-17,1032577,933863
2021-03-18,1032983,934220
2021-03-19,1033354,934570
2021-03-20,1033746,934892
2021-03-21,1033893,935039
2021-03-22,1034117,935256
2021-03-23,1034362,935487
2021-03-24,1034656,935767
2021-03-25,1034964,936061
2021-03-26,1035300,936362
2021-03-27,1035692,936712
2021-03-28,1035853,936866
2021-03-29,1036056,937062
2021-03-30,1036301,937286
2021-03-31,1036588,937531
2021-04-01,1036812,937727
2021-04-02,1036987,937867
2021-04-03,1037092,937958
2021-04-04,1037134,938014
2021-04-05,1037162,938042
2021-04-06,1037267,938133
2021-04-07,1037449,938287
2021-04-08,1037645,938455
2021-04-09,1037848,938637
2021-04-10,1038016,938826
2021-04-11,1038107,938903
2021-04-12,1038205,939008
2021-04-13,1038352,939141
2021-04-14,1038478,939288
2021-04-15,1038639,939428
2021-04-16,1038793,939589
2021-04-17,1038947,939687
2021-04-18,1039003,939750
2021-04-19,1039066,939834
2021-04-20,1039164,939925
2021-04-21,1039255,940037
2021-04-22,1039374,940149
2021-04-23,1039521,940268
2021-04-24,1039668,940387
2021-04-25,1039752,940471
2021-04-26,1039829,940555
2021-04-27,1039920,940646
2021-04-28,1040032,940744
2021-04-29,1040151,940863
2021-04-30,1040249,940954
2021-05-01,1040333,941031
2021-05-02,1040361,941059
2021-05-03,1040389,941080
2021-05-04,1040445,941136
2021-05-05,1040508,941206
2021-05-06,1040585,941283
2021-05-07,1040662,941353
2021-05-08,1040732,941395
2021-05-09,1040760,941416
2021-05-10,1040802,941451
2021-05-11,1040858,941500
2021-05-12,1040949,941584
2021-05-13,1041033,941661
2021-05-14,1041117,941717
2021-05-15,1041201,941787
2021-05-16,1041243,941815
2021-05-17,1041285,941857
2021-05-18,1041348,941906
2021-05-19,1041432,941990
total,1085882,985509
