wave,total,vacc_group,decline_group,decline_total_group,other_reason_group,declined_accepted_group,vaccinated_and_declined_group,preg_group,sevment_group,learndis_group,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,total_percent,vacc_group_percent,decline_group_percent,decline_total_group_percent,other_reason_group_percent,declined_accepted_group_percent,vaccinated_and_declined_group_percent,preg_group_percent,sevment_group_percent,learndis_group_percent,ethnicity_1_percent,ethnicity_2_percent,ethnicity_3_percent,ethnicity_4_percent,ethnicity_5_percent,ethnicity_6_percent
0,9461361,3351005,42168,49560,2289,3948,3437,133966,0,0,4327603,142989,686483,199983,247331,3856951,100.0,35.4,0.4,0.5,0.0,0.0,0.0,1.4,0.0,0.0,45.7,1.5,7.3,2.1,2.6,40.8
1,107758,104405,1575,2520,42,665,273,0,6398,4235,64848,217,686,399,287,41307,100.0,96.9,1.5,2.3,0.0,0.6,0.3,0.0,5.9,3.9,60.2,0.2,0.6,0.4,0.3,38.3
2,1113525,1072316,21056,34237,679,11095,2079,0,6349,504,573755,2590,22582,7665,4046,502873,100.0,96.3,1.9,3.1,0.1,1.0,0.2,0.0,0.6,0.0,51.5,0.2,2.0,0.7,0.4,45.2
3,2071391,1983422,34090,49273,1757,10577,4599,0,14938,2940,1214976,5383,45059,10661,9891,785414,100.0,95.8,1.6,2.4,0.1,0.5,0.2,0.0,0.7,0.1,58.7,0.3,2.2,0.5,0.5,37.9
4,833084,734755,25907,34986,1225,7070,2002,10276,22792,26943,399371,12264,88270,33138,12425,287609,100.0,88.2,3.1,4.2,0.1,0.8,0.2,1.2,2.7,3.2,47.9,1.5,10.6,4.0,1.5,34.5
5,1074962,999285,18760,24045,945,3654,1624,0,9030,2492,620627,4305,36043,7980,8043,397943,100.0,93.0,1.7,2.2,0.1,0.3,0.2,0.0,0.8,0.2,57.7,0.4,3.4,0.7,0.7,37.0
6,1786820,1496180,42021,51324,1988,6902,2394,13706,127036,82054,981659,17696,108906,30499,19530,628516,100.0,83.7,2.4,2.9,0.1,0.4,0.1,0.8,7.1,4.6,54.9,1.0,6.1,1.7,1.1,35.2
7,915495,820764,13552,18326,854,2884,1883,0,0,0,515543,4851,24696,10185,8463,351736,100.0,89.7,1.5,2.0,0.1,0.3,0.2,0.0,0.0,0.0,56.3,0.5,2.7,1.1,0.9,38.4
8,1179612,1032654,16765,24234,994,4900,2569,0,0,0,649558,8337,33943,17815,12691,457247,100.0,87.5,1.4,2.1,0.1,0.4,0.2,0.0,0.0,0.0,55.1,0.7,2.9,1.5,1.1,38.8
9,1298423,1099987,19180,24325,1120,3682,1456,0,0,0,697865,11249,56553,24136,17717,490889,100.0,84.7,1.5,1.9,0.1,0.3,0.1,0.0,0.0,0.0,53.7,0.9,4.4,1.9,1.4,37.8
total,19842452,12694794,235095,312851,11907,55398,22351,157955,186550,119175,10045833,209902,1103235,342489,340452,7800527,100.0,64.0,1.2,1.6,0.1,0.3,0.1,0.8,0.9,0.6,50.6,1.1,5.6,1.7,1.7,39.3
