,7
2020-11-28,1237145
2020-11-29,1237145
2020-11-30,1237138
2020-12-01,1237138
2020-12-02,1237131
2020-12-03,1237131
2020-12-04,1237131
2020-12-05,1237131
2020-12-06,1237131
2020-12-07,1237131
2020-12-08,1236998
2020-12-09,1236711
2020-12-10,1236368
2020-12-11,1236011
2020-12-12,1235752
2020-12-13,1235598
2020-12-14,1235297
2020-12-15,1234709
2020-12-16,1233981
2020-12-17,1232973
2020-12-18,1232021
2020-12-19,1231174
2020-12-20,1229991
2020-12-21,1228689
2020-12-22,1227492
2020-12-23,1226148
2020-12-24,1225518
2020-12-25,1225511
2020-12-26,1225434
2020-12-27,1225294
2020-12-28,1225035
2020-12-29,1223978
2020-12-30,1222011
2020-12-31,1220366
2021-01-01,1219778
2021-01-02,1219092
2021-01-03,1218630
2021-01-04,1217734
2021-01-05,1215949
2021-01-06,1213366
2021-01-07,1209775
2021-01-08,1205715
2021-01-09,1202432
2021-01-10,1200416
2021-01-11,1197700
2021-01-12,1194326
2021-01-13,1190329
2021-01-14,1185989
2021-01-15,1181243
2021-01-16,1177638
2021-01-17,1175258
2021-01-18,1171982
2021-01-19,1168412
2021-01-20,1164597
2021-01-21,1160348
2021-01-22,1155798
2021-01-23,1151892
2021-01-24,1149673
2021-01-25,1147062
2021-01-26,1143961
2021-01-27,1140517
2021-01-28,1136919
2021-01-29,1133083
2021-01-30,1129695
2021-01-31,1126818
2021-02-01,1123388
2021-02-02,1119293
2021-02-03,1114484
2021-02-04,1109934
2021-02-05,1105223
2021-02-06,1101191
2021-02-07,1098937
2021-02-08,1096354
2021-02-09,1092441
2021-02-10,1087387
2021-02-11,1080387
2021-02-12,1069894
2021-02-13,1058995
2021-02-14,1052408
2021-02-15,1046388
2021-02-16,1035531
2021-02-17,1017016
2021-02-18,1000363
2021-02-19,987511
2021-02-20,975478
2021-02-21,971943
2021-02-22,965916
2021-02-23,951930
2021-02-24,927367
2021-02-25,896959
2021-02-26,861973
2021-02-27,829416
2021-02-28,809655
2021-03-01,786016
2021-03-02,757183
2021-03-03,722302
2021-03-04,680344
2021-03-05,630833
2021-03-06,580454
2021-03-07,553273
2021-03-08,518511
2021-03-09,486290
2021-03-10,454685
2021-03-11,426636
2021-03-12,395220
2021-03-13,354410
2021-03-14,335468
2021-03-15,312718
2021-03-16,292159
2021-03-17,273931
2021-03-18,257579
2021-03-19,238119
2021-03-20,215824
2021-03-21,207256
2021-03-22,199647
2021-03-23,192556
2021-03-24,185941
2021-03-25,178899
2021-03-26,172074
2021-03-27,164199
2021-03-28,160811
2021-03-29,157640
2021-03-30,154630
2021-03-31,151515
2021-04-01,149569
2021-04-02,148610
2021-04-03,147455
2021-04-04,147105
2021-04-05,146867
2021-04-06,145873
2021-04-07,144970
2021-04-08,144039
2021-04-09,143073
2021-04-10,142205
2021-04-11,141792
2021-04-12,141302
2021-04-13,140749
2021-04-14,140126
2021-04-15,139608
2021-04-16,139097
2021-04-17,138698
2021-04-18,138523
2021-04-19,138180
2021-04-20,137683
2021-04-21,137270
2021-04-22,136857
2021-04-23,136423
2021-04-24,136080
2021-04-25,135940
2021-04-26,135597
2021-04-27,135191
2021-04-28,134890
2021-04-29,134477
2021-04-30,134015
2021-05-01,133770
2021-05-02,133658
2021-05-03,133581
2021-05-04,133294
2021-05-05,132916
2021-05-06,132608
2021-05-07,132300
2021-05-08,131971
2021-05-09,131845
2021-05-10,131530
2021-05-11,131054
2021-05-12,130683
2021-05-13,130228
2021-05-14,129808
2021-05-15,129381
2021-05-16,129185
2021-05-17,128793
2021-05-18,128373
2021-05-19,127883
2021-05-20,127316
2021-05-21,126882
2021-05-22,126539
2021-05-23,126539
2021-05-24,126532
total,1237145
