,11,12
2020-11-28,14,14
2020-11-29,14,14
2020-11-30,21,21
2020-12-01,70,77
2020-12-02,70,84
2020-12-03,70,84
2020-12-04,77,84
2020-12-05,77,84
2020-12-06,77,84
2020-12-07,84,98
2020-12-08,1057,980
2020-12-09,2653,2296
2020-12-10,4921,4214
2020-12-11,7294,6069
2020-12-12,8813,7273
2020-12-13,9618,7959
2020-12-14,12187,10122
2020-12-15,35441,31759
2020-12-16,75635,70168
2020-12-17,113477,105987
2020-12-18,142268,131838
2020-12-19,178360,164220
2020-12-20,205716,188356
2020-12-21,222313,203665
2020-12-22,252266,231455
2020-12-23,276038,252714
2020-12-24,281680,257474
2020-12-25,281687,257488
2020-12-26,281715,257509
2020-12-27,281869,257628
2020-12-28,282282,257943
2020-12-29,291333,266483
2020-12-30,311920,287525
2020-12-31,326641,301630
2021-01-01,329861,304948
2021-01-02,334649,308805
2021-01-03,335965,309918
2021-01-04,337645,311423
2021-01-05,342552,315399
2021-01-06,352177,323302
2021-01-07,395430,360878
2021-01-08,451234,410130
2021-01-09,498148,454244
2021-01-10,519288,473228
2021-01-11,531384,483476
2021-01-12,561442,510356
2021-01-13,614327,552321
2021-01-14,672700,600495
2021-01-15,742140,659337
2021-01-16,809172,719005
2021-01-17,837879,743701
2021-01-18,857178,760158
2021-01-19,914872,802060
2021-01-20,965111,839615
2021-01-21,1011304,875854
2021-01-22,1068214,920024
2021-01-23,1117844,955633
2021-01-24,1132222,966441
2021-01-25,1146908,980588
2021-01-26,1162567,996345
2021-01-27,1176910,1010989
2021-01-28,1196671,1029273
2021-01-29,1216292,1046717
2021-01-30,1231741,1058554
2021-01-31,1237915,1062964
2021-02-01,1244677,1070524
2021-02-02,1250823,1078707
2021-02-03,1257074,1087107
2021-02-04,1263206,1095605
2021-02-05,1269009,1103683
2021-02-06,1273447,1108548
2021-02-07,1275449,1110907
2021-02-08,1279243,1116283
2021-02-09,1283450,1122303
2021-02-10,1287846,1129219
2021-02-11,1292130,1135344
2021-02-12,1296148,1141196
2021-02-13,1298766,1144465
2021-02-14,1299676,1145641
2021-02-15,1301237,1147930
2021-02-16,1302805,1150030
2021-02-17,1304464,1152151
2021-02-18,1306004,1154181
2021-02-19,1307236,1155798
2021-02-20,1308006,1156743
2021-02-21,1308293,1157030
2021-02-22,1309021,1158003
2021-02-23,1310134,1159382
2021-02-24,1311296,1160831
2021-02-25,1312521,1162343
2021-02-26,1313662,1163673
2021-02-27,1314313,1164380
2021-02-28,1314544,1164597
2021-03-01,1315048,1165262
2021-03-02,1315734,1166130
2021-03-03,1316518,1167131
2021-03-04,1317533,1168293
2021-03-05,1318562,1169525
2021-03-06,1319234,1170176
2021-03-07,1319388,1170365
2021-03-08,1319843,1170855
2021-03-09,1320417,1171611
2021-03-10,1321026,1172353
2021-03-11,1321642,1173088
2021-03-12,1322216,1173746
2021-03-13,1322678,1174124
2021-03-14,1322825,1174264
2021-03-15,1323252,1174719
2021-03-16,1323763,1175272
2021-03-17,1324218,1175762
2021-03-18,1324764,1176343
2021-03-19,1325310,1176868
2021-03-20,1325653,1177197
2021-03-21,1325779,1177316
2021-03-22,1326108,1177631
2021-03-23,1326507,1178079
2021-03-24,1326955,1178555
2021-03-25,1327473,1179094
2021-03-26,1327893,1179507
2021-03-27,1328250,1179857
2021-03-28,1328397,1179990
2021-03-29,1328712,1180305
2021-03-30,1329097,1180683
2021-03-31,1329468,1181068
2021-04-01,1329797,1181425
2021-04-02,1329965,1181565
2021-04-03,1330105,1181677
2021-04-04,1330147,1181719
2021-04-05,1330196,1181761
2021-04-06,1330371,1181922
2021-04-07,1330651,1182216
2021-04-08,1330931,1182468
2021-04-09,1331260,1182769
2021-04-10,1331491,1182937
2021-04-11,1331582,1183021
2021-04-12,1331757,1183182
2021-04-13,1331946,1183371
2021-04-14,1332100,1183560
2021-04-15,1332282,1183763
2021-04-16,1332506,1183938
2021-04-17,1332653,1184022
2021-04-18,1332709,1184064
2021-04-19,1332800,1184183
2021-04-20,1332940,1184330
2021-04-21,1333094,1184498
2021-04-22,1333227,1184631
2021-04-23,1333360,1184764
2021-04-24,1333451,1184834
2021-04-25,1333493,1184869
2021-04-26,1333591,1184981
2021-04-27,1333689,1185128
2021-04-28,1333829,1185275
2021-04-29,1333969,1185408
2021-04-30,1334095,1185541
2021-05-01,1334130,1185583
2021-05-02,1334151,1185604
2021-05-03,1334179,1185618
2021-05-04,1334249,1185688
2021-05-05,1334333,1185793
2021-05-06,1334438,1185898
2021-05-07,1334529,1185996
2021-05-08,1334599,1186038
2021-05-09,1334627,1186059
2021-05-10,1334690,1186136
2021-05-11,1334788,1186241
2021-05-12,1334900,1186353
2021-05-13,1335012,1186444
2021-05-14,1335096,1186549
2021-05-15,1335152,1186598
2021-05-16,1335187,1186626
2021-05-17,1335264,1186668
2021-05-18,1335376,1186759
2021-05-19,1335481,1186857
2021-05-20,1335551,1186913
2021-05-21,1335607,1186976
2021-05-22,1335635,1186990
2021-05-23,1335635,1186990
2021-05-24,1335635,1186990
total,1363537,1215858
