,0,1,2,3
2020-11-28,21,105,35,28
2020-11-29,21,119,42,42
2020-11-30,28,140,42,49
2020-12-01,140,273,63,84
2020-12-02,147,287,70,91
2020-12-03,147,294,77,91
2020-12-04,154,308,84,105
2020-12-05,168,315,91,105
2020-12-06,175,322,91,112
2020-12-07,175,350,91,126
2020-12-08,1652,2520,1078,1239
2020-12-09,4522,5880,2702,3304
2020-12-10,8099,10682,4599,5467
2020-12-11,11900,15498,6636,7812
2020-12-12,15540,18662,8386,9751
2020-12-13,17738,20377,9275,11039
2020-12-14,21413,25711,10822,13230
2020-12-15,27433,72065,13748,17192
2020-12-16,34825,153048,17094,22029
2020-12-17,43533,229712,21182,28287
2020-12-18,52507,287476,25347,34440
2020-12-19,60200,359660,28665,39683
2020-12-20,70112,415072,32970,46795
2020-12-21,82509,451017,38458,55412
2020-12-22,94234,512582,43666,63301
2020-12-23,108339,562912,49728,72415
2020-12-24,115332,575771,52563,76748
2020-12-25,115444,575834,52612,76783
2020-12-26,116368,575988,52878,77182
2020-12-27,118762,576485,53634,78330
2020-12-28,122927,577675,54943,80325
2020-12-29,134792,600117,59535,86821
2020-12-30,157283,661801,69097,100226
2020-12-31,178108,708050,77763,112693
2021-01-01,184331,719418,80346,116459
2021-01-02,192528,732984,83307,120806
2021-01-03,198947,736918,85449,124117
2021-01-04,211393,741734,89446,130578
2021-01-05,234038,756609,97237,143213
2021-01-06,264425,786688,107758,160545
2021-01-07,304794,907046,122885,184975
2021-01-08,349237,1064000,140609,211596
2021-01-09,386722,1197651,155757,233786
2021-01-10,412447,1254953,164570,247583
2021-01-11,448833,1298829,177380,267239
2021-01-12,492499,1388478,193095,291606
2021-01-13,540925,1542709,211673,318997
2021-01-14,593103,1721118,232736,349006
2021-01-15,652148,1932686,257432,382165
2021-01-16,700112,2123646,276472,408751
2021-01-17,732949,2206547,288337,426762
2021-01-18,775922,2274699,304283,449673
2021-01-19,823312,2472974,324968,475125
2021-01-20,875700,2680720,350693,502649
2021-01-21,929607,2920806,381059,532042
2021-01-22,987539,3255595,420077,564277
2021-01-23,1034068,3592631,458773,590261
2021-01-24,1061179,3715481,478422,605752
2021-01-25,1095640,3829091,499842,624323
2021-01-26,1134735,3966487,527303,645694
2021-01-27,1174775,4104863,559328,667443
2021-01-28,1214528,4331698,603330,689535
2021-01-29,1258110,4676686,658973,713993
2021-01-30,1292473,5016158,715519,733992
2021-01-31,1317085,5211423,753151,748720
2021-02-01,1342404,5395082,790496,763987
2021-02-02,1370439,5599671,837354,781746
2021-02-03,1400539,5847667,903154,801395
2021-02-04,1431367,6110139,978061,821730
2021-02-05,1462594,6375222,1059065,842618
2021-02-06,1489509,6680324,1168440,862351
2021-02-07,1503817,6827744,1214143,873516
2021-02-08,1521856,6985475,1267014,885885
2021-02-09,1543892,7188797,1335033,902132
2021-02-10,1569036,7408772,1404438,921655
2021-02-11,1596938,7665805,1484308,946302
2021-02-12,1631266,7935242,1574321,979384
2021-02-13,1667799,8200360,1661093,1014538
2021-02-14,1688127,8300075,1697675,1035006
