,11,12
2020-11-28,7,7
2020-11-29,7,7
2020-11-30,14,14
2020-12-01,49,56
2020-12-02,49,63
2020-12-03,49,63
2020-12-04,56,63
2020-12-05,56,63
2020-12-06,56,63
2020-12-07,63,70
2020-12-08,574,497
2020-12-09,1134,966
2020-12-10,2170,1918
2020-12-11,3346,2849
2020-12-12,4074,3437
2020-12-13,4228,3584
2020-12-14,5579,4753
2020-12-15,17332,16254
2020-12-16,38955,37485
2020-12-17,60284,57967
2020-12-18,77987,74088
2020-12-19,100835,94885
2020-12-20,116746,108626
2020-12-21,126189,117803
2020-12-22,143423,133595
2020-12-23,158151,146216
2020-12-24,161791,149037
2020-12-25,161791,149044
2020-12-26,161812,149065
2020-12-27,161854,149100
2020-12-28,162001,149205
2020-12-29,166824,154049
2020-12-30,177632,165319
2020-12-31,185353,172564
2021-01-01,187306,174524
2021-01-02,190799,177261
2021-01-03,191289,177667
2021-01-04,192031,178374
2021-01-05,195209,180628
2021-01-06,200613,185045
2021-01-07,224980,206549
2021-01-08,258356,236754
2021-01-09,286300,262787
2021-01-10,298312,274043
2021-01-11,305648,280203
2021-01-12,322609,294994
2021-01-13,354410,319144
2021-01-14,391006,349692
2021-01-15,433475,385889
2021-01-16,469259,418194
2021-01-17,484463,431228
2021-01-18,496083,440839
2021-01-19,529739,464674
2021-01-20,553784,483091
2021-01-21,578221,502089
2021-01-22,606718,523866
2021-01-23,632023,542115
2021-01-24,639653,547701
2021-01-25,648277,555219
2021-01-26,656404,563185
2021-01-27,664727,571445
2021-01-28,676536,582246
2021-01-29,687918,591969
2021-01-30,696885,599137
2021-01-31,700378,601734
2021-02-01,704319,605983
2021-02-02,707819,610393
2021-02-03,711480,614957
2021-02-04,715015,619654
2021-02-05,718270,624148
2021-02-06,720776,626948
2021-02-07,721903,628313
2021-02-08,724185,631372
2021-02-09,726579,634753
2021-02-10,728994,638547
2021-02-11,731381,641942
2021-02-12,733691,645183
2021-02-13,735210,647003
2021-02-14,735721,647626
2021-02-15,736645,648907
2021-02-16,737562,650111
2021-02-17,738549,651273
2021-02-18,739480,652428
2021-02-19,740208,653296
2021-02-20,740663,653877
2021-02-21,740838,654045
2021-02-22,741300,654647
2021-02-23,741930,655403
2021-02-24,742602,656194
2021-02-25,743295,657020
2021-02-26,743918,657727
2021-02-27,744289,658154
2021-02-28,744443,658294
2021-03-01,744751,658679
2021-03-02,745157,659155
2021-03-03,745584,659680
2021-03-04,746179,660345
2021-03-05,746816,661052
2021-03-06,747236,661451
2021-03-07,747341,661570
2021-03-08,747600,661878
2021-03-09,747915,662284
2021-03-10,748251,662725
2021-03-11,748608,663173
2021-03-12,748958,663544
2021-03-13,749203,663761
2021-03-14,749287,663838
2021-03-15,749525,664090
2021-03-16,749826,664419
2021-03-17,750092,664727
2021-03-18,750435,665070
2021-03-19,750750,665406
2021-03-20,750946,665609
2021-03-21,751023,665672
2021-03-22,751212,665861
2021-03-23,751471,666148
2021-03-24,751716,666421
2021-03-25,752052,666743
2021-03-26,752311,666988
2021-03-27,752535,667170
2021-03-28,752626,667240
2021-03-29,752822,667429
2021-03-30,753067,667639
2021-03-31,753298,667877
2021-04-01,753508,668094
2021-04-02,753571,668150
2021-04-03,753641,668213
2021-04-04,753669,668227
2021-04-05,753697,668255
2021-04-06,753823,668360
2021-04-07,753984,668507
2021-04-08,754166,668675
2021-04-09,754376,668871
2021-04-10,754516,668976
2021-04-11,754572,669018
2021-04-12,754684,669116
2021-04-13,754810,669221
2021-04-14,754894,669326
2021-04-15,755013,669445
2021-04-16,755167,669564
2021-04-17,755258,669613
2021-04-18,755286,669634
2021-04-19,755342,669697
2021-04-20,755419,669781
2021-04-21,755517,669879
2021-04-22,755601,669956
2021-04-23,755678,670040
2021-04-24,755734,670089
2021-04-25,755755,670103
2021-04-26,755818,670166
2021-04-27,755874,670250
2021-04-28,755965,670348
2021-04-29,756056,670425
2021-04-30,756140,670516
2021-05-01,756161,670537
2021-05-02,756175,670544
2021-05-03,756189,670551
2021-05-04,756238,670600
2021-05-05,756287,670663
2021-05-06,756350,670712
2021-05-07,756406,670775
2021-05-08,756441,670803
2021-05-09,756462,670810
2021-05-10,756497,670852
2021-05-11,756574,670922
2021-05-12,756630,670992
2021-05-13,756700,671041
2021-05-14,756763,671104
2021-05-15,756798,671132
2021-05-16,756812,671146
2021-05-17,756868,671167
2021-05-18,756931,671230
2021-05-19,756994,671293
2021-05-20,757064,671349
2021-05-21,757120,671412
2021-05-22,757148,671426
2021-05-23,757148,671426
2021-05-24,757148,671426
total,775369,690501
