,False
2020-11-29,0
2020-11-30,0
2020-12-01,91
2020-12-02,91
2020-12-03,91
2020-12-04,98
2020-12-05,98
2020-12-06,98
2020-12-07,112
2020-12-08,1512
2020-12-09,3871
2020-12-10,7553
2020-12-11,11179
2020-12-12,13741
2020-12-13,15197
2020-12-14,19327
2020-12-15,63546
2020-12-16,141211
2020-12-17,213955
2020-12-18,268072
2020-12-19,336644
2020-12-20,388087
2020-12-21,419531
2020-12-22,476924
2020-12-23,521577
2020-12-24,531657
2020-12-25,531664
2020-12-26,531706
2020-12-27,531958
2020-12-28,532665
2020-12-29,549997
2020-12-30,591360
2020-12-31,619962
2021-01-01,626430
2021-01-02,634977
2021-01-03,637364
2021-01-04,639786
2021-01-05,647633
2021-01-06,664195
2021-01-07,744156
2021-01-08,848260
2021-01-09,939057
2021-01-10,979083
2021-01-11,1000090
2021-01-12,1055621
2021-01-13,1148917
2021-01-14,1254099
2021-01-15,1381282
2021-01-16,1507786
2021-01-17,1561014
2021-01-18,1595041
2021-01-19,1693069
2021-01-20,1779526
2021-01-21,1860901
2021-01-22,1961218
2021-01-23,2046457
2021-01-24,2071587
2021-01-25,2098859
2021-01-26,2128714
2021-01-27,2156406
2021-01-28,2193485
2021-01-29,2229773
2021-01-30,2257003
2021-01-31,2267538
2021-02-01,2280824
2021-02-02,2293914
2021-02-03,2307473
2021-02-04,2321130
2021-02-05,2333968
2021-02-06,2343075
2021-02-07,2347394
2021-02-08,2354975
2021-02-09,2363774
2021-02-10,2373910
2021-02-11,2383311
2021-02-12,2392292
2021-02-13,2398165
2021-02-14,2400223
2021-02-15,2403569
2021-02-16,2406831
2021-02-17,2410205
2021-02-18,2413425
2021-02-19,2416001
2021-02-20,2417702
2021-02-21,2418283
2021-02-22,2419711
2021-02-23,2421853
2021-02-24,2424212
2021-02-25,2426767
2021-02-26,2429091
2021-02-27,2430449
2021-02-28,2430890
2021-03-01,2431793
2021-03-02,2433053
2021-03-03,2434537
2021-03-04,2436399
2021-03-05,2438464
2021-03-06,2439766
2021-03-07,2440095
2021-03-08,2440802
2021-03-09,2441845
2021-03-10,2442944
2021-03-11,2444001
2021-03-12,2445107
2021-03-13,2445933
2021-03-14,2446213
2021-03-15,2446850
2021-03-16,2447697
2021-03-17,2448425
2021-03-18,2449377
2021-03-19,2450280
2021-03-20,2450945
2021-03-21,2451176
2021-03-22,2451610
2021-03-23,2452233
2021-03-24,2452926
2021-03-25,2453787
2021-03-26,2454550
2021-03-27,2455229
2021-03-28,2455516
2021-03-29,2456041
2021-03-30,2456664
2021-03-31,2457336
2021-04-01,2457931
2021-04-02,2458197
2021-04-03,2458449
2021-04-04,2458540
2021-04-05,2458610
2021-04-06,2458890
2021-04-07,2459387
2021-04-08,2459828
2021-04-09,2460395
2021-04-10,2460752
2021-04-11,2460913
2021-04-12,2461144
2021-04-13,2461410
2021-04-14,2461704
2021-04-15,2462033
2021-04-16,2462390
2021-04-17,2462621
2021-04-18,2462719
2021-04-19,2462901
2021-04-20,2463146
2021-04-21,2463412
2021-04-22,2463643
2021-04-23,2463846
2021-04-24,2464000
2021-04-25,2464063
2021-04-26,2464238
2021-04-27,2464427
2021-04-28,2464637
2021-04-29,2464868
2021-04-30,2465071
2021-05-01,2465148
2021-05-02,2465190
2021-05-03,2465239
2021-05-04,2465344
2021-05-05,2465512
2021-05-06,2465666
2021-05-07,2465799
2021-05-08,2465918
2021-05-09,2465960
2021-05-10,2466065
2021-05-11,2466198
2021-05-12,2466387
2021-05-13,2466534
2021-05-14,2466681
2021-05-15,2466786
2021-05-16,2466849
2021-05-17,2466933
2021-05-18,2467066
2021-05-19,2467241
2021-05-20,2467423
2021-05-21,2467556
2021-05-22,2467640
2021-05-23,2467661
2021-05-24,2467689
2021-05-25,2467738
2021-05-26,2467794
total,2578870
