,11,12
2020-11-28,588161,525350
2020-11-29,588161,525350
2020-11-30,588161,525350
2020-12-01,588147,525336
2020-12-02,588147,525336
2020-12-03,588147,525336
2020-12-04,588147,525336
2020-12-05,588147,525336
2020-12-06,588147,525336
2020-12-07,588147,525329
2020-12-08,587685,524874
2020-12-09,586649,524027
2020-12-10,585417,523061
2020-12-11,584220,522137
2020-12-12,583429,521521
2020-12-13,582778,520982
2020-12-14,581560,519988
2020-12-15,570059,509852
2020-12-16,551488,492674
2020-12-17,534975,477337
2020-12-18,523887,467607
2020-12-19,510643,456022
2020-12-20,499198,445627
2020-12-21,492044,439495
2020-12-22,479325,427497
2020-12-23,470281,418859
2020-12-24,468279,416920
2020-12-25,468272,416913
2020-12-26,468265,416913
2020-12-27,468153,416829
2020-12-28,467887,416619
2020-12-29,463659,412923
2020-12-30,453880,403151
2020-12-31,446880,396291
2021-01-01,445613,394933
2021-01-02,444318,393813
2021-01-03,443492,393106
2021-01-04,442554,392308
2021-01-05,440825,390586
2021-01-06,436604,387100
2021-01-07,417718,371028
2021-01-08,395290,351981
2021-01-09,376320,333900
2021-01-10,367192,326172
2021-01-11,362432,322084
2021-01-12,349335,309995
2021-01-13,328251,292180
2021-01-14,306474,274554
2021-01-15,279503,251909
2021-01-16,248255,224546
2021-01-17,234752,212884
2021-01-18,227073,206038
2021-01-19,203035,187971
2021-01-20,176841,168833
2021-01-21,155085,151592
2021-01-22,126672,129199
2021-01-23,102347,111839
2021-01-24,95599,106617
2021-01-25,89537,99988
2021-01-26,82005,92197
2021-01-27,75985,85813
2021-01-28,68033,78330
2021-01-29,59794,70609
2021-01-30,53312,65940
2021-01-31,50631,64127
2021-02-01,47810,60816
2021-02-02,45164,57043
2021-02-03,42574,53207
2021-02-04,39977,49406
2021-02-05,37429,45822
2021-02-06,35497,43757
2021-02-07,34622,42763
2021-02-08,33110,40446
2021-02-09,31297,37807
2021-02-10,29316,34685
2021-02-11,27419,31955
2021-02-12,25711,29344
2021-02-13,24612,27895
2021-02-14,24213,27342
2021-02-15,23576,26334
2021-02-16,22925,25438
2021-02-17,22253,24479
2021-02-18,21644,23604
2021-02-19,21140,22855
2021-02-20,20825,22491
2021-02-21,20713,22372
2021-02-22,20447,22001
2021-02-23,19964,21378
2021-02-24,19474,20720
2021-02-25,18942,20034
2021-02-26,18424,19411
2021-02-27,18144,19131
2021-02-28,18067,19054
2021-03-01,17871,18774
2021-03-02,17591,18382
2021-03-03,17234,17906
2021-03-04,16814,17409
2021-03-05,16422,16884
2021-03-06,16170,16632
2021-03-07,16121,16562
2021-03-08,15925,16380
2021-03-09,15666,16030
2021-03-10,15393,15729
2021-03-11,15134,15442
2021-03-12,14910,15155
2021-03-13,14693,14994
2021-03-14,14630,14931
2021-03-15,14441,14728
2021-03-16,14231,14504
2021-03-17,14042,14322
2021-03-18,13839,14084
2021-03-19,13608,13895
2021-03-20,13461,13769
2021-03-21,13412,13713
2021-03-22,13272,13587
2021-03-23,13132,13426
2021-03-24,12929,13223
2021-03-25,12747,13006
2021-03-26,12586,12838
2021-03-27,12453,12670
2021-03-28,12397,12607
2021-03-29,12278,12481
2021-03-30,12138,12313
2021-03-31,11998,12166
2021-04-01,11879,12026
2021-04-02,11774,11942
2021-04-03,11704,11893
2021-04-04,11690,11865
2021-04-05,11669,11851
2021-04-06,11620,11795
2021-04-07,11501,11648
2021-04-08,11403,11564
2021-04-09,11284,11459
2021-04-10,11193,11396
2021-04-11,11158,11354
2021-04-12,11095,11291
2021-04-13,11032,11207
2021-04-14,10962,11123
2021-04-15,10899,11039
2021-04-16,10829,10983
2021-04-17,10773,10948
2021-04-18,10745,10927
2021-04-19,10710,10871
2021-04-20,10647,10808
2021-04-21,10591,10738
2021-04-22,10542,10682
2021-04-23,10486,10633
2021-04-24,10451,10612
2021-04-25,10430,10591
2021-04-26,10395,10542
2021-04-27,10353,10479
2021-04-28,10304,10430
2021-04-29,10255,10374
2021-04-30,10213,10332
2021-05-01,10199,10311
2021-05-02,10192,10297
2021-05-03,10178,10290
2021-05-04,10157,10269
2021-05-05,10122,10227
2021-05-06,10080,10171
2021-05-07,10045,10136
2021-05-08,10010,10122
2021-05-09,10003,10108
2021-05-10,9975,10073
2021-05-11,9954,10038
2021-05-12,9898,9996
2021-05-13,9856,9954
2021-05-14,9835,9912
2021-05-15,9814,9891
2021-05-16,9793,9877
2021-05-17,9772,9856
2021-05-18,9723,9828
2021-05-19,9681,9793
total,588168,525357
