,0,1,2,3
2020-11-28,9459135,4367496,2624244,3391668
2020-11-29,9459135,4367489,2624237,3391661
2020-11-30,9459135,4367482,2624237,3391661
2020-12-01,9459135,4367454,2624237,3391654
2020-12-02,9459135,4367454,2624237,3391654
2020-12-03,9459135,4367454,2624230,3391654
2020-12-04,9459135,4367447,2624230,3391654
2020-12-05,9459128,4367447,2624230,3391654
2020-12-06,9459128,4367447,2624230,3391654
2020-12-07,9459128,4367440,2624230,3391647
2020-12-08,9458484,4366418,2623796,3391122
2020-12-09,9457280,4364325,2623068,3390177
2020-12-10,9456034,4361868,2622291,3389372
2020-12-11,9454711,4359530,2621514,3388469
2020-12-12,9453241,4357962,2620744,3387608
2020-12-13,9452128,4356646,2620268,3386929
2020-12-14,9450686,4354210,2619603,3386047
2020-12-15,9448383,4332006,2618462,3384598
2020-12-16,9445562,4295501,2617132,3382659
2020-12-17,9442230,4262496,2615515,3380258
2020-12-18,9438954,4240544,2613905,3378018
2020-12-19,9436168,4214511,2612645,3376100
2020-12-20,9432437,4191621,2611049,3373433
2020-12-21,9427782,4177103,2608886,3369961
2020-12-22,9423533,4151175,2606793,3367028
2020-12-23,9417856,4131792,2604245,3363325
2020-12-24,9414965,4126752,2603062,3361491
2020-12-25,9414944,4126745,2603048,3361484
2020-12-26,9414762,4126724,2603006,3361414
2020-12-27,9413789,4126437,2602698,3360875
2020-12-28,9412137,4125751,2602159,3360000
2020-12-29,9407979,4116189,2600556,3357641
2020-12-30,9398809,4089323,2596580,3351901
2020-12-31,9389877,4069170,2592716,3346406
2021-01-01,9387455,4065138,2591652,3344936
2021-01-02,9384305,4061554,2590595,3343284
2021-01-03,9381575,4059629,2589741,3341989
2021-01-04,9376822,4057214,2588138,3339511
2021-01-05,9368310,4052139,2585163,3334492
2021-01-06,9356781,4039630,2581124,3327653
2021-01-07,9340408,3989832,2574775,3317503
2021-01-08,9322733,3928890,2567600,3306828
2021-01-09,9306990,3876383,2561321,3297301
2021-01-10,9296532,3853367,2557814,3291750
2021-01-11,9281482,3836791,2552361,3283511
2021-01-12,9262855,3797899,2545606,3273144
2021-01-13,9242548,3736306,2538067,3261629
2021-01-14,9220274,3670702,2529779,3248770
2021-01-15,9195389,3588984,2519496,3234315
2021-01-16,9173682,3505453,2510837,3222044
2021-01-17,9158037,3469620,2505454,3213609
2021-01-18,9139788,3441571,2499042,3203858
2021-01-19,9119271,3358145,2490502,3192693
2021-01-20,9096402,3260544,2480156,3180618
2021-01-21,9073197,3160703,2467948,3167920
2021-01-22,9047262,3013367,2451729,3153444
2021-01-23,9026143,2860102,2436959,3141929
2021-01-24,9013494,2807945,2429245,3134775
2021-01-25,8998157,2760058,2421174,3126564
2021-01-26,8980524,2695938,2410149,3117240
2021-01-27,8963948,2633491,2398536,3108266
2021-01-28,8946966,2534273,2381295,3099040
2021-01-29,8928801,2391683,2361534,3088750
2021-01-30,8914206,2245859,2339316,3080469
2021-01-31,8902950,2162552,2325911,3074302
2021-02-01,8892415,2086812,2311498,3068499
2021-02-02,8881271,2000320,2292920,3061870
2021-02-03,8869000,1890952,2266558,3054625
2021-02-04,8855756,1775977,2234834,3046736
2021-02-05,8842974,1666777,2202179,3038875
2021-02-06,8831802,1528891,2154264,3031630
2021-02-07,8825152,1459276,2132459,3027108
2021-02-08,8818061,1391593,2109548,3022817
2021-02-09,8809311,1296246,2080197,3017119
2021-02-10,8799469,1197742,2048116,3009881
2021-02-11,8787772,1082683,2010505,3000214
2021-02-12,8774262,965958,1971634,2987992
2021-02-13,8759660,845481,1935031,2975651
2021-02-14,8751603,797909,1919645,2968630
2021-02-15,8741873,746298,1902894,2961119
2021-02-16,8728552,682661,1861384,2945425
2021-02-17,8709939,614040,1790257,2921198
2021-02-18,8690640,559986,1722014,2898511
2021-02-19,8672734,518112,1667988,2878960
2021-02-20,8654884,482909,1614207,2859472
2021-02-21,8646477,469756,1596175,2850687
2021-02-22,8636068,450240,1572543,2840229
2021-02-23,8617952,426965,1513330,2819096
2021-02-24,8594355,396291,1434195,2786525
2021-02-25,8568112,367367,1348564,2746562
2021-02-26,8539699,339290,1261694,2700670
2021-02-27,8514576,320579,1195649,2663290
2021-02-28,8502291,311115,1173893,2640449
2021-03-01,8490965,303695,1155665,2617678
2021-03-02,8479373,295505,1134525,2588922
2021-03-03,8461516,285880,1097369,2549365
2021-03-04,8440390,272832,1046318,2495521
2021-03-05,8415855,259413,992264,2439416
2021-03-06,8389843,248535,934997,2379650
2021-03-07,8381121,245903,920801,2352623
2021-03-08,8371748,240513,902923,2319170
2021-03-09,8360583,234864,882385,2282469
2021-03-10,8346947,229600,859250,2239678
2021-03-11,8334536,224420,839839,2191840
2021-03-12,8312794,217798,807044,2117535
2021-03-13,8282463,210749,761845,1997660
2021-03-14,8268757,207431,742266,1939287
2021-03-15,8250123,202069,715064,1851136
2021-03-16,8226960,197225,685979,1745366
2021-03-17,8198974,193081,659645,1631455
2021-03-18,8167971,188657,631932,1491049
2021-03-19,8130619,184667,602777,1341508
2021-03-20,8078259,180516,566566,1135036
2021-03-21,8051589,179235,552384,1051337
2021-03-22,8027355,176932,536928,976248
2021-03-23,7997780,174293,521451,905009
2021-03-24,7962878,171528,506464,840805
2021-03-25,7920010,168861,491750,778918
2021-03-26,7867076,166306,475496,713958
2021-03-27,7786233,163702,455651,636251
2021-03-28,7741482,162568,446187,597205
2021-03-29,7707119,160853,436898,566118
2021-03-30,7669319,158949,428197,539546
2021-03-31,7629552,156954,418985,513618
2021-04-01,7599557,155421,412237,499982
2021-04-02,7581665,154693,408961,490917
2021-04-03,7564655,154077,405615,480662
2021-04-04,7556577,153832,403725,476140
2021-04-05,7552839,153657,402654,474103
2021-04-06,7540148,152880,399826,469861
2021-04-07,7524860,151627,395710,463932
2021-04-08,7512001,150528,392455,458689
2021-04-09,7496279,149282,388591,452074
2021-04-10,7476126,148337,385273,445984
2021-04-11,7465717,147931,383922,443562
2021-04-12,7460124,147259,382389,441280
2021-04-13,7447741,146517,380639,438977
2021-04-14,7421806,145733,378847,436695
2021-04-15,7386960,144956,376635,434252
2021-04-16,7350462,144151,374514,431991
2021-04-17,7308658,143591,372603,429814
2021-04-18,7280532,143332,371525,428771
