,total,Vaccinated,Declined,Inappropriate/unsuccessful,Unreached,Vaccinated_percent,Declined_percent,Inappropriate/unsuccessful_percent,Unreached_percent
Unknown,82607.0,78225.0,1617.0,56.0,2709.0,94.69536479959325,1.9574612320989746,0.0677908651809247,3.2793831031268534
1 (most deprived),588399.0,541002.0,16709.0,770.0,29918.0,91.94475177558085,2.8397397004413674,0.13086358066550474,5.084644943312276
2,747831.0,703010.0,16555.0,546.0,27720.0,94.00653356172718,2.2137354562728744,0.07301114824070964,3.7067198337592315
3,971824.0,928249.0,16058.0,672.0,26845.0,95.51616342053705,1.6523568053474704,0.06914832315317199,2.7623314509623142
4,998046.0,959588.0,14434.0,707.0,23317.0,96.14667059434134,1.4462259254583456,0.0708384182692896,2.3362650619310132
5 (least deprived),978922.0,949347.0,10101.0,686.0,18788.0,96.97881955865738,1.0318493199662486,0.0700770847932688,1.9192540365830986
