,5
2020-11-28,1298423
2020-11-29,1298423
2020-11-30,1298423
2020-12-01,1298423
2020-12-02,1298423
2020-12-03,1298423
2020-12-04,1298416
2020-12-05,1298416
2020-12-06,1298416
2020-12-07,1298416
2020-12-08,1298213
2020-12-09,1297870
2020-12-10,1297583
2020-12-11,1297226
2020-12-12,1296883
2020-12-13,1296617
2020-12-14,1296302
2020-12-15,1295763
2020-12-16,1295035
2020-12-17,1294160
2020-12-18,1293292
2020-12-19,1292620
2020-12-20,1291661
2020-12-21,1290366
2020-12-22,1289211
2020-12-23,1287860
2020-12-24,1287174
2020-12-25,1287167
2020-12-26,1287139
2020-12-27,1286943
2020-12-28,1286579
2020-12-29,1285648
2020-12-30,1283471
2020-12-31,1281364
2021-01-01,1280776
2021-01-02,1280111
2021-01-03,1279593
2021-01-04,1278627
2021-01-05,1276618
2021-01-06,1274035
2021-01-07,1270269
2021-01-08,1266195
2021-01-09,1262562
2021-01-10,1260322
2021-01-11,1257025
2021-01-12,1252909
2021-01-13,1248380
2021-01-14,1243403
2021-01-15,1237726
2021-01-16,1232966
2021-01-17,1229662
2021-01-18,1225812
2021-01-19,1221507
2021-01-20,1216950
2021-01-21,1211966
2021-01-22,1206331
2021-01-23,1201949
2021-01-24,1199275
2021-01-25,1196083
2021-01-26,1192485
2021-01-27,1188943
2021-01-28,1185373
2021-01-29,1181586
2021-01-30,1178520
2021-01-31,1176189
2021-02-01,1174005
2021-02-02,1171576
2021-02-03,1169056
2021-02-04,1166179
2021-02-05,1163379
2021-02-06,1160845
2021-02-07,1159319
2021-02-08,1157765
2021-02-09,1155854
2021-02-10,1153733
2021-02-11,1151108
2021-02-12,1147685
2021-02-13,1144297
2021-02-14,1142239
2021-02-15,1140027
2021-02-16,1136338
2021-02-17,1130633
2021-02-18,1124970
2021-02-19,1120224
2021-02-20,1115296
2021-02-21,1113077
2021-02-22,1110151
2021-02-23,1104572
2021-02-24,1097600
2021-02-25,1089830
2021-02-26,1081773
2021-02-27,1075221
2021-02-28,1072008
2021-03-01,1069173
2021-03-02,1065708
2021-03-03,1060731
2021-03-04,1053738
2021-03-05,1046465
2021-03-06,1038359
2021-03-07,1036084
2021-03-08,1033655
2021-03-09,1030190
2021-03-10,1026018
2021-03-11,1020271
2021-03-12,1006341
2021-03-13,974687
2021-03-14,963431
2021-03-15,948129
2021-03-16,919912
2021-03-17,875791
2021-03-18,804468
2021-03-19,729736
2021-03-20,607537
2021-03-21,562954
2021-03-22,522074
2021-03-23,481012
2021-03-24,443233
2021-03-25,405328
2021-03-26,365890
2021-03-27,316351
2021-03-28,292768
2021-03-29,274239
2021-03-30,258286
2021-03-31,242172
2021-04-01,235130
2021-04-02,231014
2021-04-03,226310
2021-04-04,224448
2021-04-05,223636
2021-04-06,221606
2021-04-07,218715
2021-04-08,215999
2021-04-09,212464
2021-04-10,208929
2021-04-11,207445
2021-04-12,206206
2021-04-13,205030
2021-04-14,203840
2021-04-15,202545
2021-04-16,201320
2021-04-17,200137
2021-04-18,199528
2021-04-19,198835
2021-04-20,198135
2021-04-21,197211
2021-04-22,196245
2021-04-23,195202
2021-04-24,194257
2021-04-25,193788
2021-04-26,193018
2021-04-27,192290
2021-04-28,191576
2021-04-29,190876
2021-04-30,190064
2021-05-01,189497
2021-05-02,189168
2021-05-03,188951
2021-05-04,188496
2021-05-05,187845
2021-05-06,187187
2021-05-07,186452
2021-05-08,185787
2021-05-09,185416
2021-05-10,184898
2021-05-11,184205
2021-05-12,183344
2021-05-13,182280
2021-05-14,181440
2021-05-15,180600
2021-05-16,180124
2021-05-17,179641
2021-05-18,178976
2021-05-19,178129
total,1298423
