,7
2020-11-28,0
2020-11-29,0
2020-11-30,7
2020-12-01,7
2020-12-02,14
2020-12-03,14
2020-12-04,14
2020-12-05,14
2020-12-06,14
2020-12-07,14
2020-12-08,147
2020-12-09,434
2020-12-10,777
2020-12-11,1134
2020-12-12,1393
2020-12-13,1547
2020-12-14,1848
2020-12-15,2436
2020-12-16,3164
2020-12-17,4172
2020-12-18,5124
2020-12-19,5971
2020-12-20,7154
2020-12-21,8456
2020-12-22,9653
2020-12-23,10997
2020-12-24,11627
2020-12-25,11634
2020-12-26,11711
2020-12-27,11851
2020-12-28,12110
2020-12-29,13167
2020-12-30,15134
2020-12-31,16779
2021-01-01,17367
2021-01-02,18053
2021-01-03,18515
2021-01-04,19411
2021-01-05,21196
2021-01-06,23779
2021-01-07,27370
2021-01-08,31430
2021-01-09,34713
2021-01-10,36729
2021-01-11,39445
2021-01-12,42819
2021-01-13,46816
2021-01-14,51156
2021-01-15,55902
2021-01-16,59507
2021-01-17,61887
2021-01-18,65163
2021-01-19,68733
2021-01-20,72548
2021-01-21,76797
2021-01-22,81347
2021-01-23,85253
2021-01-24,87472
2021-01-25,90083
2021-01-26,93184
2021-01-27,96628
2021-01-28,100226
2021-01-29,104062
2021-01-30,107450
2021-01-31,110327
2021-02-01,113757
2021-02-02,117852
2021-02-03,122661
2021-02-04,127211
2021-02-05,131922
2021-02-06,135954
2021-02-07,138208
2021-02-08,140791
2021-02-09,144704
2021-02-10,149758
2021-02-11,156758
2021-02-12,167251
2021-02-13,178150
2021-02-14,184737
2021-02-15,190757
2021-02-16,201614
2021-02-17,220129
2021-02-18,236782
2021-02-19,249634
2021-02-20,261667
2021-02-21,265202
2021-02-22,271229
2021-02-23,285215
2021-02-24,309778
2021-02-25,340186
2021-02-26,375172
2021-02-27,407729
2021-02-28,427490
2021-03-01,451129
2021-03-02,479962
2021-03-03,514843
2021-03-04,556801
2021-03-05,606312
2021-03-06,656691
2021-03-07,683872
2021-03-08,718634
2021-03-09,750855
2021-03-10,782460
2021-03-11,810509
2021-03-12,841925
2021-03-13,882735
2021-03-14,901677
2021-03-15,924427
2021-03-16,944986
2021-03-17,963214
2021-03-18,979566
2021-03-19,999026
2021-03-20,1021321
2021-03-21,1029889
2021-03-22,1037498
2021-03-23,1044589
2021-03-24,1051204
2021-03-25,1058246
2021-03-26,1065071
2021-03-27,1072946
2021-03-28,1076334
2021-03-29,1079505
2021-03-30,1082515
2021-03-31,1085630
2021-04-01,1087576
2021-04-02,1088535
2021-04-03,1089690
2021-04-04,1090040
2021-04-05,1090278
2021-04-06,1091272
2021-04-07,1092175
2021-04-08,1093106
2021-04-09,1094072
2021-04-10,1094940
2021-04-11,1095353
2021-04-12,1095843
2021-04-13,1096396
2021-04-14,1097019
2021-04-15,1097537
2021-04-16,1098048
2021-04-17,1098447
2021-04-18,1098622
2021-04-19,1098965
2021-04-20,1099462
2021-04-21,1099875
2021-04-22,1100288
2021-04-23,1100722
2021-04-24,1101065
2021-04-25,1101205
2021-04-26,1101548
2021-04-27,1101954
2021-04-28,1102255
2021-04-29,1102668
2021-04-30,1103130
2021-05-01,1103375
2021-05-02,1103487
2021-05-03,1103564
2021-05-04,1103851
2021-05-05,1104229
2021-05-06,1104537
2021-05-07,1104845
2021-05-08,1105174
2021-05-09,1105300
2021-05-10,1105615
2021-05-11,1106091
2021-05-12,1106462
2021-05-13,1106917
2021-05-14,1107337
2021-05-15,1107764
2021-05-16,1107960
2021-05-17,1108352
2021-05-18,1108772
2021-05-19,1109262
2021-05-20,1109829
2021-05-21,1110263
2021-05-22,1110606
2021-05-23,1110606
2021-05-24,1110613
total,1237145
