,False
2020-11-28,21
2020-11-29,42
2020-11-30,49
2020-12-01,84
2020-12-02,91
2020-12-03,91
2020-12-04,105
2020-12-05,105
2020-12-06,112
2020-12-07,119
2020-12-08,1239
2020-12-09,3304
2020-12-10,5467
2020-12-11,7812
2020-12-12,9751
2020-12-13,11039
2020-12-14,13230
2020-12-15,17192
2020-12-16,22029
2020-12-17,28287
2020-12-18,34440
2020-12-19,39690
2020-12-20,46802
2020-12-21,55419
2020-12-22,63308
2020-12-23,72415
2020-12-24,76748
2020-12-25,76783
2020-12-26,77175
2020-12-27,78330
2020-12-28,80325
2020-12-29,86821
2020-12-30,100226
2020-12-31,112700
2021-01-01,116459
2021-01-02,120806
2021-01-03,124124
2021-01-04,130578
2021-01-05,143213
2021-01-06,160552
2021-01-07,184982
2021-01-08,211596
2021-01-09,233793
2021-01-10,247583
2021-01-11,267239
2021-01-12,291613
2021-01-13,319011
2021-01-14,349020
2021-01-15,382158
2021-01-16,408744
2021-01-17,426762
2021-01-18,449666
2021-01-19,475125
2021-01-20,502642
2021-01-21,532042
2021-01-22,564277
2021-01-23,590268
2021-01-24,605745
2021-01-25,624323
2021-01-26,645687
2021-01-27,667436
2021-01-28,689535
2021-01-29,713993
2021-01-30,733992
2021-01-31,748720
2021-02-01,763994
2021-02-02,781746
2021-02-03,801395
2021-02-04,821730
2021-02-05,842618
2021-02-06,862358
2021-02-07,873530
2021-02-08,885892
2021-02-09,902139
2021-02-10,921669
2021-02-11,946323
2021-02-12,979405
2021-02-13,1014573
2021-02-14,1035041
2021-02-15,1056447
2021-02-16,1096088
2021-02-17,1159116
2021-02-18,1219218
2021-02-19,1270395
2021-02-20,1321173
2021-02-21,1340297
2021-02-22,1366477
2021-02-23,1420552
2021-02-24,1505511
2021-02-25,1605569
2021-02-26,1715588
2021-02-27,1812223
2021-02-28,1865507
2021-03-01,1922417
2021-03-02,1992158
2021-03-03,2080883
2021-03-04,2199827
2021-03-05,2337832
2021-03-06,2481633
2021-03-07,2551353
2021-03-08,2638209
2021-03-09,2730140
2021-03-10,2839165
2021-03-11,2955470
2021-03-12,3120691
2021-03-13,3377318
2021-03-14,3507371
2021-03-15,3707088
2021-03-16,3944934
2021-03-17,4199839
2021-03-18,4506999
2021-03-19,4873897
2021-03-20,5336107
2021-03-21,5526752
2021-03-22,5698070
2021-03-23,5855136
2021-03-24,6002185
2021-03-25,6146959
2021-03-26,6299524
2021-03-27,6482133
2021-03-28,6570144
2021-03-29,6642356
2021-03-30,6704271
2021-03-31,6765325
2021-04-01,6796349
2021-04-02,6814906
2021-04-03,6837369
2021-04-04,6845664
2021-04-05,6850032
2021-04-06,6861792
2021-04-07,6874945
2021-04-08,6886558
2021-04-09,6900705
2021-04-10,6913851
2021-04-11,6919437
2021-04-12,6924841
2021-04-13,6930448
2021-04-14,6936020
2021-04-15,6941690
2021-04-16,6947213
2021-04-17,6952288
2021-04-18,6954640
2021-04-19,6958084
2021-04-20,6962053
2021-04-21,6966302
2021-04-22,6970656
2021-04-23,6975304
2021-04-24,6979441
2021-04-25,6981387
2021-04-26,6984740
2021-04-27,6988331
2021-04-28,6991691
2021-04-29,6995520
2021-04-30,6999440
2021-05-01,7002324
2021-05-02,7003717
2021-05-03,7004627
2021-05-04,7007084
2021-05-05,7010535
2021-05-06,7013713
2021-05-07,7016912
2021-05-08,7020139
2021-05-09,7021714
2021-05-10,7024339
2021-05-11,7028252
2021-05-12,7032333
2021-05-13,7037086
2021-05-14,7041328
2021-05-15,7045577
2021-05-16,7047621
2021-05-17,7050652
2021-05-18,7054404
2021-05-19,7058954
2021-05-20,7061698
2021-05-21,7064211
2021-05-22,7066297
2021-05-23,7066325
2021-05-24,7066346
total,8072869
