,5,6,7
2020-11-28,7,0,0
2020-11-29,7,7,7
2020-11-30,14,14,14
2020-12-01,35,21,21
2020-12-02,35,21,28
2020-12-03,35,28,28
2020-12-04,42,28,28
2020-12-05,42,28,28
2020-12-06,42,28,28
2020-12-07,49,35,28
2020-12-08,518,448,273
2020-12-09,1260,1225,819
2020-12-10,2065,1988,1400
2020-12-11,2982,2821,1995
2020-12-12,3752,3535,2443
2020-12-13,4263,3976,2779
2020-12-14,5096,4809,3311
2020-12-15,6622,6314,4249
2020-12-16,8449,8141,5432
2020-12-17,10780,10416,7077
2020-12-18,13132,12726,8575
2020-12-19,15050,14672,9947
2020-12-20,17626,17374,11795
2020-12-21,20853,20608,13951
2020-12-22,23877,23555,15855
2020-12-23,27286,26950,18158
2020-12-24,28924,28525,19278
2020-12-25,28938,28532,19285
2020-12-26,29106,28686,19376
2020-12-27,29547,29127,19649
2020-12-28,30359,29799,20153
2020-12-29,32879,32123,21805
2020-12-30,38038,36946,25235
2020-12-31,42931,41552,28210
2021-01-01,44422,42861,29155
2021-01-02,46123,44436,30233
2021-01-03,47446,45640,31017
2021-01-04,50043,48006,32515
2021-01-05,55111,52619,35476
2021-01-06,61789,58912,39830
2021-01-07,70924,68005,46025
2021-01-08,80899,77959,52724
2021-01-09,89341,86093,58345
2021-01-10,94780,91161,61628
2021-01-11,102571,98441,66213
2021-01-12,112014,107653,71925
2021-01-13,122619,117740,78617
2021-01-14,134085,128849,86065
2021-01-15,146888,140973,94283
2021-01-16,157115,150759,100863
2021-01-17,164129,157360,105266
2021-01-18,173019,165767,110873
2021-01-19,182784,175077,117250
2021-01-20,193403,185185,124040
2021-01-21,204694,195888,131446
2021-01-22,216993,207571,139706
2021-01-23,226681,216965,146601
2021-01-24,232407,222565,150773
2021-01-25,239470,229481,155365
2021-01-26,247681,237167,160832
2021-01-27,255920,244979,166523
2021-01-28,264271,252791,172466
2021-01-29,273357,261506,179123
2021-01-30,280637,268604,184730
2021-01-31,285971,273434,189308
2021-02-01,291193,278439,194334
2021-02-02,297227,284179,200319
2021-02-03,303555,290570,207270
2021-02-04,310310,297283,214123
2021-02-05,317226,304178,221207
2021-02-06,323694,311192,227444
2021-02-07,327089,315294,231126
2021-02-08,331366,319494,235011
2021-02-09,336721,324611,240786
2021-02-10,342503,330421,248724
2021-02-11,348880,337645,259756
2021-02-12,357063,346850,275457
2021-02-13,365897,356769,291858
2021-02-14,370846,362922,301224
2021-02-15,376551,369621,310226
2021-02-16,385847,381472,328706
2021-02-17,400330,400099,358596
2021-02-18,414883,418894,385350
2021-02-19,427826,435421,407050
2021-02-20,441301,451731,428015
2021-02-21,446971,457513,435694
2021-02-22,454069,466137,446145
2021-02-23,468083,483112,469224
2021-02-24,487074,507038,511238
2021-02-25,508431,532847,564116
2021-02-26,529361,559811,626192
2021-02-27,548149,582372,681464
2021-02-28,556808,591269,717199
2021-03-01,565082,599480,757624
2021-03-02,574448,609651,807814
2021-03-03,586194,624057,870380
2021-03-04,604093,645204,950257
2021-03-05,626318,674282,1036938
2021-03-06,647976,706839,1126503
2021-03-07,655018,722449,1173571
2021-03-08,663964,741447,1232483
2021-03-09,673470,769951,1286404
2021-03-10,685566,812693,1340549
2021-03-11,700763,863786,1390536
2021-03-12,732046,937440,1450806
2021-03-13,799316,1049986,1527603
2021-03-14,828828,1112804,1565319
2021-03-15,870653,1227086,1608901
2021-03-16,942928,1353828,1647702
2021-03-17,1042132,1476195,1681008
2021-03-18,1198092,1595811,1712578
2021-03-19,1391516,1733431,1748369
2021-03-20,1661534,1886031,1787912
2021-03-21,1762775,1959678,1803627
2021-03-22,1856764,2022846,1817732
2021-03-23,1947680,2076221,1830465
2021-03-24,2034480,2124206,1842687
2021-03-25,2122589,2168698,1854825
2021-03-26,2214625,2217061,1866942
2021-03-27,2329341,2271115,1880760
2021-03-28,2383045,2299241,1886927
2021-03-29,2427033,2321585,1892786
2021-03-30,2464861,2340247,1898190
2021-03-31,2501772,2359203,1903356
2021-04-01,2516402,2372321,1906611
2021-04-02,2524354,2381246,1908284
2021-04-03,2534665,2391361,1910328
2021-04-04,2538165,2395414,1911070
2021-04-05,2539957,2397528,1911525
2021-04-06,2545718,2401980,1913065
2021-04-07,2552550,2406418,1914941
2021-04-08,2558528,2410240,1916740
2021-04-09,2566151,2414881,1918609
2021-04-10,2573641,2419004,1920149
2021-04-11,2576945,2420579,1920842
2021-04-12,2579850,2422231,1921682
2021-04-13,2582650,2424065,1922634
2021-04-14,2585513,2425808,1923593
2021-04-15,2588446,2427621,1924510
2021-04-16,2591358,2429378,1925357
2021-04-17,2594137,2430946,1926085
2021-04-18,2595481,2431660,1926379
2021-04-19,2597098,2432843,1927023
2021-04-20,2599093,2434026,1927807
2021-04-21,2601179,2435419,1928570
2021-04-22,2603447,2436819,1929270
2021-04-23,2605932,2438226,1930019
2021-04-24,2608172,2439542,1930600
2021-04-25,2609236,2440137,1930880
2021-04-26,2610909,2441257,1931433
2021-04-27,2612526,2442496,1932147
2021-04-28,2614213,2443637,1932672
2021-04-29,2616124,2444911,1933316
2021-04-30,2618175,2446108,1933981
2021-05-01,2619736,2447046,1934359
2021-05-02,2620485,2447501,1934548
2021-05-03,2620968,2447795,1934674
2021-05-04,2622277,2448523,1935094
2021-05-05,2623964,2449685,1935696
2021-05-06,2625539,2450735,1936256
2021-05-07,2627226,2451701,1936788
2021-05-08,2628934,2452688,1937320
2021-05-09,2629788,2453192,1937537
2021-05-10,2631132,2454011,1938006
2021-05-11,2633057,2455271,1938720
2021-05-12,2635094,2456650,1939392
2021-05-13,2637439,2458218,1940225
2021-05-14,2639658,2459548,1940939
2021-05-15,2641870,2460906,1941625
2021-05-16,2642983,2461508,1941961
2021-05-17,2644390,2462565,1942549
2021-05-18,2646245,2463783,1943242
2021-05-19,2648653,2465176,1944047
2021-05-20,2650872,2466527,1944915
2021-05-21,2652776,2467780,1945594
2021-05-22,2654631,2468858,1946189
2021-05-23,2655023,2469089,1946315
2021-05-24,2655583,2469418,1946518
2021-05-25,2656143,2469838,1946693
2021-05-26,2656822,2470307,1946924
total,3114629,2804333,2152038
