,F,M
2020-11-28,814835,810530
2020-11-29,814835,810530
2020-11-30,814835,810530
2020-12-01,814828,810530
2020-12-02,814828,810530
2020-12-03,814821,810523
2020-12-04,814821,810523
2020-12-05,814821,810523
2020-12-06,814821,810523
2020-12-07,814821,810523
2020-12-08,814667,810474
2020-12-09,814338,810362
2020-12-10,813967,810250
2020-12-11,813582,810117
2020-12-12,813288,810012
2020-12-13,813134,809956
2020-12-14,812777,809830
2020-12-15,812056,809606
2020-12-16,811244,809347
2020-12-17,810145,809053
2020-12-18,809025,808689
2020-12-19,808066,808423
2020-12-20,806785,808059
2020-12-21,805266,807667
2020-12-22,803796,807247
2020-12-23,802235,806799
2020-12-24,801528,806589
2020-12-25,801528,806582
2020-12-26,801437,806547
2020-12-27,801269,806491
2020-12-28,800961,806393
2020-12-29,799813,806050
2020-12-30,797664,805476
2020-12-31,795676,804923
2021-01-01,795046,804755
2021-01-02,794276,804552
2021-01-03,793653,804419
2021-01-04,792533,804097
2021-01-05,790335,803516
2021-01-06,787325,802711
2021-01-07,783069,801654
2021-01-08,778302,800422
2021-01-09,774711,799449
2021-01-10,772289,798833
2021-01-11,768971,797958
2021-01-12,764722,796901
2021-01-13,760200,795620
2021-01-14,755216,794283
2021-01-15,750001,792666
2021-01-16,745920,791497
2021-01-17,743183,790748
2021-01-18,739494,789600
2021-01-19,735497,788333
2021-01-20,731262,786996
2021-01-21,726663,785456
2021-01-22,721735,783832
2021-01-23,717857,782467
2021-01-24,715659,781599
2021-01-25,712824,780549
2021-01-26,709674,779359
2021-01-27,706356,778057
2021-01-28,703136,776783
2021-01-29,699538,775348
2021-01-30,696605,774179
2021-01-31,694743,773353
2021-02-01,692629,772471
2021-02-02,690256,771414
2021-02-03,687610,770259
2021-02-04,684873,768985
2021-02-05,681954,767704
2021-02-06,679042,766101
2021-02-07,677446,765163
2021-02-08,675661,764190
2021-02-09,673547,763105
2021-02-10,671230,761852
2021-02-11,668542,760319
2021-02-12,664986,758261
2021-02-13,660877,755909
2021-02-14,658427,754390
2021-02-15,655634,752815
2021-02-16,651119,749861
2021-02-17,644378,745122
2021-02-18,637434,740208
2021-02-19,631176,735889
2021-02-20,625065,731318
2021-02-21,623189,729834
2021-02-22,620081,727426
2021-02-23,614152,722848
2021-02-24,605192,716030
2021-02-25,596078,709065
2021-02-26,586775,702149
2021-02-27,578641,695835
2021-02-28,575680,693567
2021-03-01,572733,691453
2021-03-02,569163,688779
2021-03-03,564893,685552
2021-03-04,558152,680078
2021-03-05,548646,672161
2021-03-06,538027,662697
2021-03-07,532560,657412
2021-03-08,526344,651504
2021-03-09,518021,642859
2021-03-10,505113,629104
2021-03-11,490133,613137
2021-03-12,469980,591150
2021-03-13,440965,559853
2021-03-14,425236,541114
2021-03-15,396543,507542
2021-03-16,365204,471450
2021-03-17,333599,435414
2021-03-18,302750,400491
2021-03-19,266168,357959
2021-03-20,227241,311339
2021-03-21,209195,287721
2021-03-22,194089,267393
2021-03-23,181615,251048
2021-03-24,169512,236005
2021-03-25,157843,222082
2021-03-26,145600,206220
2021-03-27,131782,188223
2021-03-28,125391,179179
2021-03-29,120120,171997
2021-03-30,115514,166180
2021-03-31,110509,160006
2021-04-01,107107,155575
2021-04-02,105154,152852
2021-04-03,102928,149618
2021-04-04,102249,148512
2021-04-05,101766,147896
2021-04-06,100527,146349
2021-04-07,99435,145075
2021-04-08,98455,143899
2021-04-09,97398,142485
2021-04-10,96481,141169
2021-04-11,96068,140658
2021-04-12,95634,140147
2021-04-13,95186,139489
2021-04-14,94710,138978
2021-04-15,94206,138432
2021-04-16,93730,137851
2021-04-17,93338,137340
2021-04-18,93149,137123
2021-04-19,92862,136745
2021-04-20,92526,136304
2021-04-21,92183,135842
2021-04-22,91805,135380
2021-04-23,91441,134869
2021-04-24,91119,134421
2021-04-25,90979,134225
2021-04-26,90741,133910
2021-04-27,90454,133567
2021-04-28,90160,133196
2021-04-29,89796,132727
2021-04-30,89481,132335
2021-05-01,89208,131985
2021-05-02,89110,131838
2021-05-03,89026,131761
2021-05-04,88816,131495
2021-05-05,88494,131075
2021-05-06,88228,130711
2021-05-07,87969,130431
2021-05-08,87689,130102
2021-05-09,87549,129934
2021-05-10,87297,129675
2021-05-11,86933,129227
2021-05-12,86534,128807
2021-05-13,86142,128387
2021-05-14,85736,127974
2021-05-15,85316,127526
2021-05-16,85162,127337
2021-05-17,84861,126924
2021-05-18,84518,126504
2021-05-19,84140,126077
2021-05-20,83762,125650
2021-05-21,83363,125209
2021-05-22,83097,124838
2021-05-23,83097,124831
2021-05-24,83090,124824
total,814835,810530
