,5,6,7
2020-11-28,7,0,0
2020-11-29,7,0,0
2020-11-30,14,7,7
2020-12-01,28,14,7
2020-12-02,28,14,14
2020-12-03,28,21,14
2020-12-04,35,21,14
2020-12-05,35,21,14
2020-12-06,35,21,14
2020-12-07,42,28,14
2020-12-08,301,231,147
2020-12-09,700,665,434
2020-12-10,1225,1148,777
2020-12-11,1785,1673,1134
2020-12-12,2212,2065,1393
2020-12-13,2457,2275,1547
2020-12-14,2975,2765,1848
2020-12-15,3955,3710,2436
2020-12-16,5054,4781,3164
2020-12-17,6517,6167,4172
2020-12-18,7994,7651,5124
2020-12-19,9247,8876,5971
2020-12-20,10864,10528,7154
2020-12-21,12796,12439,8456
2020-12-22,14665,14322,9653
2020-12-23,16716,16331,10997
2020-12-24,17668,17248,11627
2020-12-25,17682,17255,11634
2020-12-26,17815,17381,11711
2020-12-27,18060,17612,11851
2020-12-28,18508,18018,12110
2020-12-29,20097,19509,13167
2020-12-30,23079,22225,15134
2020-12-31,25872,24766,16779
2021-01-01,26768,25564,17367
2021-01-02,27811,26537,18053
2021-01-03,28609,27293,18515
2021-01-04,30247,28742,19411
2021-01-05,33306,31521,21196
2021-01-06,37401,35329,23779
2021-01-07,42770,40649,27370
2021-01-08,48664,46641,31430
2021-01-09,53480,51205,34713
2021-01-10,56672,54243,36729
2021-01-11,61173,58443,39445
2021-01-12,66500,63742,42819
2021-01-13,72569,69545,46816
2021-01-14,79058,75873,51156
2021-01-15,86184,82698,55902
2021-01-16,91651,87948,59507
2021-01-17,95354,91441,61887
2021-01-18,100401,96278,65163
2021-01-19,105854,101535,68733
2021-01-20,111916,107107,72548
2021-01-21,118230,113246,76797
2021-01-22,124894,119798,81347
2021-01-23,130200,125048,85253
2021-01-24,133252,128114,87472
2021-01-25,137123,131999,90083
2021-01-26,141729,136332,93184
2021-01-27,146433,140952,96628
2021-01-28,151214,145453,100226
2021-01-29,156513,150479,104062
2021-01-30,160727,154588,107450
2021-01-31,163730,157276,110327
2021-02-01,166768,160265,113757
2021-02-02,170373,163702,117852
2021-02-03,174174,167503,122661
2021-02-04,178052,171507,127211
2021-02-05,182175,175714,131922
2021-02-06,186109,180222,135954
2021-02-07,187978,182756,138208
2021-02-08,190701,185521,140791
2021-02-09,194145,188713,144704
2021-02-10,197806,192283,149758
2021-02-11,201565,196504,156758
2021-02-12,206318,202118,167251
2021-02-13,211771,208579,178150
2021-02-14,214662,212548,184737
2021-02-15,218162,216916,190757
2021-02-16,223769,224392,201614
2021-02-17,232554,235872,220129
2021-02-18,241451,247730,236782
2021-02-19,249641,258307,249634
2021-02-20,258195,268982,261667
2021-02-21,261639,272342,265202
2021-02-22,265811,277865,271229
2021-02-23,274253,288372,285215
2021-02-24,286279,304143,309778
2021-02-25,299866,320222,340186
2021-02-26,312753,336441,375172
2021-02-27,324982,350889,407729
2021-02-28,330435,356125,427490
2021-03-01,335874,361179,451129
2021-03-02,341775,367423,479962
2021-03-03,348551,374927,514843
2021-03-04,359457,387142,556801
2021-03-05,374409,404558,606312
2021-03-06,387954,424648,656691
2021-03-07,392721,435400,683872
2021-03-08,399231,447517,718634
2021-03-09,405272,464492,750855
2021-03-10,413203,491155,782460
2021-03-11,422646,522095,810509
2021-03-12,439992,564235,841925
2021-03-13,475608,624547,882735
2021-03-14,493864,659022,901677
2021-03-15,520387,721280,924427
2021-03-16,564452,788711,944986
2021-03-17,619542,856352,963214
2021-03-18,704158,922131,979566
2021-03-19,822885,1001238,999026
2021-03-20,970732,1086785,1021321
2021-03-21,1027404,1128456,1029889
2021-03-22,1080534,1163883,1037498
2021-03-23,1130409,1192702,1044589
2021-03-24,1179444,1219855,1051204
2021-03-25,1229669,1245440,1058246
2021-03-26,1282295,1273545,1065071
2021-03-27,1347486,1305360,1072946
2021-03-28,1377614,1320795,1076334
2021-03-29,1403087,1333255,1079505
2021-03-30,1424976,1343678,1082515
2021-03-31,1445787,1354857,1085630
2021-04-01,1453382,1362683,1087576
2021-04-02,1457225,1367366,1088535
2021-04-03,1462832,1372826,1089690
2021-04-04,1464470,1374604,1090040
2021-04-05,1465450,1375710,1090278
2021-04-06,1469181,1378496,1091272
2021-04-07,1473129,1380862,1092175
2021-04-08,1476398,1383018,1093106
2021-04-09,1480486,1385482,1094072
2021-04-10,1484441,1387722,1094940
2021-04-11,1486261,1388646,1095353
2021-04-12,1487927,1389591,1095843
2021-04-13,1489558,1390697,1096396
2021-04-14,1491238,1391677,1097019
2021-04-15,1492883,1392734,1097537
2021-04-16,1494570,1393791,1098048
2021-04-17,1496159,1394694,1098447
2021-04-18,1496901,1395093,1098622
2021-04-19,1497832,1395758,1098965
2021-04-20,1499127,1396535,1099462
2021-04-21,1500289,1397340,1099875
2021-04-22,1501591,1398180,1100288
2021-04-23,1503040,1399062,1100722
2021-04-24,1504335,1399832,1101065
2021-04-25,1504930,1400161,1101205
2021-04-26,1505847,1400721,1101548
2021-04-27,1506736,1401344,1101954
2021-04-28,1507709,1402016,1102255
2021-04-29,1508920,1402842,1102668
2021-04-30,1510166,1403549,1103130
2021-05-01,1511160,1404172,1103375
2021-05-02,1511587,1404424,1103487
2021-05-03,1511853,1404585,1103564
2021-05-04,1512707,1405061,1103851
2021-05-05,1513743,1405803,1104229
2021-05-06,1514660,1406426,1104537
2021-05-07,1515619,1406972,1104845
2021-05-08,1516655,1407574,1105174
2021-05-09,1517138,1407882,1105300
2021-05-10,1517964,1408393,1105615
2021-05-11,1519196,1409205,1106091
2021-05-12,1520372,1410024,1106462
2021-05-13,1521660,1410843,1106917
2021-05-14,1523025,1411662,1107337
2021-05-15,1524390,1412523,1107764
2021-05-16,1525013,1412866,1107960
2021-05-17,1525930,1413587,1108352
2021-05-18,1527113,1414343,1108772
2021-05-19,1528646,1415155,1109262
2021-05-20,1530018,1415953,1109829
2021-05-21,1531257,1416800,1110263
2021-05-22,1532363,1417430,1110606
2021-05-23,1532377,1417444,1110606
2021-05-24,1532384,1417451,1110613
total,1816822,1625365,1237145
