,total,Vaccinated,Declined,Contraindicated/unsuccessful,No Records,Vaccinated_percent,Declined_percent,Contraindicated/unsuccessful_percent,No Records_percent
White,1636243.0,1471624.0,21413.0,616.0,142590.0,89.93920829607828,1.3086687001869526,0.03764721988115127,8.71447578385362
Mixed,25718.0,18221.0,728.0,28.0,6741.0,70.84921066956996,2.8307022318998367,0.10887316276537717,26.211213935764835
South Asian,97713.0,78225.0,1470.0,56.0,17962.0,80.05587792821835,1.5044057597249088,0.057310695608578044,18.38240561644817
Black,75488.0,45738.0,2947.0,63.0,26740.0,60.589762611275965,3.90393175074184,0.08345697329377799,35.42284866468843
Other,35525.0,24332.0,791.0,28.0,10374.0,68.49261083743842,2.226600985221675,0.07881773399014946,29.201970443349754
Unknown,933625.0,787675.0,15001.0,847.0,130102.0,84.36738519212746,1.6067478912839737,0.09072164948453576,13.93514526710403
