,Vaccines declined at 2021-05-20 (%),Vaccines declined at 2021-05-20 (n),Population,Vaccines declined at 2021-05-13 (%),Vaccines declined in past week (%)
Group 1,1.6%,3976,251944,1.6%,0.0%
Group 2,2.1%,53739,2579395,2.1%,0.0%
Group 3,1.8%,84266,4754939,1.8%,0.0%
Group 4,3.3%,64939,1990898,3.2%,0.0%
Group 5,1.8%,45570,2503417,1.8%,0.0%
Group 6,2.4%,105427,4320953,2.4%,0.0%
Group 7,1.6%,33425,2152640,1.5%,0.0%
Group 8,1.5%,41972,2804977,1.5%,0.0%
Group 9,1.6%,48454,3115245,1.5%,0.0%
Other,0.4%,103698,23704212,0.4%,0.0%
Population,1.2%,585466,48178620,1.2%,0.0%
