,total,Vaccinated,Declined,Inappropriate/unsuccessful,Unreached,Vaccinated_percent,Declined_percent,Inappropriate/unsuccessful_percent,Unreached_percent
no,4289824.0,3579765.0,104216.0,3381.0,602462.0,83.44782909508642,2.429377056028406,0.07881442222338819,14.043979426661792
yes,34832.0,11067.0,1561.0,119.0,22085.0,31.772508038585208,4.481511254019293,0.3416398713826254,63.404340836012864
