,total,Vaccinated,Declined,Inappropriate/unsuccessful,Unreached,Vaccinated_percent,Declined_percent,Inappropriate/unsuccessful_percent,Unreached_percent
Unknown,23996.0,21196.0,406.0,14.0,2380.0,88.3313885647608,1.691948658109685,0.05834305717618804,9.918319719953326
1 (most deprived),442442.0,346444.0,10682.0,252.0,85064.0,78.3026927823308,2.4143277536942693,0.05695661804259089,19.22602284593235
2,514556.0,424711.0,9800.0,308.0,79737.0,82.53931544865866,1.904554606301355,0.05985743048374559,15.496272514556239
3,581420.0,506422.0,8554.0,322.0,66122.0,87.10089092222489,1.4712256200337106,0.05538165181796728,11.372501805923429
4,606732.0,543641.0,7049.0,336.0,55706.0,89.60150445336656,1.1617979602196686,0.055378651529835565,9.181318934883935
5 (least deprived),635817.0,580349.0,5453.0,406.0,49609.0,91.2761061752045,0.8576367099338331,0.06385485131728785,7.802402263544384
