,total,Vaccinated,Declined,Inappropriate/unsuccessful,Unreached,Vaccinated_percent,Declined_percent,Inappropriate/unsuccessful_percent,Unreached_percent
White,4687473.0,4198481.0,63665.0,1876.0,423451.0,89.5681105789836,1.3581944898669283,0.04002156385753608,9.033673367291929
Mixed,75481.0,53305.0,2135.0,63.0,19978.0,70.62042103310768,2.828526384123157,0.08346471297413416,26.467587869795047
South Asian,327831.0,260386.0,5089.0,140.0,62216.0,79.42689983558601,1.5523242158307176,0.04270493028420219,18.97807101829906
Black,216104.0,130256.0,8043.0,154.0,77651.0,60.27468256024877,3.721819124125421,0.07126198497020653,35.93223633065561
Other,109725.0,74515.0,2583.0,105.0,32522.0,67.91068580542264,2.354066985645933,0.09569377990430894,29.639553429027114
Unknown,2654365.0,2226063.0,43393.0,2408.0,382501.0,83.8642387162278,1.6347789395957226,0.09071849576075408,14.410263848415722
