,total,Vaccinated,Declined,Contraindicated/unsuccessful,No Records,Vaccinated_percent,Declined_percent,Contraindicated/unsuccessful_percent,No Records_percent
White,1760122.0,1539727.0,25109.0,707.0,194579.0,87.4784247910088,1.4265488415007597,0.040167670195586425,11.054858697294847
Mixed,34412.0,23842.0,910.0,28.0,9632.0,69.28397070789259,2.644426362896664,0.08136696501220797,27.990235964198536
South Asian,159334.0,124446.0,2261.0,63.0,32564.0,78.10385730603637,1.4190317195325544,0.039539583516386756,20.437571390914684
Black,96488.0,56966.0,3108.0,49.0,36365.0,59.03946604759141,3.221125943122461,0.050783517121303134,37.68862449216483
Other,50246.0,33607.0,1029.0,56.0,15554.0,66.88492616327667,2.0479242128726667,0.1114516578434035,30.955697966007243
Unknown,1013992.0,826707.0,16527.0,973.0,169785.0,81.52993317501519,1.6298945159330647,0.09595736455514725,16.744214944496605
