,total,Vaccinated,Declined,Inappropriate/unsuccessful,Unreached,Vaccinated_percent,Declined_percent,Inappropriate/unsuccessful_percent,Unreached_percent
no,242130.0,232470.0,3829.0,70.0,5761.0,96.01040763226366,1.581381902283897,0.02891008962127728,2.379300375831165
yes,9800.0,9492.0,133.0,7.0,168.0,96.85714285714286,1.3571428571428572,0.0714285714285694,1.7142857142857142
