,Vaccines declined at 2021-05-20 (%),Vaccines declined at 2021-05-20 (n),Population,Vaccines declined at 2021-05-13 (%),Vaccines declined in past week (%)
Group 1,1.9%,187572,10089709,1.8%,0.0%
Group 2,2.7%,170373,6311858,2.7%,0.0%
Group 3,1.5%,123858,8072869,1.5%,0.0%
Other,0.4%,103698,23704212,0.4%,0.0%
Population,1.2%,585501,48178648,1.2%,0.0%
