,total,Vaccinated,Declined,Contraindicated/unsuccessful,No Records,Vaccinated_percent,Declined_percent,Contraindicated/unsuccessful_percent,No Records_percent
White,6384245.0,6140638.0,92659.0,2219.0,148729.0,96.18424731507015,1.451369739099925,0.03475743803690534,2.329625507793012
Mixed,40173.0,32081.0,2597.0,70.0,5425.0,79.85711796480223,6.464540860777139,0.17424638438752993,13.504094790033108
South Asian,310177.0,270592.0,11564.0,273.0,27748.0,87.23793189050123,3.7281939021913293,0.0880142628241174,8.945859944483312
Black,119616.0,84245.0,13349.0,175.0,21847.0,70.42954119850187,11.159878277153558,0.14630149812735738,18.264279026217228
Other,62559.0,48440.0,3934.0,126.0,10059.0,77.43090522546716,6.288463690276379,0.20140986908359082,16.079221215172876
Unknown,3172813.0,2976050.0,63490.0,2135.0,131138.0,93.79846842533739,2.0010634096620254,0.06729044541862095,4.133177719581961
