,total,Vaccinated,Declined,Inappropriate/unsuccessful,Unreached,Vaccinated_percent,Declined_percent,Inappropriate/unsuccessful_percent,Unreached_percent
no,235095.0,226429.0,3332.0,63.0,5271.0,96.31383057912758,1.4172993896084563,0.026797677534617037,2.2420723537293434
yes,17535.0,16254.0,658.0,14.0,609.0,92.69461077844312,3.75249500998004,0.07984031936126712,3.4730538922155687
