,total,Vaccinated,Declined,Inappropriate/unsuccessful,Unreached,Vaccinated_percent,Declined_percent,Inappropriate/unsuccessful_percent,Unreached_percent
Female,1531901.0,1334648.0,22176.0,623.0,174454.0,87.1236457186202,1.447613129046851,0.0406684243955624,11.388072727937379
Male,1582721.0,1270661.0,26782.0,1246.0,284032.0,80.28332220271292,1.692149153262009,0.07872518277068252,17.945803461254386
