,Vaccination Coverage at 2021-05-25 (%),Vaccination Coverage at 2021-05-25 (n),Population,Vaccination Coverage at 2021-05-18 (%),Vaccination Coverage in past week (%)
Group 1,94.7%,9552081,10089611,94.6%,0.0%
Group 2,84.3%,5324361,6316219,84.0%,0.3%
Group 3,86.0%,6943034,8071014,85.9%,0.2%
Other,37.1%,8788339,23702000,34.4%,2.7%
Population,63.5%,30607815,48178844,62.1%,1.4%
