,total,Vaccinated,Declined,Contraindicated/unsuccessful,No Records,Vaccinated_percent,Declined_percent,Contraindicated/unsuccessful_percent,No Records_percent
White,3553998.0,3095582.0,85603.0,2947.0,369866.0,87.10139960686529,2.408639509645194,0.08292069944889136,10.407040184040621
Mixed,89950.0,62062.0,4760.0,140.0,22988.0,68.99610894941634,5.291828793774319,0.15564202334631716,25.556420233463037
South Asian,572208.0,459228.0,14609.0,483.0,97888.0,80.25543159130946,2.553092581718536,0.0844098649442202,17.107065962027793
Black,260589.0,164234.0,17402.0,308.0,78645.0,63.024149139065734,6.677948800601714,0.11819378408144132,30.17970827625111
Other,90370.0,64575.0,3521.0,133.0,22141.0,71.4562354763749,3.8962044926413633,0.14717273431449485,24.50038729666925
Unknown,1749083.0,1478645.0,44765.0,1428.0,224245.0,84.53829806818773,2.5593410947336404,0.08164278081714826,12.82071805626148
