,total,Vaccinated,Declined,Inappropriate/unsuccessful,Unreached,Vaccinated_percent,Declined_percent,Inappropriate/unsuccessful_percent,Unreached_percent
White,2555609.0,2182789.0,58415.0,2107.0,312298.0,85.41169639017549,2.285756545700066,0.08244610188803847,12.220100962236398
Mixed,53004.0,34342.0,2429.0,84.0,16149.0,64.79133650290544,4.582673005810882,0.15847860538826808,30.467511885895405
South Asian,317730.0,244167.0,7021.0,217.0,66325.0,76.8473231989425,2.209737827715356,0.06829698171402754,20.874641991628113
Black,119973.0,66948.0,7168.0,98.0,45759.0,55.80255557500438,5.974677635801388,0.08168504580197578,38.14108174339226
Other,54600.0,37275.0,1813.0,91.0,15421.0,68.26923076923077,3.3205128205128207,0.1666666666666572,28.243589743589745
Unknown,1220016.0,1008819.0,28560.0,966.0,181671.0,82.68899752134398,2.3409529055356653,0.0791792894519574,14.890870283668411
