,8,9,10,11,12
2021-04-16,62160,38486,20335,11207,11886
2021-04-17,61957,38339,20216,11158,11844
2021-04-18,61866,38269,20167,11130,11823
2021-04-19,61642,38143,20090,11081,11753
2021-04-20,61404,37996,19992,11025,11662
2021-04-21,61173,37814,19873,10962,11585
2021-04-22,60928,37646,19768,10906,11515
2021-04-23,60648,37443,19656,10843,11459
2021-04-24,60466,37261,19565,10808,11431
2021-04-25,60375,37128,19523,10794,11410
2021-04-26,60200,37002,19453,10752,11354
2021-04-27,60018,36841,19376,10696,11291
2021-04-28,59780,36680,19292,10647,11235
2021-04-29,59556,36484,19201,10591,11158
2021-04-30,59360,36337,19117,10549,11116
2021-05-01,59206,36218,19061,10528,11088
2021-05-02,59143,36176,19054,10521,11074
2021-05-03,59073,36134,19040,10514,11067
2021-05-04,58954,36050,18991,10479,11046
2021-05-05,58772,35945,18921,10444,10997
2021-05-06,58520,35812,18837,10402,10941
2021-05-07,58324,35693,18760,10367,10906
2021-05-08,58149,35616,18725,10332,10885
2021-05-09,58072,35574,18704,10318,10878
2021-05-10,57918,35497,18655,10290,10836
2021-05-11,57729,35385,18592,10262,10794
2021-05-12,57470,35238,18515,10213,10752
2021-05-13,57169,35084,18431,10164,10703
2021-05-14,56973,34986,18354,10136,10647
2021-05-15,56812,34881,18305,10115,10626
2021-05-16,56728,34832,18277,10094,10612
2021-05-17,56616,34755,18242,10073,10584
2021-05-18,56427,34650,18179,10024,10549
2021-05-19,56168,34510,18109,9975,10514
total,1080800,1212764,880768,607271,586019
