wave,total,vacc_group,decline_group,decline_total_group,other_reason_group,declined_accepted_group,vaccinated_and_declined_group,preg_group,sevment_group,learndis_group,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,total_percent,vacc_group_percent,decline_group_percent,decline_total_group_percent,other_reason_group_percent,declined_accepted_group_percent,vaccinated_and_declined_group_percent,preg_group_percent,sevment_group_percent,learndis_group_percent,ethnicity_1_percent,ethnicity_2_percent,ethnicity_3_percent,ethnicity_4_percent,ethnicity_5_percent,ethnicity_6_percent
0,14242851,5107291,63301,71897,1372,5460,3129,219527,0,0,7142905,292866,1330938,546140,519540,4410448,100.0,35.9,0.4,0.5,0.0,0.0,0.0,1.5,0.0,0.0,50.2,2.1,9.3,3.8,3.6,31.0
1,144186,137578,2401,3773,21,938,420,0,11116,5565,102991,448,1911,1869,658,36295,100.0,95.4,1.7,2.6,0.0,0.7,0.3,0.0,7.7,3.9,71.4,0.3,1.3,1.3,0.5,25.2
2,1465870,1395534,32732,52122,301,15302,4081,0,11361,805,967701,6132,44828,27468,7091,412636,100.0,95.2,2.2,3.6,0.0,1.0,0.3,0.0,0.8,0.1,66.0,0.4,3.1,1.9,0.5,28.1
3,2683548,2545809,50260,78729,707,16527,11942,0,25228,4228,1886101,11830,89033,37051,17465,642054,100.0,94.9,1.9,2.9,0.0,0.6,0.4,0.0,0.9,0.2,70.3,0.4,3.3,1.4,0.7,23.9
4,1157814,996156,39137,51709,714,9296,3269,15330,39018,36694,596477,24605,165837,107345,23240,240303,100.0,86.0,3.4,4.5,0.1,0.8,0.3,1.3,3.4,3.2,51.5,2.1,14.3,9.3,2.0,20.8
5,1428455,1311681,26880,33915,504,4564,2471,0,15148,3409,952735,9254,69993,26502,15043,354907,100.0,91.8,1.9,2.4,0.0,0.3,0.2,0.0,1.1,0.2,66.7,0.6,4.9,1.9,1.1,24.8
6,2534133,2083074,63651,76594,1519,9534,3402,21014,214984,105735,1573950,35308,208824,89474,35070,591500,100.0,82.2,2.5,3.0,0.1,0.4,0.1,0.8,8.5,4.2,62.1,1.4,8.2,3.5,1.4,23.3
7,1237145,1090201,19992,25655,413,3598,2058,0,0,0,775754,10493,46081,33936,15484,355376,100.0,88.1,1.6,2.1,0.0,0.3,0.2,0.0,0.0,0.0,62.7,0.8,3.7,2.7,1.3,28.7
8,1625365,1391369,25466,35931,609,7259,3199,0,0,0,986860,17388,63798,57680,22827,476798,100.0,85.6,1.6,2.2,0.0,0.4,0.2,0.0,0.0,0.0,60.7,1.1,3.9,3.5,1.4,29.3
9,1816822,1502095,29554,37156,735,5439,2156,0,0,0,1062390,23170,102809,72366,32515,523544,100.0,82.7,1.6,2.0,0.0,0.3,0.1,0.0,0.0,0.0,58.5,1.3,5.7,4.0,1.8,28.8
total,28336217,17560823,353395,467495,6930,77938,36155,255878,316876,156450,16047885,431522,2124087,999866,688961,8043875,100.0,62.0,1.2,1.6,0.0,0.3,0.1,0.9,1.1,0.6,56.6,1.5,7.5,3.5,2.4,28.4
