,9,10
2020-11-28,7,7
2020-11-29,7,7
2020-11-30,14,7
2020-12-01,14,7
2020-12-02,14,7
2020-12-03,14,7
2020-12-04,14,14
2020-12-05,14,14
2020-12-06,14,14
2020-12-07,14,14
2020-12-08,42,21
2020-12-09,91,42
2020-12-10,161,84
2020-12-11,203,105
2020-12-12,252,119
2020-12-13,280,133
2020-12-14,329,175
2020-12-15,420,294
2020-12-16,539,462
2020-12-17,714,924
2020-12-18,875,1372
2020-12-19,1057,1932
2020-12-20,1281,2282
2020-12-21,1519,2723
2020-12-22,1778,3101
2020-12-23,2128,3465
2020-12-24,2261,3661
2020-12-25,2261,3661
2020-12-26,2268,3661
2020-12-27,2282,3675
2020-12-28,2338,3710
2020-12-29,2541,3941
2020-12-30,3094,5355
2020-12-31,3612,6874
2021-01-01,3801,7357
2021-01-02,3920,7994
2021-01-03,4004,8071
2021-01-04,4137,8162
2021-01-05,4361,8449
2021-01-06,5040,10514
2021-01-07,6209,19019
2021-01-08,8337,29631
2021-01-09,11298,37198
2021-01-10,12075,40971
2021-01-11,12929,43743
2021-01-12,14588,49560
2021-01-13,17038,63588
2021-01-14,20860,78638
2021-01-15,25298,96782
2021-01-16,29183,111167
2021-01-17,31136,116893
2021-01-18,33579,122997
2021-01-19,40887,151606
2021-01-20,52437,187047
2021-01-21,66801,226359
2021-01-22,92526,285488
2021-01-23,126819,357315
2021-01-24,139461,382158
2021-01-25,151837,402402
2021-01-26,169337,430493
2021-01-27,188867,457492
2021-01-28,222572,502978
2021-01-29,271684,574910
2021-01-30,336196,640892
2021-01-31,377447,674464
2021-02-01,415177,699916
2021-02-02,467376,721126
2021-02-03,542052,740334
2021-02-04,622328,757309
2021-02-05,699125,771064
2021-02-06,803474,783797
2021-02-07,856317,789145
2021-02-08,901320,795060
2021-02-09,956263,801969
2021-02-10,997766,807492
2021-02-11,1036497,813113
2021-02-12,1068494,817915
2021-02-13,1096228,821604
2021-02-14,1104180,822822
2021-02-15,1110802,824208
2021-02-16,1116304,825678
2021-02-17,1120987,827183
2021-02-18,1124634,828520
2021-02-19,1127273,829521
2021-02-20,1129562,830305
2021-02-21,1130248,830536
2021-02-22,1131529,831019
2021-02-23,1133279,831768
2021-02-24,1135764,832734
2021-02-25,1138172,833805
2021-02-26,1140454,834757
2021-02-27,1141903,835338
2021-02-28,1142498,835534
2021-03-01,1143198,835891
2021-03-02,1144038,836374
2021-03-03,1145102,836885
2021-03-04,1146537,837599
2021-03-05,1148112,838411
2021-03-06,1149225,838894
2021-03-07,1149484,839020
2021-03-08,1150184,839426
2021-03-09,1150961,839839
2021-03-10,1151689,840231
2021-03-11,1152480,840686
2021-03-12,1153348,841120
2021-03-13,1154132,841491
2021-03-14,1154433,841617
2021-03-15,1155049,841876
2021-03-16,1155700,842177
2021-03-17,1156323,842464
2021-03-18,1156932,842814
2021-03-19,1157506,843122
2021-03-20,1158010,843367
2021-03-21,1158199,843465
2021-03-22,1158640,843668
2021-03-23,1159095,843913
2021-03-24,1159627,844228
2021-03-25,1160131,844501
2021-03-26,1160579,844788
2021-03-27,1161034,845103
2021-03-28,1161230,845215
2021-03-29,1161559,845369
2021-03-30,1161965,845579
2021-03-31,1162371,845810
2021-04-01,1162770,846013
2021-04-02,1162910,846188
2021-04-03,1163022,846279
2021-04-04,1163071,846314
2021-04-05,1163113,846328
2021-04-06,1163267,846440
2021-04-07,1163519,846629
2021-04-08,1163771,846797
2021-04-09,1164051,846979
2021-04-10,1164261,847133
2021-04-11,1164345,847217
2021-04-12,1164506,847315
2021-04-13,1164660,847483
2021-04-14,1164828,847637
2021-04-15,1165024,847798
2021-04-16,1165248,847959
2021-04-17,1165395,848071
2021-04-18,1165465,848120
2021-04-19,1165584,848190
2021-04-20,1165731,848281
2021-04-21,1165906,848407
2021-04-22,1166074,848512
2021-04-23,1166270,848617
2021-04-24,1166452,848708
2021-04-25,1166578,848750
2021-04-26,1166711,848813
2021-04-27,1166858,848890
2021-04-28,1167019,848974
2021-04-29,1167208,849058
2021-04-30,1167355,849142
2021-05-01,1167467,849191
2021-05-02,1167516,849198
2021-05-03,1167551,849212
2021-05-04,1167635,849261
2021-05-05,1167740,849331
2021-05-06,1167880,849408
2021-05-07,1167992,849478
2021-05-08,1168069,849520
2021-05-09,1168104,849534
2021-05-10,1168188,849583
2021-05-11,1168293,849639
2021-05-12,1168440,849723
2021-05-13,1168594,849800
2021-05-14,1168692,849870
2021-05-15,1168790,849919
2021-05-16,1168839,849947
2021-05-17,1168916,849975
2021-05-18,1169021,850038
2021-05-19,1169161,850108
total,1203426,867958
