decline_per_1000_binned,<750,"<1,000","<1,250","<1,500","<1,750","<2,000","<2,250","<2,500","<2,750","<3,000","<3,250","<3,500","<3,750","<4,000","<4,330","<4,660","<5,000","<5,330","<5,660","<6,000","<6,500","<7,000","<8,000",<10k,>=10k
0,19.0,26.0,38.0,50.0,33.0,59.0,33.0,30.0,35.0,29.0,42.0,37.0,37.0,41.0,28.0,43.0,39.0,24.0,24.0,34.0,29.0,22.0,33.0,31.0,15.0
5,16.0,20.0,24.0,38.0,37.0,46.0,55.0,42.0,65.0,44.0,56.0,61.0,58.0,49.0,92.0,50.0,57.0,61.0,49.0,47.0,63.0,47.0,49.0,57.0,46.0
10,8.0,11.0,35.0,33.0,47.0,55.0,51.0,55.0,55.0,52.0,61.0,49.0,48.0,46.0,50.0,63.0,54.0,52.0,49.0,34.0,49.0,39.0,49.0,48.0,33.0
15,,13.0,22.0,48.0,47.0,37.0,49.0,40.0,35.0,44.0,41.0,30.0,42.0,46.0,47.0,37.0,29.0,36.0,32.0,24.0,22.0,27.0,39.0,22.0,23.0
20,11.0,22.0,25.0,34.0,29.0,32.0,28.0,34.0,35.0,27.0,27.0,18.0,27.0,28.0,25.0,28.0,21.0,20.0,16.0,22.0,13.0,16.0,13.0,20.0,14.0
25,6.0,,21.0,25.0,20.0,29.0,21.0,20.0,28.0,29.0,17.0,19.0,15.0,16.0,22.0,13.0,14.0,16.0,13.0,8.0,8.0,9.0,4.0,9.0,6.0
30,4.0,11.0,21.0,21.0,21.0,18.0,17.0,19.0,14.0,17.0,13.0,13.0,8.0,7.0,18.0,8.0,11.0,10.0,7.0,,8.0,10.0,4.0,4.0,4.0
35,,14.0,10.0,15.0,18.0,11.0,13.0,14.0,7.0,8.0,12.0,8.0,7.0,4.0,6.0,,4.0,12.0,4.0,4.0,4.0,4.0,,,4.0
40,6.0,11.0,21.0,18.0,18.0,17.0,17.0,15.0,13.0,11.0,11.0,11.0,10.0,11.0,6.0,4.0,4.0,7.0,4.0,,4.0,4.0,4.0,,4.0
50,,12.0,16.0,13.0,16.0,15.0,11.0,11.0,8.0,7.0,10.0,6.0,6.0,4.0,13.0,10.0,7.0,,,4.0,,4.0,4.0,4.0,
60,13.0,20.0,28.0,21.0,15.0,20.0,15.0,18.0,19.0,14.0,17.0,7.0,7.0,11.0,12.0,4.0,7.0,4.0,6.0,,6.0,6.0,,,8.0
100,6.0,16.0,15.0,18.0,18.0,12.0,13.0,8.0,12.0,7.0,4.0,,4.0,4.0,,,,4.0,4.0,,4.0,,,,
