wave,high_level_ethnicity,Vaccinated,Declined then accepted,Declined - all,total,per_1000,per_1000_vacc,converted
Other,White,4852757,5180,65366,11471005,0.45,1.07,79.25
Other,Mixed,120379,196,2954,435869,0.45,1.63,66.35
Other,South Asian,736603,1141,8414,2017344,0.57,1.55,135.61
Other,Black,179711,448,6167,746123,0.6,2.49,72.64
Other,Other,178192,259,2884,766871,0.34,1.45,89.81
Other,Unknown,2793147,2968,39865,8264760,0.36,1.06,74.45
In care home,White,162057,973,3892,168273,5.78,6.0,250.0
In care home,Mixed,588,0,42,665,0.0,0.0,0.0
In care home,South Asian,2401,35,119,2597,13.48,14.58,294.12
In care home,Black,1869,63,287,2275,27.69,33.71,219.51
In care home,Other,875,14,35,945,14.81,16.0,400.0
In care home,Unknown,74879,490,1939,77847,6.29,6.54,252.71
80+,White,1497573,12383,38738,1541281,8.03,8.27,319.66
80+,Mixed,6972,308,1197,8722,35.31,44.18,257.31
80+,South Asian,58604,2373,6384,67417,35.2,40.49,371.71
80+,Black,25368,2289,7847,35126,65.17,90.23,291.7
80+,Other,8960,294,1274,11144,26.38,32.81,230.77
80+,Unknown,870289,8862,31038,915152,9.68,10.18,285.52
70-79,White,2996224,15001,69384,3101231,4.84,5.01,216.2
70-79,Mixed,13937,287,1421,17206,16.68,20.59,201.97
70-79,South Asian,117747,2527,8148,134099,18.84,21.46,310.14
70-79,Black,33796,1617,7098,47712,33.89,47.85,227.81
70-79,Other,21504,455,2408,27363,16.63,21.16,188.95
70-79,Unknown,1346835,7406,39837,1427146,5.19,5.5,185.91
CEV,White,904547,6321,36232,996331,6.34,6.99,174.46
CEV,Mixed,27503,504,2912,36876,13.67,18.33,173.08
CEV,South Asian,212975,3227,11382,254135,12.7,15.15,283.52
CEV,Black,96838,2352,12817,140497,16.74,24.29,183.51
CEV,Other,26915,462,2247,35672,12.95,17.17,205.61
CEV,Unknown,465129,3801,21441,528017,7.2,8.17,177.28
65-69,White,1484917,4095,30793,1573439,2.6,2.76,132.98
65-69,Mixed,10584,119,770,13559,8.78,11.24,154.55
65-69,South Asian,91840,1092,3983,106036,10.3,11.89,274.17
65-69,Black,23219,518,3059,34482,15.02,22.31,169.34
65-69,Other,17101,161,1344,23093,6.97,9.41,119.79
65-69,Unknown,684138,2331,18298,752661,3.1,3.41,127.39
At risk,White,2191945,8932,71365,2557660,3.49,4.07,125.16
At risk,Mixed,34594,273,2800,53074,5.14,7.89,97.5
At risk,South Asian,246547,2002,9401,318066,6.29,8.12,212.96
At risk,Black,67487,966,8295,120078,8.04,14.31,116.46
At risk,Other,37702,294,2184,54698,5.37,7.8,134.62
At risk,Unknown,1014153,4375,34930,1221066,3.58,4.31,125.25
60-64,White,1187186,3619,23247,1291101,2.8,3.05,155.68
60-64,Mixed,11228,63,588,15337,4.11,5.61,107.14
60-64,South Asian,57715,350,1785,70763,4.95,6.06,196.08
60-64,Black,27559,259,2317,44114,5.87,9.4,111.78
60-64,Other,16583,98,882,23947,4.09,5.91,111.11
60-64,Unknown,611751,2163,15491,706741,3.06,3.54,139.63
55-59,White,1471820,7175,32298,1636243,4.39,4.87,222.15
55-59,Mixed,18228,126,896,25718,4.9,6.91,140.62
55-59,South Asian,78260,399,2016,97713,4.08,5.1,197.92
55-59,Black,45752,357,3416,75488,4.73,7.8,104.51
55-59,Other,24346,126,973,35525,3.55,5.18,129.5
55-59,Unknown,787808,4116,21224,933625,4.41,5.22,193.93
50-54,White,1539951,4872,32263,1760122,2.77,3.16,151.01
50-54,Mixed,23849,91,1029,34412,2.64,3.82,88.44
50-54,South Asian,124516,560,2968,159334,3.51,4.5,188.68
50-54,Black,56994,378,3570,96488,3.92,6.63,105.88
50-54,Other,33628,154,1246,50246,3.06,4.58,123.6
50-54,Unknown,826889,3206,21210,1013992,3.16,3.88,151.16
