Ethnicity,Group,Declined then received,Declined - all,percent
All others,65+,63693,279335,22.8
All others,CEV/At risk,33509,216006,15.5
All others,50-64,28112,167419,16.8
South Asian,65+,6027,18634,32.300000000000004
South Asian,CEV/At risk,5229,20783,25.2
South Asian,50-64,1309,6769,19.3
