,decline_per_1000_vacc
0-<10,1824
10-<20,1856
20-<30,1005
30-<40,541
40-<50,307
50-<60,189
60-<70,137
70-<80,110
80-<90,67
90-<100,49
100-<200,225
200-<300,33
300-<1000,21
