,5,6,7
2020-11-28,7,0,0
2020-11-29,7,0,0
2020-11-30,7,0,0
2020-12-01,7,0,0
2020-12-02,7,0,0
2020-12-03,7,0,0
2020-12-04,7,0,7
2020-12-05,7,0,7
2020-12-06,7,0,7
2020-12-07,7,0,7
2020-12-08,7,0,7
2020-12-09,21,7,7
2020-12-10,21,7,14
2020-12-11,28,7,14
2020-12-12,28,7,14
2020-12-13,28,7,14
2020-12-14,28,7,14
2020-12-15,28,14,14
2020-12-16,28,21,14
2020-12-17,35,28,21
2020-12-18,42,28,21
2020-12-19,42,28,21
2020-12-20,42,28,21
2020-12-21,49,35,28
2020-12-22,49,35,28
2020-12-23,49,35,35
2020-12-24,56,35,35
2020-12-25,56,35,35
2020-12-26,56,35,35
2020-12-27,56,35,35
2020-12-28,56,35,35
2020-12-29,56,35,35
2020-12-30,56,35,42
2020-12-31,56,35,42
2021-01-01,63,35,42
2021-01-02,70,42,49
2021-01-03,70,42,49
2021-01-04,77,42,56
2021-01-05,77,49,56
2021-01-06,84,56,63
2021-01-07,91,56,63
2021-01-08,105,70,77
2021-01-09,105,70,77
2021-01-10,105,70,77
2021-01-11,112,77,91
2021-01-12,119,91,98
2021-01-13,133,91,105
2021-01-14,133,105,119
2021-01-15,147,112,126
2021-01-16,147,112,126
2021-01-17,147,112,126
2021-01-18,168,126,147
2021-01-19,168,133,154
2021-01-20,182,147,161
2021-01-21,189,147,168
2021-01-22,210,161,189
2021-01-23,210,168,196
2021-01-24,210,168,196
2021-01-25,224,168,217
2021-01-26,231,182,245
2021-01-27,245,196,259
2021-01-28,252,217,273
2021-01-29,259,217,308
2021-01-30,273,224,329
2021-01-31,273,224,329
2021-02-01,287,245,364
2021-02-02,301,259,413
2021-02-03,322,280,434
2021-02-04,336,308,483
2021-02-05,357,322,525
2021-02-06,357,329,539
2021-02-07,357,336,539
2021-02-08,399,364,623
2021-02-09,434,420,742
2021-02-10,469,476,861
2021-02-11,504,546,980
2021-02-12,567,644,1169
2021-02-13,602,672,1232
2021-02-14,609,679,1316
2021-02-15,714,868,1589
2021-02-16,861,1036,1946
2021-02-17,1036,1197,2226
2021-02-18,1197,1442,2562
2021-02-19,1330,1624,2765
2021-02-20,1358,1652,2814
2021-02-21,1372,1652,2828
2021-02-22,1533,1834,3045
2021-02-23,1750,2065,3332
2021-02-24,1953,2296,3626
2021-02-25,2114,2520,3941
2021-02-26,2240,2723,4179
2021-02-27,2254,2751,4235
2021-02-28,2261,2765,4249
2021-03-01,2422,2961,4578
2021-03-02,2646,3213,4977
2021-03-03,2884,3549,5663
2021-03-04,3094,3899,6300
2021-03-05,3297,4242,6923
2021-03-06,3353,4333,7035
2021-03-07,3360,4347,7070
2021-03-08,3577,4907,7896
2021-03-09,3976,5712,8855
2021-03-10,4543,6797,10227
2021-03-11,5446,8190,11571
2021-03-12,6538,9415,12740
2021-03-13,6748,9660,12887
2021-03-14,6825,9737,12936
2021-03-15,8393,11417,14259
2021-03-16,10703,13454,15554
2021-03-17,13433,15379,16758
2021-03-18,15736,17108,17857
2021-03-19,17864,18732,18844
2021-03-20,18291,19061,19054
2021-03-21,18459,19180,19145
2021-03-22,20664,20636,20132
2021-03-23,23261,22666,21399
2021-03-24,25347,24185,22330
2021-03-25,27020,25375,23093
2021-03-26,28378,26348,23709
2021-03-27,28560,26418,23758
2021-03-28,28609,26453,23800
2021-03-29,29701,27314,24318
2021-03-30,30478,28056,24787
2021-03-31,31262,28693,25221
2021-04-01,31962,29225,25627
2021-04-02,32032,29295,25648
2021-04-03,32109,29351,25676
2021-04-04,32158,29393,25697
2021-04-05,32193,29421,25704
2021-04-06,33089,30114,26061
2021-04-07,34062,30835,26439
2021-04-08,34958,31402,26768
2021-04-09,35623,31822,26971
2021-04-10,35658,31857,27013
2021-04-11,35679,31885,27013
2021-04-12,36295,32263,27286
2021-04-13,36848,32760,27594
2021-04-14,37387,33117,27895
2021-04-15,37940,33523,28182
2021-04-16,38458,33824,28385
2021-04-17,38507,33873,28434
2021-04-18,38549,33894,28448
2021-04-19,38927,34272,28693
2021-04-20,39452,34615,29022
2021-04-21,39844,35035,29281
2021-04-22,40313,35357,29484
2021-04-23,40719,35616,29673
2021-04-24,40740,35630,29680
2021-04-25,40768,35651,29687
2021-04-26,41321,36064,29911
2021-04-27,41741,36477,30254
2021-04-28,42035,36750,30422
2021-04-29,42448,37128,30632
2021-04-30,42840,37443,30842
2021-05-01,42861,37450,30856
2021-05-02,42875,37485,30863
2021-05-03,42910,37520,30877
2021-05-04,43288,37723,31024
2021-05-05,43869,38220,31269
2021-05-06,44205,38556,31430
2021-05-07,44618,38794,31570
2021-05-08,44653,38836,31605
2021-05-09,44667,38843,31619
2021-05-10,45066,39109,31780
2021-05-11,45647,39585,32067
2021-05-12,46053,39970,32242
2021-05-13,46564,40376,32452
2021-05-14,46879,40572,32543
2021-05-15,46914,40614,32564
2021-05-16,46949,40635,32578
2021-05-17,47397,41139,32809
2021-05-18,47733,41433,32998
2021-05-19,48076,41643,33138
2021-05-20,48356,41846,33313
2021-05-21,48545,42091,33439
2021-05-22,48678,42168,33460
2021-05-23,48678,42168,33460
2021-05-24,48874,42294,33530
2021-05-25,48972,42392,33558
2021-05-26,49105,42462,33614
total,3114629,2804333,2152038
