,0,1,2,3
2020-11-28,0,35,7,0
2020-11-29,0,35,7,0
2020-11-30,0,35,7,0
2020-12-01,0,49,7,0
2020-12-02,0,49,7,0
2020-12-03,0,49,7,0
2020-12-04,0,49,7,0
2020-12-05,0,49,7,0
2020-12-06,0,49,7,0
2020-12-07,0,56,14,7
2020-12-08,0,70,14,7
2020-12-09,7,175,21,7
2020-12-10,14,343,21,7
2020-12-11,14,553,21,7
2020-12-12,14,630,21,7
2020-12-13,14,637,21,7
2020-12-14,14,840,21,7
2020-12-15,21,1057,21,7
2020-12-16,21,1330,28,14
2020-12-17,21,1582,28,14
2020-12-18,42,1841,35,21
2020-12-19,42,1890,35,21
2020-12-20,42,1932,35,21
2020-12-21,42,2086,42,21
2020-12-22,42,2212,49,21
2020-12-23,49,2422,56,21
2020-12-24,49,2555,63,21
2020-12-25,49,2562,63,21
2020-12-26,49,2562,63,21
2020-12-27,49,2569,63,21
2020-12-28,49,2576,63,21
2020-12-29,49,2660,77,21
2020-12-30,56,2751,84,28
2020-12-31,56,2849,91,28
2021-01-01,63,3003,147,35
2021-01-02,63,3059,154,42
2021-01-03,63,3073,161,49
2021-01-04,63,3325,182,56
2021-01-05,77,3787,196,56
2021-01-06,98,4172,224,70
2021-01-07,112,4655,238,77
2021-01-08,112,5152,252,77
2021-01-09,119,5327,252,77
2021-01-10,119,5362,259,77
2021-01-11,119,5992,273,84
2021-01-12,133,6692,294,98
2021-01-13,140,7511,336,112
2021-01-14,147,8351,378,112
2021-01-15,168,9121,441,119
2021-01-16,168,9310,441,119
2021-01-17,168,9408,441,119
2021-01-18,182,10654,483,126
2021-01-19,189,11956,567,133
2021-01-20,203,13132,686,140
2021-01-21,217,14371,812,154
2021-01-22,231,15379,966,161
2021-01-23,238,15617,1008,161
2021-01-24,238,15729,1015,168
2021-01-25,245,17094,1155,182
2021-01-26,273,18788,1386,196
2021-01-27,280,20258,1666,210
2021-01-28,301,21623,1967,224
2021-01-29,315,23037,2345,238
2021-01-30,315,23345,2401,245
2021-01-31,322,23464,2422,245
2021-02-01,343,25277,2975,273
2021-02-02,371,27258,3563,287
2021-02-03,392,29176,4340,301
2021-02-04,434,31206,5159,322
2021-02-05,490,33404,6062,357
2021-02-06,497,33957,6279,357
2021-02-07,497,34104,6335,364
2021-02-08,539,36855,7441,420
2021-02-09,609,40348,8610,497
2021-02-10,658,43057,9618,588
2021-02-11,770,45479,10430,686
2021-02-12,938,47292,11550,833
2021-02-13,980,47523,11809,875
2021-02-14,994,47586,11879,889
2021-02-15,1267,48783,13118,1113
2021-02-16,1547,49931,14567,1379
2021-02-17,1897,50855,16044,1617
2021-02-18,2184,51744,17584,1946
2021-02-19,2436,52360,18886,2149
2021-02-20,2492,52430,19033,2191
2021-02-21,2520,52451,19110,2205
2021-02-22,2828,53123,20685,2429
2021-02-23,3248,53851,22540,2702
2021-02-24,3584,54663,24017,2968
2021-02-25,3906,55258,25347,3276
2021-02-26,4165,55783,26334,3535
2021-02-27,4200,55839,26467,3563
2021-02-28,4200,55888,26502,3584
2021-03-01,4564,56644,27902,3892
2021-03-02,4998,57435,29456,4249
2021-03-03,5404,58254,31017,4886
2021-03-04,5845,59066,32529,5446
2021-03-05,6279,59675,33950,5915
2021-03-06,6349,59724,34202,6090
2021-03-07,6384,59752,34272,6125
2021-03-08,6818,60634,35728,6748
2021-03-09,7420,61656,37674,7707
2021-03-10,7973,62475,39627,9072
2021-03-11,8568,63497,41433,10703
2021-03-12,8953,64050,42609,12138
2021-03-13,9044,64092,42784,12341
2021-03-14,9072,64106,42812,12425
2021-03-15,9604,64855,44282,14154
2021-03-16,10185,65541,45696,16597
2021-03-17,10850,66157,47012,18767
2021-03-18,11473,66696,48230,20776
2021-03-19,12005,67165,49294,22603
2021-03-20,12089,67256,49469,22876
2021-03-21,12159,67270,49532,22953
2021-03-22,12761,67760,50729,24696
2021-03-23,13559,68439,52360,27062
2021-03-24,14392,69104,53459,28875
2021-03-25,15148,69566,54327,30457
2021-03-26,15876,69881,55125,31752
2021-03-27,16016,69930,55251,31864
2021-03-28,16037,69937,55279,31892
2021-03-29,16457,70196,55972,33075
2021-03-30,16940,70525,56686,33852
2021-03-31,17353,70840,57253,34482
2021-04-01,17759,71134,57785,35049
2021-04-02,17780,71155,57820,35077
2021-04-03,17829,71169,57869,35140
2021-04-04,17836,71176,57876,35154
2021-04-05,17843,71183,57883,35175
2021-04-06,18340,71351,58373,35798
2021-04-07,18921,71638,59185,36890
2021-04-08,19334,71827,59689,37737
2021-04-09,19740,72009,60151,38262
2021-04-10,19796,72016,60179,38290
2021-04-11,19817,72023,60221,38318
2021-04-12,20195,72156,60571,38815
2021-04-13,20531,72261,60893,39228
2021-04-14,20972,72387,61187,39613
2021-04-15,21644,72534,61551,40166
2021-04-16,22302,72681,61824,40600
2021-04-17,22358,72695,61873,40684
2021-04-18,22386,72695,61922,40747
2021-04-19,23016,72870,62160,41237
2021-04-20,23681,73031,62412,41552
2021-04-21,24388,73213,62685,42112
2021-04-22,25053,73360,63007,42595
2021-04-23,25508,73528,63266,43008
2021-04-24,25550,73535,63301,43036
2021-04-25,25564,73542,63315,43050
2021-04-26,26250,73654,63574,43673
2021-04-27,26894,73780,63791,44226
2021-04-28,27692,73878,64176,44604
2021-04-29,28413,73969,64372,44884
2021-04-30,29064,74060,64582,45199
2021-05-01,29120,74081,64603,45220
2021-05-02,29141,74081,64603,45248
2021-05-03,29162,74109,64666,45297
2021-05-04,29715,74179,64841,45514
2021-05-05,30296,74291,65072,45927
2021-05-06,31864,74424,65261,46284
2021-05-07,32627,74515,65499,46606
2021-05-08,32732,74529,65520,46641
2021-05-09,32900,74536,65527,46662
2021-05-10,33796,74648,65891,46907
2021-05-11,34937,74774,66185,47334
2021-05-12,36568,74942,66612,47747
2021-05-13,37926,75082,67074,48370
2021-05-14,38969,75159,67256,48573
2021-05-15,39074,75166,67277,48580
2021-05-16,39137,75166,67291,48608
2021-05-17,40124,75236,67515,48888
2021-05-18,41300,75376,67739,49252
2021-05-19,42168,75488,67935,49497
total,9461361,4367643,2619904,3393537
