,0,1,2,3,4,5,6,7,8,9
2020-11-28,0,0,14,14,7,0,0,0,0,0
2020-11-29,0,0,14,14,7,0,0,0,0,0
2020-11-30,0,0,14,14,7,0,0,0,0,0
2020-12-01,0,0,28,14,7,0,0,0,0,0
2020-12-02,0,0,28,14,7,0,0,0,0,0
2020-12-03,0,0,28,14,7,0,0,0,0,0
2020-12-04,0,0,28,14,7,0,0,0,0,0
2020-12-05,0,0,28,14,7,0,0,0,0,0
2020-12-06,0,0,28,14,7,0,0,0,0,0
2020-12-07,0,0,35,14,7,0,0,0,0,0
2020-12-08,0,0,42,14,7,0,0,0,0,0
2020-12-09,7,0,140,21,14,0,7,0,0,0
2020-12-10,14,7,308,21,14,0,7,0,0,0
2020-12-11,14,7,511,21,14,0,7,0,0,0
2020-12-12,14,7,588,21,14,0,7,0,0,0
2020-12-13,14,7,595,21,14,0,7,0,0,0
2020-12-14,14,7,791,28,14,0,7,0,0,0
2020-12-15,21,7,994,35,14,7,7,0,0,0
2020-12-16,21,14,1260,35,14,7,7,0,7,0
2020-12-17,21,14,1505,35,14,7,7,0,7,0
2020-12-18,42,21,1757,42,14,7,14,0,7,7
2020-12-19,42,21,1792,49,14,7,14,0,7,7
2020-12-20,42,21,1827,56,14,7,14,0,7,7
2020-12-21,42,21,1967,63,21,7,21,7,7,7
2020-12-22,42,21,2079,70,28,14,21,7,7,7
2020-12-23,49,21,2268,77,35,21,21,7,7,7
2020-12-24,49,28,2387,84,35,28,21,7,7,7
2020-12-25,49,28,2394,84,35,28,21,7,7,7
2020-12-26,49,28,2394,84,35,28,21,7,7,7
2020-12-27,49,28,2401,84,35,28,21,7,7,7
2020-12-28,49,28,2408,84,42,28,21,7,7,7
2020-12-29,49,35,2478,91,56,28,21,7,7,7
2020-12-30,56,49,2541,98,56,28,28,7,7,7
2020-12-31,56,63,2625,105,63,28,28,7,7,7
2021-01-01,63,70,2667,175,77,56,63,7,7,7
2021-01-02,63,70,2709,182,84,63,70,14,14,14
2021-01-03,63,70,2723,189,84,63,70,14,14,14
2021-01-04,63,70,2947,210,98,63,77,21,14,21
2021-01-05,77,91,3332,273,105,63,84,21,14,21
2021-01-06,98,98,3633,336,119,63,98,21,21,21
2021-01-07,112,119,3983,441,133,63,105,21,21,28
2021-01-08,112,140,4361,532,147,77,105,21,21,28
2021-01-09,119,147,4501,553,147,77,105,21,21,28
2021-01-10,119,154,4529,553,147,77,105,21,21,28
2021-01-11,119,175,5054,637,161,77,105,28,21,28
2021-01-12,133,189,5579,784,168,84,126,28,28,35
2021-01-13,140,217,6181,966,196,91,133,35,28,42
2021-01-14,147,252,6748,1197,231,91,140,35,35,42
2021-01-15,168,301,7231,1421,280,98,154,35,35,49
2021-01-16,168,315,7357,1477,287,98,154,35,35,49
2021-01-17,168,315,7427,1505,287,98,154,35,35,49
2021-01-18,182,343,8225,1911,308,98,168,42,35,49
2021-01-19,189,378,8897,2471,385,112,175,42,35,49
2021-01-20,203,406,9422,3087,490,119,189,42,42,56
2021-01-21,217,455,9842,3815,595,140,210,42,42,56
2021-01-22,231,497,10206,4382,714,161,245,49,42,63
2021-01-23,238,511,10248,4571,749,175,245,49,49,63
2021-01-24,238,511,10283,4634,756,175,252,49,49,63
2021-01-25,245,539,10871,5348,882,203,266,56,49,70
2021-01-26,266,574,11571,6265,1071,231,301,63,56,70
2021-01-27,280,602,12075,7147,1323,280,329,70,63,77
2021-01-28,301,630,12425,8078,1589,329,357,70,70,77
2021-01-29,308,651,12768,9065,1932,378,385,77,70,77
2021-01-30,315,651,12796,9296,1988,420,392,84,70,84
2021-01-31,322,658,12817,9380,2009,434,392,84,70,84
2021-02-01,343,700,13258,10591,2506,532,441,98,77,91
2021-02-02,364,742,13748,11928,3052,623,483,112,77,91
2021-02-03,385,770,14126,13230,3759,826,539,112,84,98
2021-02-04,427,798,14476,14630,4487,1071,623,126,91,105
2021-02-05,483,847,14910,16065,5299,1337,707,133,98,112
2021-02-06,490,854,14994,16450,5488,1400,728,140,98,112
2021-02-07,490,854,15029,16541,5537,1421,735,140,105,112
2021-02-08,532,889,15498,18186,6524,2009,840,168,112,126
2021-02-09,595,938,16044,20118,7532,2954,994,210,133,140
2021-02-10,651,973,16450,21420,8379,3892,1141,259,161,154
2021-02-11,756,1008,16814,22561,8981,4774,1344,308,196,168
2021-02-12,917,1036,17031,23380,9674,5502,1750,378,238,189
2021-02-13,959,1043,17052,23471,9779,5614,1904,406,252,203
2021-02-14,980,1043,17059,23499,9800,5635,1946,406,252,210
2021-02-15,1246,1064,17206,23919,10227,6244,2744,511,336,245
2021-02-16,1519,1085,17353,24325,10640,6804,3752,658,392,308
2021-02-17,1855,1106,17486,24675,11123,7217,4739,777,448,371
2021-02-18,2142,1127,17612,24976,11655,7658,5733,952,518,448
2021-02-19,2387,1141,17710,25179,12173,7952,6503,1036,588,497
2021-02-20,2443,1141,17717,25200,12208,7987,6608,1050,595,518
2021-02-21,2471,1141,17717,25207,12236,8001,6650,1057,595,525
2021-02-22,2779,1155,17815,25494,12866,8274,7588,1148,665,581
2021-02-23,3192,1162,17962,25774,13503,8561,8785,1267,749,651
2021-02-24,3521,1176,18067,26096,13993,8925,9758,1393,812,721
2021-02-25,3843,1190,18144,26306,14413,9212,10654,1554,910,777
