,9,10
2020-11-28,1203419,867951
2020-11-29,1203419,867951
2020-11-30,1203412,867951
2020-12-01,1203412,867951
2020-12-02,1203412,867951
2020-12-03,1203412,867951
2020-12-04,1203412,867944
2020-12-05,1203412,867944
2020-12-06,1203412,867944
2020-12-07,1203412,867944
2020-12-08,1203384,867937
2020-12-09,1203335,867916
2020-12-10,1203265,867874
2020-12-11,1203223,867853
2020-12-12,1203174,867839
2020-12-13,1203146,867825
2020-12-14,1203097,867783
2020-12-15,1203006,867664
2020-12-16,1202887,867496
2020-12-17,1202712,867034
2020-12-18,1202551,866586
2020-12-19,1202369,866026
2020-12-20,1202145,865676
2020-12-21,1201907,865235
2020-12-22,1201648,864857
2020-12-23,1201298,864493
2020-12-24,1201165,864297
2020-12-25,1201165,864297
2020-12-26,1201158,864297
2020-12-27,1201144,864283
2020-12-28,1201088,864248
2020-12-29,1200885,864017
2020-12-30,1200332,862603
2020-12-31,1199814,861084
2021-01-01,1199625,860601
2021-01-02,1199506,859964
2021-01-03,1199422,859887
2021-01-04,1199289,859796
2021-01-05,1199065,859509
2021-01-06,1198386,857444
2021-01-07,1197217,848939
2021-01-08,1195089,838327
2021-01-09,1192128,830760
2021-01-10,1191351,826987
2021-01-11,1190497,824215
2021-01-12,1188838,818398
2021-01-13,1186388,804370
2021-01-14,1182566,789320
2021-01-15,1178128,771176
2021-01-16,1174243,756791
2021-01-17,1172290,751065
2021-01-18,1169847,744961
2021-01-19,1162539,716352
2021-01-20,1150989,680911
2021-01-21,1136625,641599
2021-01-22,1110900,582470
2021-01-23,1076607,510643
2021-01-24,1063965,485800
2021-01-25,1051589,465556
2021-01-26,1034089,437465
2021-01-27,1014559,410466
2021-01-28,980854,364980
2021-01-29,931742,293048
2021-01-30,867230,227066
2021-01-31,825979,193494
2021-02-01,788249,168042
2021-02-02,736050,146832
2021-02-03,661374,127624
2021-02-04,581098,110649
2021-02-05,504301,96894
2021-02-06,399952,84161
2021-02-07,347109,78813
2021-02-08,302106,72898
2021-02-09,247163,65989
2021-02-10,205660,60466
2021-02-11,166929,54845
2021-02-12,134932,50043
2021-02-13,107198,46354
2021-02-14,99246,45136
2021-02-15,92624,43750
2021-02-16,87122,42280
2021-02-17,82439,40775
2021-02-18,78792,39438
2021-02-19,76153,38437
2021-02-20,73864,37653
2021-02-21,73178,37422
2021-02-22,71897,36939
2021-02-23,70147,36190
2021-02-24,67662,35224
2021-02-25,65254,34153
2021-02-26,62972,33201
2021-02-27,61523,32620
2021-02-28,60928,32424
2021-03-01,60228,32067
2021-03-02,59388,31584
2021-03-03,58324,31073
2021-03-04,56889,30359
2021-03-05,55314,29547
2021-03-06,54201,29064
2021-03-07,53942,28938
2021-03-08,53242,28532
2021-03-09,52465,28119
2021-03-10,51737,27727
2021-03-11,50946,27272
2021-03-12,50078,26838
2021-03-13,49294,26467
2021-03-14,48993,26341
2021-03-15,48377,26082
2021-03-16,47726,25781
2021-03-17,47103,25494
2021-03-18,46494,25144
2021-03-19,45920,24836
2021-03-20,45416,24591
2021-03-21,45227,24493
2021-03-22,44786,24290
2021-03-23,44331,24045
2021-03-24,43799,23730
2021-03-25,43295,23457
2021-03-26,42847,23170
2021-03-27,42392,22855
2021-03-28,42196,22743
2021-03-29,41867,22589
2021-03-30,41461,22379
2021-03-31,41055,22148
2021-04-01,40656,21945
2021-04-02,40516,21770
2021-04-03,40404,21679
2021-04-04,40355,21644
2021-04-05,40313,21630
2021-04-06,40159,21518
2021-04-07,39907,21329
2021-04-08,39655,21161
2021-04-09,39375,20979
2021-04-10,39165,20825
2021-04-11,39081,20741
2021-04-12,38920,20643
2021-04-13,38766,20475
2021-04-14,38598,20321
2021-04-15,38402,20160
2021-04-16,38178,19999
2021-04-17,38031,19887
2021-04-18,37961,19838
2021-04-19,37842,19768
2021-04-20,37695,19677
2021-04-21,37520,19551
2021-04-22,37352,19446
2021-04-23,37156,19341
2021-04-24,36974,19250
2021-04-25,36848,19208
2021-04-26,36715,19145
2021-04-27,36568,19068
2021-04-28,36407,18984
2021-04-29,36218,18900
2021-04-30,36071,18816
2021-05-01,35959,18767
2021-05-02,35910,18760
2021-05-03,35875,18746
2021-05-04,35791,18697
2021-05-05,35686,18627
2021-05-06,35546,18550
2021-05-07,35434,18480
2021-05-08,35357,18438
2021-05-09,35322,18424
2021-05-10,35238,18375
2021-05-11,35133,18319
2021-05-12,34986,18235
2021-05-13,34832,18158
2021-05-14,34734,18088
2021-05-15,34636,18039
2021-05-16,34587,18011
2021-05-17,34510,17983
2021-05-18,34405,17920
2021-05-19,34265,17850
total,1203426,867958
