,0,1,2,3
2020-11-29,0,0,0,0
2020-11-30,0,7,0,7
2020-12-01,112,112,14,35
2020-12-02,119,119,21,42
2020-12-03,119,126,21,42
2020-12-04,126,126,21,49
2020-12-05,126,133,28,56
2020-12-06,133,133,28,63
2020-12-07,140,147,28,70
2020-12-08,959,1211,581,658
2020-12-09,2625,2331,1456,1757
2020-12-10,4956,4424,2576,3101
2020-12-11,7427,6615,3843,4536
2020-12-12,9597,8141,4816,5621
2020-12-13,10682,8512,5229,6230
2020-12-14,12908,11088,6104,7532
2020-12-15,16618,34818,7889,10038
2020-12-16,21154,78687,9898,12936
2020-12-17,26523,121744,12362,16779
2020-12-18,32221,157101,14910,20685
2020-12-19,37121,203140,16975,24010
2020-12-20,43302,235585,19677,28448
2020-12-21,51037,256725,22995,33586
2020-12-22,58499,292124,26096,38535
2020-12-23,66913,322847,29596,43939
2020-12-24,71015,330449,31248,46431
2020-12-25,71106,330505,31283,46459
2020-12-26,71841,330624,31507,46788
2020-12-27,73262,330806,31948,47397
2020-12-28,75782,331289,32725,48510
2020-12-29,83475,343966,35700,52654
2020-12-30,96796,378567,41265,60305
2020-12-31,108682,404474,46060,67277
2021-01-01,112483,411775,47572,69566
2021-01-02,117523,421694,49476,72261
2021-01-03,121219,423668,50764,74284
2021-01-04,128905,425551,53144,78260
2021-01-05,143031,434602,57939,85876
2021-01-06,161875,451353,64400,96355
2021-01-07,185857,521192,73150,110628
2021-01-08,212618,616448,83643,126539
2021-01-09,234353,697424,92505,139202
2021-01-10,249620,731619,97797,147448
2021-01-11,270907,757925,105119,158837
2021-01-12,295939,807380,114016,172830
2021-01-13,324030,898688,125006,188692
2021-01-14,353920,1010163,137669,205821
2021-01-15,388059,1138893,152005,224511
2021-01-16,414316,1246147,162365,238826
2021-01-17,431508,1293096,168826,248402
2021-01-18,456078,1331456,178199,261513
2021-01-19,482916,1444394,190169,275779
2021-01-20,512400,1552663,205352,291214
2021-01-21,543081,1691116,223272,307895
2021-01-22,575001,1876903,245693,325619
2021-01-23,600411,2060443,269549,340074
2021-01-24,614873,2130996,281463,348404
2021-01-25,633976,2194535,294448,358750
2021-01-26,655403,2265368,310387,370762
2021-01-27,678832,2338798,330295,383502
2021-01-28,701554,2464007,356321,396340
2021-01-29,726915,2664186,391370,410473
2021-01-30,746683,2857435,425544,422163
2021-01-31,760025,2969218,449680,430731
2021-02-01,774753,3074645,471737,440139
2021-02-02,791567,3189641,498841,451213
2021-02-03,809333,3324895,536928,463568
2021-02-04,826847,3469046,578886,475951
2021-02-05,845194,3621716,625842,488915
2021-02-06,860930,3788519,687113,501389
2021-02-07,868581,3866121,710920,508032
2021-02-08,879445,3951276,739228,516005
2021-02-09,892633,4054792,776426,526414
2021-02-10,907844,4172532,812441,538573
2021-02-11,923951,4311216,853468,553427
2021-02-12,944545,4461114,903322,574056
2021-02-13,966406,4605566,953239,596799
2021-02-14,978600,4657506,974120,610141
2021-02-15,993622,4715662,998592,623679
