,False
2020-11-28,7
2020-11-29,7
2020-11-30,14
2020-12-01,35
2020-12-02,35
2020-12-03,35
2020-12-04,42
2020-12-05,42
2020-12-06,42
2020-12-07,49
2020-12-08,518
2020-12-09,1260
2020-12-10,2065
2020-12-11,2982
2020-12-12,3752
2020-12-13,4263
2020-12-14,5096
2020-12-15,6622
2020-12-16,8449
2020-12-17,10780
2020-12-18,13132
2020-12-19,15050
2020-12-20,17626
2020-12-21,20853
2020-12-22,23877
2020-12-23,27286
2020-12-24,28924
2020-12-25,28938
2020-12-26,29106
2020-12-27,29547
2020-12-28,30359
2020-12-29,32879
2020-12-30,38038
2020-12-31,42931
2021-01-01,44422
2021-01-02,46123
2021-01-03,47446
2021-01-04,50043
2021-01-05,55111
2021-01-06,61789
2021-01-07,70924
2021-01-08,80899
2021-01-09,89341
2021-01-10,94780
2021-01-11,102571
2021-01-12,112014
2021-01-13,122619
2021-01-14,134085
2021-01-15,146888
2021-01-16,157115
2021-01-17,164129
2021-01-18,173019
2021-01-19,182784
2021-01-20,193403
2021-01-21,204694
2021-01-22,216993
2021-01-23,226681
2021-01-24,232407
2021-01-25,239470
2021-01-26,247681
2021-01-27,255920
2021-01-28,264271
2021-01-29,273357
2021-01-30,280637
2021-01-31,285971
2021-02-01,291193
2021-02-02,297227
2021-02-03,303555
2021-02-04,310310
2021-02-05,317226
2021-02-06,323694
2021-02-07,327089
2021-02-08,331366
2021-02-09,336721
2021-02-10,342503
2021-02-11,348880
2021-02-12,357063
2021-02-13,365897
2021-02-14,370846
2021-02-15,376551
2021-02-16,385847
2021-02-17,400330
2021-02-18,414883
2021-02-19,427826
2021-02-20,441301
2021-02-21,446971
2021-02-22,454069
2021-02-23,468083
2021-02-24,487074
2021-02-25,508431
2021-02-26,529361
2021-02-27,548149
2021-02-28,556808
2021-03-01,565082
2021-03-02,574448
2021-03-03,586194
2021-03-04,604093
2021-03-05,626318
2021-03-06,647976
2021-03-07,655018
2021-03-08,663964
2021-03-09,673470
2021-03-10,685566
2021-03-11,700763
2021-03-12,732046
2021-03-13,799316
2021-03-14,828828
2021-03-15,870653
2021-03-16,942928
2021-03-17,1042132
2021-03-18,1198092
2021-03-19,1391516
2021-03-20,1661534
2021-03-21,1762775
2021-03-22,1856764
2021-03-23,1947680
2021-03-24,2034480
2021-03-25,2122589
2021-03-26,2214625
2021-03-27,2329341
2021-03-28,2383045
2021-03-29,2427033
2021-03-30,2464861
2021-03-31,2501772
2021-04-01,2516402
2021-04-02,2524354
2021-04-03,2534665
2021-04-04,2538165
2021-04-05,2539957
2021-04-06,2545718
2021-04-07,2552550
2021-04-08,2558528
2021-04-09,2566151
2021-04-10,2573641
2021-04-11,2576945
2021-04-12,2579850
2021-04-13,2582650
2021-04-14,2585513
2021-04-15,2588446
2021-04-16,2591358
2021-04-17,2594137
2021-04-18,2595481
2021-04-19,2597098
2021-04-20,2599093
2021-04-21,2601179
2021-04-22,2603447
2021-04-23,2605932
2021-04-24,2608172
2021-04-25,2609236
2021-04-26,2610909
2021-04-27,2612526
2021-04-28,2614213
2021-04-29,2616124
2021-04-30,2618175
2021-05-01,2619736
2021-05-02,2620485
2021-05-03,2620968
2021-05-04,2622277
2021-05-05,2623964
2021-05-06,2625539
2021-05-07,2627226
2021-05-08,2628934
2021-05-09,2629788
2021-05-10,2631132
2021-05-11,2633057
2021-05-12,2635094
2021-05-13,2637439
2021-05-14,2639658
2021-05-15,2641870
2021-05-16,2642983
2021-05-17,2644390
2021-05-18,2646245
2021-05-19,2648653
2021-05-20,2650872
2021-05-21,2652776
2021-05-22,2654631
2021-05-23,2655023
2021-05-24,2655583
2021-05-25,2656143
2021-05-26,2656822
total,3114629
