,5
2020-11-28,7
2020-11-29,7
2020-11-30,14
2020-12-01,28
2020-12-02,28
2020-12-03,28
2020-12-04,42
2020-12-05,42
2020-12-06,42
2020-12-07,49
2020-12-08,511
2020-12-09,1253
2020-12-10,2065
2020-12-11,2982
2020-12-12,3752
2020-12-13,4263
2020-12-14,5096
2020-12-15,6615
2020-12-16,8442
2020-12-17,10780
2020-12-18,13125
2020-12-19,15050
2020-12-20,17626
2020-12-21,20853
2020-12-22,23877
2020-12-23,27279
2020-12-24,28917
2020-12-25,28938
2020-12-26,29099
2020-12-27,29540
2020-12-28,30352
2020-12-29,32872
2020-12-30,38031
2020-12-31,42931
2021-01-01,44415
2021-01-02,46123
2021-01-03,47439
2021-01-04,50043
2021-01-05,55111
2021-01-06,61789
2021-01-07,70924
2021-01-08,80892
2021-01-09,89341
2021-01-10,94773
2021-01-11,102571
2021-01-12,112014
2021-01-13,122612
2021-01-14,134078
2021-01-15,146881
2021-01-16,157108
2021-01-17,164115
2021-01-18,173012
2021-01-19,182770
2021-01-20,193389
2021-01-21,204687
2021-01-22,216986
2021-01-23,226674
2021-01-24,232400
2021-01-25,239463
2021-01-26,247667
2021-01-27,255913
2021-01-28,264264
2021-01-29,273350
2021-01-30,280630
2021-01-31,285964
2021-02-01,291186
2021-02-02,297220
2021-02-03,303541
2021-02-04,310296
2021-02-05,317219
2021-02-06,323687
2021-02-07,327082
2021-02-08,331359
2021-02-09,336714
2021-02-10,342496
2021-02-11,348880
2021-02-12,357056
2021-02-13,365897
2021-02-14,370846
2021-02-15,376558
2021-02-16,385854
2021-02-17,400344
2021-02-18,414904
2021-02-19,427840
2021-02-20,441322
2021-02-21,446985
2021-02-22,454083
2021-02-23,468104
2021-02-24,487102
2021-02-25,508459
2021-02-26,529403
2021-02-27,548184
2021-02-28,556850
2021-03-01,565124
2021-03-02,574490
2021-03-03,586243
2021-03-04,604142
2021-03-05,626367
2021-03-06,648018
2021-03-07,655060
2021-03-08,663999
2021-03-09,673505
2021-03-10,685608
2021-03-11,700798
2021-03-12,732074
2021-03-13,799344
2021-03-14,828856
2021-03-15,870681
2021-03-16,942963
2021-03-17,1042174
2021-03-18,1198113
2021-03-19,1391572
2021-03-20,1661618
2021-03-21,1762873
2021-03-22,1856883
2021-03-23,1947820
2021-03-24,2034634
2021-03-25,2122764
2021-03-26,2214828
2021-03-27,2329558
2021-03-28,2383269
2021-03-29,2427271
2021-03-30,2465113
2021-03-31,2502038
2021-04-01,2516675
2021-04-02,2524634
2021-04-03,2534945
2021-04-04,2538445
2021-04-05,2540237
2021-04-06,2545998
2021-04-07,2552837
2021-04-08,2558822
2021-04-09,2566445
2021-04-10,2573935
2021-04-11,2577239
2021-04-12,2580144
2021-04-13,2582951
2021-04-14,2585821
2021-04-15,2588761
2021-04-16,2591673
2021-04-17,2594445
2021-04-18,2595796
2021-04-19,2597420
2021-04-20,2599415
2021-04-21,2601501
2021-04-22,2603769
2021-04-23,2606261
2021-04-24,2608501
2021-04-25,2609565
2021-04-26,2611252
2021-04-27,2612869
2021-04-28,2614556
2021-04-29,2616467
2021-04-30,2618525
2021-05-01,2620086
2021-05-02,2620842
2021-05-03,2621325
2021-05-04,2622634
2021-05-05,2624321
2021-05-06,2625896
2021-05-07,2627590
2021-05-08,2629291
2021-05-09,2630145
2021-05-10,2631489
2021-05-11,2633414
2021-05-12,2635451
2021-05-13,2637803
2021-05-14,2640008
2021-05-15,2642213
2021-05-16,2643312
2021-05-17,2644712
2021-05-18,2646560
2021-05-19,2648940
2021-05-20,2650312
2021-05-21,2651551
2021-05-22,2652657
2021-05-23,2652671
2021-05-24,2652678
total,3115245
