,11,12
2020-11-28,7,14
2020-11-29,7,14
2020-11-30,7,14
2020-12-01,21,21
2020-12-02,21,28
2020-12-03,21,28
2020-12-04,21,28
2020-12-05,21,28
2020-12-06,21,28
2020-12-07,28,28
2020-12-08,63,84
2020-12-09,161,210
2020-12-10,308,448
2020-12-11,518,707
2020-12-12,588,777
2020-12-13,602,791
2020-12-14,826,1036
2020-12-15,1078,1316
2020-12-16,1421,1680
2020-12-17,1729,2023
2020-12-18,1995,2317
2020-12-19,2044,2387
2020-12-20,2079,2422
2020-12-21,2233,2604
2020-12-22,2366,2765
2020-12-23,2520,2947
2020-12-24,2639,3115
2020-12-25,2639,3115
2020-12-26,2646,3115
2020-12-27,2653,3122
2020-12-28,2660,3129
2020-12-29,2758,3241
2020-12-30,2835,3360
2020-12-31,2933,3479
2021-01-01,2975,3507
2021-01-02,3017,3556
2021-01-03,3024,3577
2021-01-04,3311,3906
2021-01-05,3710,4452
2021-01-06,4116,4914
2021-01-07,4564,5327
2021-01-08,5019,5803
2021-01-09,5124,5964
2021-01-10,5187,6013
2021-01-11,5775,6664
2021-01-12,6475,7399
2021-01-13,7231,8190
2021-01-14,7959,8911
2021-01-15,8582,9492
2021-01-16,8715,9618
2021-01-17,8792,9695
2021-01-18,9709,10521
2021-01-19,10514,11319
2021-01-20,11165,11977
2021-01-21,11704,12579
2021-01-22,12187,13090
2021-01-23,12250,13167
2021-01-24,12299,13223
2021-01-25,13055,14007
2021-01-26,13888,14756
2021-01-27,14574,15407
2021-01-28,15071,15925
2021-01-29,15477,16387
2021-01-30,15533,16450
2021-01-31,15568,16471
2021-02-01,16044,17031
2021-02-02,16702,17626
2021-02-03,17241,18179
2021-02-04,17745,18641
2021-02-05,18249,19166
2021-02-06,18347,19257
2021-02-07,18375,19292
2021-02-08,19096,19985
2021-02-09,19775,20650
2021-02-10,20335,21196
2021-02-11,20811,21672
2021-02-12,21182,22085
2021-02-13,21196,22106
2021-02-14,21217,22127
2021-02-15,21462,22358
2021-02-16,21672,22561
2021-02-17,21854,22764
2021-02-18,22029,22932
2021-02-19,22141,23086
2021-02-20,22155,23093
2021-02-21,22155,23100
2021-02-22,22288,23240
2021-02-23,22449,23436
2021-02-24,22554,23576
2021-02-25,22638,23688
2021-02-26,22722,23793
2021-02-27,22736,23800
2021-02-28,22743,23807
2021-03-01,22869,23940
2021-03-02,23009,24080
2021-03-03,23163,24234
2021-03-04,23324,24395
2021-03-05,23422,24507
2021-03-06,23436,24535
2021-03-07,23450,24542
2021-03-08,23576,24654
2021-03-09,23723,24808
2021-03-10,23849,24934
2021-03-11,23982,25074
2021-03-12,24073,25144
2021-03-13,24073,25151
2021-03-14,24080,25165
2021-03-15,24192,25291
2021-03-16,24304,25410
2021-03-17,24409,25501
2021-03-18,24514,25606
2021-03-19,24612,25669
2021-03-20,24626,25676
2021-03-21,24633,25676
2021-03-22,24752,25760
2021-03-23,24864,25886
2021-03-24,24997,25984
2021-03-25,25095,26075
2021-03-26,25144,26110
2021-03-27,25144,26124
2021-03-28,25158,26124
2021-03-29,25193,26180
2021-03-30,25270,26250
2021-03-31,25319,26285
2021-04-01,25361,26334
2021-04-02,25368,26334
2021-04-03,25368,26334
2021-04-04,25368,26334
2021-04-05,25368,26334
2021-04-06,25403,26369
2021-04-07,25438,26411
2021-04-08,25487,26474
2021-04-09,25522,26502
2021-04-10,25550,26530
2021-04-11,25550,26530
2021-04-12,25606,26572
2021-04-13,25676,26628
2021-04-14,25697,26649
2021-04-15,25725,26684
2021-04-16,25746,26712
2021-04-17,25746,26712
2021-04-18,25746,26712
2021-04-19,25767,26726
2021-04-20,25781,26754
2021-04-21,25809,26782
2021-04-22,25830,26803
2021-04-23,25872,26831
2021-04-24,25879,26831
2021-04-25,25879,26831
2021-04-26,25900,26859
2021-04-27,25928,26894
2021-04-28,25963,26929
2021-04-29,25984,26936
2021-04-30,26019,26964
2021-05-01,26019,26964
2021-05-02,26019,26964
2021-05-03,26019,26964
2021-05-04,26040,26992
2021-05-05,26054,26999
2021-05-06,26075,27027
2021-05-07,26096,27055
2021-05-08,26103,27055
2021-05-09,26110,27055
2021-05-10,26117,27069
2021-05-11,26159,27111
2021-05-12,26187,27118
2021-05-13,26208,27146
2021-05-14,26229,27174
2021-05-15,26229,27174
2021-05-16,26229,27181
2021-05-17,26257,27195
2021-05-18,26299,27230
2021-05-19,26320,27244
2021-05-20,26327,27265
2021-05-21,26355,27300
2021-05-22,26362,27300
2021-05-23,26362,27300
2021-05-24,26376,27314
2021-05-25,26397,27314
2021-05-26,26411,27328
total,1363397,1215473
