,5,6,7
2020-11-29,0,0,0
2020-11-30,7,0,7
2020-12-01,21,7,14
2020-12-02,21,7,14
2020-12-03,21,14,14
2020-12-04,21,14,14
2020-12-05,21,14,14
2020-12-06,28,14,14
2020-12-07,35,21,14
2020-12-08,504,434,259
2020-12-09,1232,1204,798
2020-12-10,2037,1967,1379
2020-12-11,2947,2800,1967
2020-12-12,3717,3514,2422
2020-12-13,4228,3955,2758
2020-12-14,5061,4781,3290
2020-12-15,6580,6279,4221
2020-12-16,8407,8106,5397
2020-12-17,10738,10374,7042
2020-12-18,13076,12684,8540
2020-12-19,15001,14623,9912
2020-12-20,17570,17318,11760
2020-12-21,20790,20552,13902
2020-12-22,23821,23499,15806
2020-12-23,27216,26887,18116
2020-12-24,28854,28462,19236
2020-12-25,28875,28469,19243
2020-12-26,29036,28623,19320
2020-12-27,29477,29064,19600
2020-12-28,30282,29736,20104
2020-12-29,32809,32060,21749
2020-12-30,37961,36876,25172
2020-12-31,42847,41482,28147
2021-01-01,44345,42791,29085
2021-01-02,46032,44366,30163
2021-01-03,47362,45570,30947
2021-01-04,49945,47936,32438
2021-01-05,55013,52542,35406
2021-01-06,61684,58828,39746
2021-01-07,70819,67921,45941
2021-01-08,80773,77861,52626
2021-01-09,89215,85995,58240
2021-01-10,94654,91070,61530
2021-01-11,102438,98329,66108
2021-01-12,111874,107541,71806
2021-01-13,122458,117621,78505
2021-01-14,133924,128723,85925
2021-01-15,146727,140840,94136
2021-01-16,156947,150626,100716
2021-01-17,163968,157227,105119
2021-01-18,172837,165613,110705
2021-01-19,182588,174916,117075
2021-01-20,193200,185017,123865
2021-01-21,204484,195720,131257
2021-01-22,216769,207382,139496
2021-01-23,226450,216776,146391
2021-01-24,232169,222376,150556
2021-01-25,239225,229285,155127
2021-01-26,247422,236957,160573
2021-01-27,255654,244762,166243
2021-01-28,263991,252546,172158
2021-01-29,273056,261261,178794
2021-01-30,280336,268352,184380
2021-01-31,285670,273175,188958
2021-02-01,290885,278159,193935
2021-02-02,296898,283885,199878
2021-02-03,303198,290255,206801
2021-02-04,309946,296947,213605
2021-02-05,316834,303814,220640
2021-02-06,323295,310828,226870
2021-02-07,326690,314930,230559
2021-02-08,330932,319095,234353
2021-02-09,336245,324149,240009
2021-02-10,341992,329896,247821
2021-02-11,348341,337057,258734
2021-02-12,356454,346150,274225
2021-02-13,365253,356048,290563
2021-02-14,370188,362194,299838
2021-02-15,375781,368697,308560
2021-02-16,384923,380366,326683
2021-02-17,399238,398839,356272
2021-02-18,413609,417375,382669
2021-02-19,426405,433706,404152
2021-02-20,439852,449995,425061
2021-02-21,445508,455763,432733
2021-02-22,452445,464205,442960
2021-02-23,466228,480942,465738
2021-02-24,485009,504616,507451
2021-02-25,506205,530194,560021
2021-02-26,526995,556948,621845
2021-02-27,545762,579495,677068
2021-02-28,554414,588364,712789
2021-03-01,562513,596372,752864
2021-03-02,571655,606277,802620
2021-03-03,583163,620333,864444
2021-03-04,600845,641123,943607
2021-03-05,622860,669851,1029637
2021-03-06,644462,702317,1119132
2021-03-07,651476,717906,1166179
2021-03-08,660184,736309,1224237
2021-03-09,669291,763987,1277080
2021-03-10,680792,805511,1329762
2021-03-11,694995,855120,1378335
2021-03-12,725123,927451,1437408
2021-03-13,792162,1039619,1514065
2021-03-14,821583,1102360,1551739
2021-03-15,861763,1214801,1593949
2021-03-16,930769,1339310,1631378
2021-03-17,1027264,1459556,1663403
2021-03-18,1180767,1577303,1693818
2021-03-19,1372000,1713201,1728573
2021-03-20,1641507,1865486,1767892
2021-03-21,1742650,1939021,1783488
2021-03-22,1834420,2000691,1796557
2021-03-23,1922676,2052008,1807995
2021-03-24,2007334,2098453,1819272
2021-03-25,2093686,2141762,1830626
2021-03-26,2184406,2189201,1842120
2021-03-27,2299059,2243276,1855917
2021-03-28,2352791,2271416,1862063
2021-03-29,2395701,2292892,1867390
2021-03-30,2432780,2310826,1872325
2021-03-31,2469005,2329166,1877057
2021-04-01,2482942,2341759,1879920
2021-04-02,2490824,2350628,1881565
2021-04-03,2501072,2360694,1883574
2021-04-04,2504516,2364712,1884302
2021-04-05,2506287,2366784,1884750
2021-04-06,2511131,2370543,1885919
2021-04-07,2516983,2374260,1887424
2021-04-08,2522065,2377501,1888880
2021-04-09,2528974,2381652,1890504
2021-04-10,2536415,2385740,1891995
2021-04-11,2539712,2387287,1892681
2021-04-12,2541966,2388547,1893248
2021-04-13,2544199,2389870,1893878
2021-04-14,2546488,2391207,1894522
2021-04-15,2548847,2392600,1895145
2021-04-16,2551276,2394063,1895803
2021-04-17,2553999,2395582,1896489
2021-04-18,2555308,2396282,1896776
2021-04-19,2556533,2397073,1897161
2021-04-20,2557982,2397906,1897595
2021-04-21,2559662,2398872,1898078
2021-04-22,2561440,2399943,1898575
2021-04-23,2563498,2401091,1899114
2021-04-24,2565703,2402379,1899688
2021-04-25,2566739,2402967,1899961
2021-04-26,2567838,2403646,1900283
2021-04-27,2569028,2404472,1900647
2021-04-28,2570421,2405340,1901011
2021-04-29,2571919,2406236,1901445
2021-04-30,2573585,2407125,1901900
2021-05-01,2575132,2408056,1902271
2021-05-02,2575867,2408462,1902446
2021-05-03,2576315,2408735,1902572
2021-05-04,2577253,2409253,1902831
2021-05-05,2578352,2409918,1903202
2021-05-06,2579591,2410639,1903587
2021-05-07,2580879,2411367,1903986
2021-05-08,2582559,2412319,1904490
2021-05-09,2583399,2412816,1904700
2021-05-10,2584337,2413369,1905001
2021-05-11,2585688,2414160,1905421
2021-05-12,2587291,2415154,1905918
2021-05-13,2589027,2416232,1906506
2021-05-14,2590931,2417380,1907129
2021-05-15,2593115,2418696,1907794
2021-05-16,2594200,2419284,1908123
2021-05-17,2595138,2419823,1908487
2021-05-18,2596664,2420740,1908984
2021-05-19,2598701,2421916,1909635
2021-05-20,2600647,2423064,1910328
2021-05-21,2602355,2424072,1910888
2021-05-22,2604084,2425087,1911462
2021-05-23,2604476,2425304,1911581
2021-05-24,2604854,2425507,1911728
2021-05-25,2605316,2425836,1911868
2021-05-26,2605862,2426235,1912043
total,3114629,2804333,2152038
