,6
2020-11-28,1179612
2020-11-29,1179605
2020-11-30,1179605
2020-12-01,1179605
2020-12-02,1179605
2020-12-03,1179605
2020-12-04,1179605
2020-12-05,1179605
2020-12-06,1179605
2020-12-07,1179605
2020-12-08,1179395
2020-12-09,1179052
2020-12-10,1178765
2020-12-11,1178464
2020-12-12,1178142
2020-12-13,1177904
2020-12-14,1177568
2020-12-15,1177008
2020-12-16,1176252
2020-12-17,1175363
2020-12-18,1174537
2020-12-19,1173816
2020-12-20,1172766
2020-12-21,1171443
2020-12-22,1170372
2020-12-23,1168993
2020-12-24,1168335
2020-12-25,1168328
2020-12-26,1168307
2020-12-27,1168097
2020-12-28,1167824
2020-12-29,1166991
2020-12-30,1164891
2020-12-31,1162826
2021-01-01,1162308
2021-01-02,1161706
2021-01-03,1161258
2021-01-04,1160341
2021-01-05,1158507
2021-01-06,1156022
2021-01-07,1152242
2021-01-08,1148287
2021-01-09,1144724
2021-01-10,1142687
2021-01-11,1139614
2021-01-12,1135701
2021-01-13,1131403
2021-01-14,1126629
2021-01-15,1121337
2021-01-16,1116801
2021-01-17,1113700
2021-01-18,1110123
2021-01-19,1106070
2021-01-20,1101534
2021-01-21,1096970
2021-01-22,1091846
2021-01-23,1087702
2021-01-24,1085175
2021-01-25,1082137
2021-01-26,1078791
2021-01-27,1075592
2021-01-28,1072281
2021-01-29,1068592
2021-01-30,1065603
2021-01-31,1063461
2021-02-01,1061438
2021-02-02,1059135
2021-02-03,1056545
2021-02-04,1053836
2021-02-05,1051148
2021-02-06,1048635
2021-02-07,1047074
2021-02-08,1045639
2021-02-09,1043714
2021-02-10,1041474
2021-02-11,1038464
2021-02-12,1034873
2021-02-13,1031415
2021-02-14,1029231
2021-02-15,1026907
2021-02-16,1022525
2021-02-17,1015371
2021-02-18,1008434
2021-02-19,1002477
2021-02-20,996842
2021-02-21,994420
2021-02-22,991312
2021-02-23,984844
2021-02-24,976675
2021-02-25,966945
2021-02-26,956186
2021-02-27,948066
2021-02-28,944405
2021-03-01,941241
2021-03-02,937314
2021-03-03,930419
2021-03-04,921473
2021-03-05,909818
2021-03-06,897344
2021-03-07,892493
2021-03-08,885612
2021-03-09,874083
2021-03-10,857990
2021-03-11,837830
2021-03-12,806302
2021-03-13,754068
2021-03-14,725718
2021-03-15,673680
2021-03-16,614355
2021-03-17,559608
2021-03-18,505764
2021-03-19,447216
2021-03-20,380142
2021-03-21,348152
2021-03-22,320397
2021-03-23,295820
2021-03-24,274967
2021-03-25,256046
2021-03-26,235774
2021-03-27,213528
2021-03-28,200837
2021-03-29,190939
2021-03-30,182693
2021-03-31,174916
2021-04-01,169624
2021-04-02,165382
2021-04-03,160720
2021-04-04,158445
2021-04-05,157437
2021-04-06,155764
2021-04-07,153699
2021-04-08,152019
2021-04-09,149842
2021-04-10,147952
2021-04-11,147301
2021-04-12,146594
2021-04-13,145859
2021-04-14,145089
2021-04-15,144333
2021-04-16,143626
2021-04-17,142968
2021-04-18,142653
2021-04-19,142135
2021-04-20,141722
2021-04-21,141134
2021-04-22,140574
2021-04-23,140049
2021-04-24,139510
2021-04-25,139237
2021-04-26,138677
2021-04-27,138054
2021-04-28,137578
2021-04-29,137130
2021-04-30,136640
2021-05-01,136318
2021-05-02,136122
2021-05-03,135982
2021-05-04,135730
2021-05-05,135310
2021-05-06,134883
2021-05-07,134463
2021-05-08,134078
2021-05-09,133882
2021-05-10,133574
2021-05-11,133119
2021-05-12,132566
2021-05-13,131817
2021-05-14,131306
2021-05-15,130809
2021-05-16,130557
2021-05-17,130221
2021-05-18,129759
2021-05-19,129199
total,1179612
