,5,6,7
2020-11-28,1297807,1178968,914893
2020-11-29,1297807,1178961,914886
2020-11-30,1297807,1178961,914886
2020-12-01,1297800,1178961,914879
2020-12-02,1297800,1178961,914879
2020-12-03,1297800,1178961,914879
2020-12-04,1297800,1178961,914879
2020-12-05,1297800,1178961,914879
2020-12-06,1297800,1178961,914879
2020-12-07,1297800,1178961,914879
2020-12-08,1297590,1178751,914767
2020-12-09,1297247,1178408,914508
2020-12-10,1296967,1178128,914270
2020-12-11,1296610,1177820,914032
2020-12-12,1296267,1177498,913843
2020-12-13,1296001,1177267,913661
2020-12-14,1295686,1176924,913430
2020-12-15,1295140,1176364,913080
2020-12-16,1294412,1175608,912625
2020-12-17,1293544,1174719,911988
2020-12-18,1292669,1173893,911442
2020-12-19,1292004,1173172,910917
2020-12-20,1291045,1172122,910252
2020-12-21,1289750,1170799,909398
2020-12-22,1288595,1169735,908691
2020-12-23,1287237,1168349,907732
2020-12-24,1286551,1167691,907242
2020-12-25,1286551,1167691,907242
2020-12-26,1286516,1167663,907228
2020-12-27,1286320,1167453,907095
2020-12-28,1285956,1167187,906850
2020-12-29,1285025,1166354,906255
2020-12-30,1282848,1164247,904792
2020-12-31,1280748,1162182,903462
2021-01-01,1280153,1161671,903105
2021-01-02,1279495,1161069,902713
2021-01-03,1278970,1160621,902391
2021-01-04,1278011,1159704,901789
2021-01-05,1276002,1157870,900613
2021-01-06,1273419,1155385,898842
2021-01-07,1269653,1151612,896238
2021-01-08,1265572,1147650,893599
2021-01-09,1261946,1144080,891261
2021-01-10,1259699,1142050,889994
2021-01-11,1256409,1138970,888125
2021-01-12,1252293,1135057,885787
2021-01-13,1247757,1130773,883092
2021-01-14,1242780,1125992,879984
2021-01-15,1237103,1120693,876512
2021-01-16,1232343,1116157,873537
2021-01-17,1229032,1113049,871514
2021-01-18,1225189,1109479,869183
2021-01-19,1220877,1105426,866376
2021-01-20,1216320,1100890,863401
2021-01-21,1211343,1096326,860244
2021-01-22,1205708,1091195,856534
2021-01-23,1201326,1087051,853545
2021-01-24,1198652,1084517,851592
2021-01-25,1195460,1081486,849611
2021-01-26,1191855,1078133,847245
2021-01-27,1188320,1074941,844998
2021-01-28,1184750,1071630,842653
2021-01-29,1180963,1067941,839832
2021-01-30,1177897,1064952,837613
2021-01-31,1175566,1062810,835912
2021-02-01,1173382,1060794,834316
2021-02-02,1170953,1058491,832426
2021-02-03,1168426,1055901,830284
2021-02-04,1165549,1053192,827981
2021-02-05,1162756,1050504,825608
2021-02-06,1160222,1047998,823403
2021-02-07,1158696,1046430,821975
2021-02-08,1157142,1044995,820673
2021-02-09,1155231,1043070,818811
2021-02-10,1153110,1040830,815927
2021-02-11,1150492,1037827,811895
2021-02-12,1147062,1034236,806687
2021-02-13,1143681,1030778,801185
2021-02-14,1141623,1028594,798406
2021-02-15,1139418,1026263,795424
2021-02-16,1135729,1021888,787801
2021-02-17,1130031,1014741,776426
2021-02-18,1124375,1007804,766325
2021-02-19,1119622,1001854,757477
2021-02-20,1114701,996219,748545
2021-02-21,1112475,993797,744401
2021-02-22,1109549,990696,739977
2021-02-23,1103977,984228,730884
2021-02-24,1097012,976073,713433
2021-02-25,1089242,966343,690963
2021-02-26,1081199,955598,663873
2021-02-27,1074640,947485,641158
2021-02-28,1071434,943824,625184
2021-03-01,1068599,940667,608398
2021-03-02,1065134,936740,587041
2021-03-03,1060164,929838,559356
2021-03-04,1053171,920906,521437
2021-03-05,1045898,909244,484267
2021-03-06,1037785,896777,445081
2021-03-07,1035510,891919,425194
2021-03-08,1033074,885038,401044
2021-03-09,1029609,873509,379344
2021-03-10,1025444,857430,356804
2021-03-11,1019690,837277,334866
2021-03-12,1005753,805763,306012
2021-03-13,974099,753529,270025
2021-03-14,962843,725186,251251
2021-03-15,947541,673162,230419
2021-03-16,919331,613851,212177
2021-03-17,875217,559125,197099
2021-03-18,803873,505288,181881
2021-03-19,729176,446775,165550
2021-03-20,607005,379722,148302
2021-03-21,562436,347746,141155
2021-03-22,521577,320005,134659
2021-03-23,480536,295449,129017
2021-03-24,442771,274617,123410
2021-03-25,404887,255710,118314
2021-03-26,365477,235452,113022
2021-03-27,315952,213213,107079
2021-03-28,292376,200522,104300
2021-03-29,273861,190638,101612
2021-03-30,257922,182399,99218
2021-03-31,241822,174622,97167
2021-04-01,234787,169330,95858
2021-04-02,230678,165088,95144
2021-04-03,225974,160433,94255
2021-04-04,224112,158158,93863
2021-04-05,223300,157150,93646
2021-04-06,221270,155484,93100
2021-04-07,218386,153412,92127
2021-04-08,215677,151746,91259
2021-04-09,212142,149569,90356
2021-04-10,208607,147686,89684
2021-04-11,207123,147035,89404
