,0,1,2,3
2020-11-29,0,0,0,7
2020-11-30,0,7,0,7
2020-12-01,0,21,7,14
2020-12-02,0,21,7,14
2020-12-03,0,21,7,14
2020-12-04,0,28,7,14
2020-12-05,7,28,7,14
2020-12-06,7,28,7,14
2020-12-07,7,28,7,21
2020-12-08,651,672,441,546
2020-12-09,1848,2331,1162,1491
2020-12-10,3094,4466,1932,2296
2020-12-11,4410,6489,2688,3185
2020-12-12,5880,7952,3458,4046
2020-12-13,6986,9261,3934,4725
2020-12-14,8435,11396,4599,5607
2020-12-15,10731,33313,5733,7056
2020-12-16,13552,69468,7063,8995
2020-12-17,16884,102130,8680,11389
2020-12-18,20139,123984,10283,13622
2020-12-19,22925,150213,11543,15547
2020-12-20,26649,173131,13139,18207
2020-12-21,31304,187432,15274,21665
2020-12-22,35546,213199,17360,24598
2020-12-23,41216,232344,19901,28294
2020-12-24,44107,237230,21077,30128
2020-12-25,44135,237237,21091,30142
2020-12-26,44317,237251,21133,30205
2020-12-27,45283,237531,21441,30751
2020-12-28,46935,238203,21980,31626
2020-12-29,51072,247653,23555,33978
2020-12-30,60242,274372,27531,39718
2020-12-31,69174,294406,31388,45213
2021-01-01,71589,298284,32396,46669
2021-01-02,74732,301805,33446,48314
2021-01-03,77469,303716,34286,49609
2021-01-04,82215,305774,35868,52073
2021-01-05,90713,310317,38829,57092
2021-01-06,102221,322385,42833,63924
2021-01-07,118573,371672,49161,74060
2021-01-08,136248,432110,56315,84735
2021-01-09,151991,484456,62601,94262
2021-01-10,162449,507444,66101,99813
2021-01-11,177492,523257,71540,108052
2021-01-12,196112,561456,78267,118405
2021-01-13,216412,622160,85757,129906
2021-01-14,238679,686896,94003,142758
2021-01-15,263543,767781,104216,157206
2021-01-16,285250,851158,112875,169477
2021-01-17,300895,886858,118258,177919
2021-01-18,319130,913654,124628,187656
2021-01-19,339640,995806,133077,198814
2021-01-20,362495,1092203,143297,210882
2021-01-21,385686,1191015,155372,223573
2021-01-22,411607,1337588,171444,238035
2021-01-23,432719,1490755,186179,249557
2021-01-24,445361,1542828,193886,256704
2021-01-25,460698,1589322,201810,264901
2021-01-26,478303,1651755,212597,274204
2021-01-27,494872,1712655,223923,283157
2021-01-28,511833,1810606,240870,292376
2021-01-29,529984,1951950,260246,302645
2021-01-30,544579,2097501,282422,310919
2021-01-31,555828,2180689,295792,317086
2021-02-01,566335,2254595,309645,322854
2021-02-02,577458,2339029,327628,329462
2021-02-03,589708,2446556,353199,336700
2021-02-04,602910,2559599,384118,344561
2021-02-05,615636,2666524,415828,352387
2021-02-06,626794,2803766,463463,359632
2021-02-07,633444,2873241,485212,364154
2021-02-08,640493,2937795,506849,368382
2021-02-09,649180,3029264,534933,374003
2021-02-10,658959,3124821,565922,381150
2021-02-11,670537,3237255,602616,390712
2021-02-12,683886,3351894,640304,402787
2021-02-13,698446,3472105,676648,415079
2021-02-14,706489,3519642,691971,422093
2021-02-15,715932,3569993,707420,429380
