,False
2020-11-28,10089604
2020-11-29,10089590
2020-11-30,10089569
2020-12-01,10089436
2020-12-02,10089422
2020-12-03,10089415
2020-12-04,10089408
2020-12-05,10089401
2020-12-06,10089394
2020-12-07,10089359
2020-12-08,10087189
2020-12-09,10083829
2020-12-10,10079027
2020-12-11,10074211
2020-12-12,10071047
2020-12-13,10069332
2020-12-14,10063998
2020-12-15,10017665
2020-12-16,9936682
2020-12-17,9860018
2020-12-18,9802240
2020-12-19,9730063
2020-12-20,9674651
2020-12-21,9638706
2020-12-22,9577141
2020-12-23,9526811
2020-12-24,9513952
2020-12-25,9513882
2020-12-26,9513728
2020-12-27,9513238
2020-12-28,9512048
2020-12-29,9489606
2020-12-30,9427922
2020-12-31,9381673
2021-01-01,9370305
2021-01-02,9356732
2021-01-03,9352798
2021-01-04,9347982
2021-01-05,9333107
2021-01-06,9303021
2021-01-07,9182698
2021-01-08,9025744
2021-01-09,8892093
2021-01-10,8834798
2021-01-11,8790922
2021-01-12,8701280
2021-01-13,8547056
2021-01-14,8368661
2021-01-15,8157142
2021-01-16,7966182
2021-01-17,7883281
2021-01-18,7815129
2021-01-19,7616854
2021-01-20,7409108
2021-01-21,7169015
2021-01-22,6834212
2021-01-23,6497183
2021-01-24,6374347
2021-01-25,6260751
2021-01-26,6123362
2021-01-27,5985007
2021-01-28,5758165
2021-01-29,5413184
2021-01-30,5073726
2021-01-31,4878461
2021-02-01,4694788
2021-02-02,4490192
2021-02-03,4242196
2021-02-04,3979703
2021-02-05,3714606
2021-02-06,3409518
2021-02-07,3262077
2021-02-08,3104325
2021-02-09,2900989
2021-02-10,2680993
2021-02-11,2423960
2021-02-12,2154509
2021-02-13,1889419
2021-02-14,1789704
2021-02-15,1677872
2021-02-16,1537886
2021-02-17,1391397
2021-02-18,1266629
2021-02-19,1178044
2021-02-20,1102731
2021-02-21,1075837
2021-02-22,1036133
2021-02-23,987161
2021-02-24,926044
2021-02-25,864367
2021-02-26,808479
2021-02-27,770427
2021-02-28,753109
2021-03-01,736925
2021-03-02,719180
2021-03-03,698663
2021-03-04,672518
2021-03-05,644378
2021-03-06,621733
2021-03-07,615671
2021-03-08,603568
2021-03-09,591486
2021-03-10,579537
2021-03-11,567910
2021-03-12,553924
2021-03-13,539056
2021-03-14,532000
2021-03-15,521031
2021-03-16,510363
2021-03-17,500955
2021-03-18,491099
2021-03-19,481663
2021-03-20,472717
2021-03-21,469588
2021-03-22,464240
2021-03-23,457849
2021-03-24,451556
2021-03-25,444696
2021-03-26,438466
2021-03-27,432460
2021-03-28,429926
2021-03-29,425698
2021-03-30,421127
2021-03-31,416283
2021-04-01,412706
2021-04-02,411229
2021-04-03,409773
2021-04-04,409297
2021-04-05,408905
2021-04-06,406798
2021-04-07,403970
2021-04-08,401142
2021-04-09,398132
2021-04-10,395913
2021-04-11,394996
2021-04-12,393351
2021-04-13,391412
2021-04-14,389452
2021-04-15,387394
2021-04-16,385112
2021-04-17,383775
2021-04-18,383222
2021-04-19,382011
2021-04-20,380478
2021-04-21,378847
2021-04-22,377146
2021-04-23,375354
2021-04-24,374199
2021-04-25,373625
2021-04-26,372442
2021-04-27,371084
2021-04-28,369663
2021-04-29,368158
2021-04-30,366646
2021-05-01,365855
2021-05-02,365547
2021-05-03,365246
2021-05-04,364406
2021-05-05,363244
2021-05-06,361998
2021-05-07,360752
2021-05-08,359905
2021-05-09,359527
2021-05-10,358708
2021-05-11,357378
2021-05-12,356013
2021-05-13,354564
2021-05-14,353290
2021-05-15,352401
2021-05-16,351981
2021-05-17,351232
2021-05-18,350091
2021-05-19,348747
2021-05-20,347928
2021-05-21,347298
2021-05-22,346934
2021-05-23,346927
2021-05-24,346906
total,10089709
