,5,6,7
2020-11-28,0,0,0
2020-11-29,0,7,7
2020-11-30,0,7,7
2020-12-01,0,7,7
2020-12-02,0,7,7
2020-12-03,0,7,7
2020-12-04,7,7,7
2020-12-05,7,7,7
2020-12-06,7,7,7
2020-12-07,7,7,14
2020-12-08,210,217,126
2020-12-09,553,560,385
2020-12-10,840,847,623
2020-12-11,1197,1148,861
2020-12-12,1540,1470,1050
2020-12-13,1806,1708,1232
2020-12-14,2121,2044,1463
2020-12-15,2660,2604,1813
2020-12-16,3388,3360,2268
2020-12-17,4263,4249,2905
2020-12-18,5131,5075,3451
2020-12-19,5803,5796,3983
2020-12-20,6762,6846,4641
2020-12-21,8057,8169,5495
2020-12-22,9212,9240,6202
2020-12-23,10563,10619,7168
2020-12-24,11249,11277,7658
2020-12-25,11256,11284,7658
2020-12-26,11284,11305,7665
2020-12-27,11480,11515,7798
2020-12-28,11844,11788,8043
2020-12-29,12775,12621,8638
2020-12-30,14952,14721,10101
2020-12-31,17059,16786,11431
2021-01-01,17647,17304,11788
2021-01-02,18312,17906,12180
2021-01-03,18830,18354,12502
2021-01-04,19796,19271,13104
2021-01-05,21805,21105,14280
2021-01-06,24388,23590,16051
2021-01-07,28154,27370,18655
2021-01-08,32228,31325,21294
2021-01-09,35861,34888,23632
2021-01-10,38101,36925,24899
2021-01-11,41398,39998,26775
2021-01-12,45514,43911,29113
2021-01-13,50043,48209,31808
2021-01-14,55020,52983,34909
2021-01-15,60697,58275,38381
2021-01-16,65457,62811,41363
2021-01-17,68761,65912,43393
2021-01-18,72611,69489,45717
2021-01-19,76916,73542,48524
2021-01-20,81473,78078,51499
2021-01-21,86457,82642,54663
2021-01-22,92092,87766,58373
2021-01-23,96474,91910,61362
2021-01-24,99148,94437,63308
2021-01-25,102340,97475,65296
2021-01-26,105938,100821,67662
2021-01-27,109480,104020,69909
2021-01-28,113050,107331,72254
2021-01-29,116837,111020,75075
2021-01-30,119903,114009,77294
2021-01-31,122234,116151,78995
2021-02-01,124418,118174,80591
2021-02-02,126847,120477,82481
2021-02-03,129367,123067,84623
2021-02-04,132244,125776,86919
2021-02-05,135044,128464,89299
2021-02-06,137578,130977,91504
2021-02-07,139104,132538,92939
2021-02-08,140658,133973,94234
2021-02-09,142569,135898,96096
2021-02-10,144690,138138,98987
2021-02-11,147315,141148,103026
2021-02-12,150738,144739,108227
2021-02-13,154126,148197,113736
2021-02-14,156184,150381,116522
2021-02-15,158396,152705,119504
2021-02-16,162085,157087,127134
2021-02-17,167790,164241,138516
2021-02-18,173453,171178,148617
2021-02-19,178199,177135,157472
2021-02-20,183127,182770,166411
2021-02-21,185346,185192,170562
2021-02-22,188272,188300,174986
2021-02-23,193851,194768,184086
2021-02-24,200823,202937,201537
2021-02-25,208593,212667,224014
2021-02-26,216650,223426,251132
2021-02-27,223202,231546,273861
2021-02-28,226415,235207,289828
2021-03-01,229250,238371,306614
2021-03-02,232715,242298,327978
2021-03-03,237692,249193,355663
2021-03-04,244685,258139,393603
2021-03-05,251958,269794,430787
2021-03-06,260064,282268,469987
2021-03-07,262339,287119,489888
2021-03-08,264768,294000,514045
2021-03-09,268233,305529,535752
2021-03-10,272405,321622,558313
2021-03-11,278152,341782,580265
2021-03-12,292082,373310,609126
2021-03-13,323736,425544,645127
2021-03-14,334992,453894,663908
2021-03-15,350294,505932,684754
2021-03-16,378511,565257,703003
2021-03-17,422632,620004,718095
2021-03-18,493955,673848,733320
2021-03-19,568687,732396,749658
2021-03-20,690886,799470,766913
2021-03-21,735469,831460,774067
2021-03-22,776349,859215,780577
2021-03-23,817411,883792,786226
2021-03-24,855190,904645,791833
2021-03-25,893095,923566,796929
2021-03-26,932533,943838,802228
2021-03-27,982072,966084,808171
2021-03-28,1005655,978775,810957
2021-03-29,1024184,988673,813645
2021-03-30,1040137,996919,816039
2021-03-31,1056251,1004696,818090
2021-04-01,1063293,1009988,819406
2021-04-02,1067409,1014230,820120
2021-04-03,1072113,1018892,821009
2021-04-04,1073975,1021167,821401
2021-04-05,1074787,1022175,821618
2021-04-06,1076817,1023848,822164
2021-04-07,1079708,1025913,823144
2021-04-08,1082424,1027593,824019
2021-04-09,1085959,1029770,824922
2021-04-10,1089494,1031660,825594
2021-04-11,1090978,1032311,825881
2021-04-12,1092217,1033018,826231
2021-04-13,1093393,1033753,826637
2021-04-14,1094583,1034523,826966
2021-04-15,1095878,1035279,827365
2021-04-16,1097103,1035986,827701
2021-04-17,1098286,1036644,828037
2021-04-18,1098895,1036959,828156
2021-04-19,1099588,1037477,828450
2021-04-20,1100288,1037890,828737
2021-04-21,1101212,1038478,829087
2021-04-22,1102178,1039038,829374
2021-04-23,1103221,1039563,829689
2021-04-24,1104166,1040102,829927
2021-04-25,1104635,1040375,830074
2021-04-26,1105405,1040935,830277
2021-04-27,1106133,1041558,830585
2021-04-28,1106847,1042034,830816
2021-04-29,1107547,1042482,831047
2021-04-30,1108359,1042972,831243
2021-05-01,1108926,1043294,831383
2021-05-02,1109255,1043490,831460
2021-05-03,1109472,1043630,831509
2021-05-04,1109927,1043882,831642
2021-05-05,1110578,1044302,831866
2021-05-06,1111236,1044729,832118
2021-05-07,1111971,1045149,832349
2021-05-08,1112636,1045534,832552
2021-05-09,1113007,1045730,832643
2021-05-10,1113525,1046038,832790
2021-05-11,1114218,1046493,833028
2021-05-12,1115079,1047046,833336
2021-05-13,1116143,1047795,833721
2021-05-14,1116983,1048306,834015
2021-05-15,1117823,1048803,834267
2021-05-16,1118299,1049055,834407
2021-05-17,1118782,1049391,834603
2021-05-18,1119447,1049853,834869
2021-05-19,1120294,1050413,835177
total,1298423,1179612,915495
