,0,1,2,3
2020-11-28,14,49,21,14
2020-11-29,14,56,28,21
2020-11-30,14,63,28,21
2020-12-01,14,91,28,28
2020-12-02,14,91,28,28
2020-12-03,14,91,35,28
2020-12-04,14,98,35,28
2020-12-05,21,98,35,28
2020-12-06,21,98,35,28
2020-12-07,21,105,35,35
2020-12-08,665,1127,469,560
2020-12-09,1869,3220,1197,1505
2020-12-10,3115,5677,1974,2310
2020-12-11,4438,8015,2751,3213
2020-12-12,5908,9583,3521,4074
2020-12-13,7021,10899,3997,4753
2020-12-14,8463,13335,4662,5635
2020-12-15,10766,35539,5803,7084
2020-12-16,13587,72044,7133,9023
2020-12-17,16919,105049,8750,11424
2020-12-18,20195,127001,10360,13664
2020-12-19,22981,153034,11620,15582
2020-12-20,26712,175924,13216,18249
2020-12-21,31367,190442,15379,21721
2020-12-22,35616,216370,17472,24654
2020-12-23,41293,235753,20020,28357
2020-12-24,44184,240793,21203,30191
2020-12-25,44205,240800,21217,30198
2020-12-26,44387,240821,21259,30268
2020-12-27,45360,241108,21567,30807
2020-12-28,47012,241794,22106,31682
2020-12-29,51170,251356,23709,34041
2020-12-30,60340,278222,27685,39781
2020-12-31,69272,298375,31549,45276
2021-01-01,71694,302407,32613,46746
2021-01-02,74844,305991,33670,48398
2021-01-03,77574,307916,34524,49693
2021-01-04,82327,310331,36127,52171
2021-01-05,90839,315406,39102,57190
2021-01-06,102368,327915,43141,64029
2021-01-07,118741,377713,49490,74179
2021-01-08,136416,438655,56665,84854
2021-01-09,152159,491162,62944,94381
2021-01-10,162617,514178,66451,99932
2021-01-11,177667,530754,71904,108171
2021-01-12,196294,569646,78659,118538
2021-01-13,216601,631239,86198,130053
2021-01-14,238875,696843,94486,142912
2021-01-15,263760,778561,104769,157367
2021-01-16,285467,862092,113428,169638
2021-01-17,301112,897925,118811,178073
2021-01-18,319361,925974,125223,187824
2021-01-19,339878,1009400,133763,198989
2021-01-20,362747,1107001,144109,211064
2021-01-21,385952,1206842,156317,223762
2021-01-22,411887,1354178,172536,238238
2021-01-23,433006,1507443,187306,249753
2021-01-24,445655,1559600,195020,256907
2021-01-25,460992,1607487,203091,265118
2021-01-26,478625,1671607,214116,274442
2021-01-27,495201,1734054,225729,283416
2021-01-28,512183,1833272,242970,292642
2021-01-29,530348,1975862,262731,302932
2021-01-30,544943,2121686,284949,311213
2021-01-31,556199,2204993,298354,317380
2021-02-01,566734,2280733,312767,323183
2021-02-02,577878,2367225,331345,329812
2021-02-03,590149,2476593,357707,337057
2021-02-04,603393,2591568,389431,344946
2021-02-05,616175,2700768,422086,352807
2021-02-06,627347,2838654,470001,360052
2021-02-07,633997,2908269,491806,364574
2021-02-08,641088,2975952,514717,368865
2021-02-09,649838,3071299,544068,374563
2021-02-10,659680,3169803,576149,381801
2021-02-11,671377,3284862,613760,391468
2021-02-12,684887,3401587,652631,403690
2021-02-13,699489,3522064,689234,416031
2021-02-14,707546,3569636,704620,423052
2021-02-15,717276,3621247,721371,430563
2021-02-16,730597,3684884,762881,446257
2021-02-17,749210,3753505,834008,470484
2021-02-18,768509,3807559,902251,493171
2021-02-19,786415,3849433,956277,512722
2021-02-20,804265,3884636,1010058,532210
2021-02-21,812672,3897789,1028090,540995
2021-02-22,823081,3917305,1051722,551453
2021-02-23,841197,3940580,1110935,572586
2021-02-24,864794,3971254,1190070,605157
