,0,1,2,3
2020-11-28,7,77,14,14
2020-11-29,7,77,14,14
2020-11-30,7,84,14,14
2020-12-01,7,98,14,14
2020-12-02,7,105,21,14
2020-12-03,7,112,21,14
2020-12-04,14,112,28,14
2020-12-05,14,119,28,14
2020-12-06,14,119,28,14
2020-12-07,14,133,35,21
2020-12-08,14,231,35,28
2020-12-09,28,483,56,49
2020-12-10,42,875,56,56
2020-12-11,42,1358,63,56
2020-12-12,42,1498,63,63
2020-12-13,42,1526,63,63
2020-12-14,49,2023,63,63
2020-12-15,63,2576,70,70
2020-12-16,98,3304,84,84
2020-12-17,105,3990,91,91
2020-12-18,126,4585,98,105
2020-12-19,126,4711,98,105
2020-12-20,126,4788,98,105
2020-12-21,133,5180,112,112
2020-12-22,147,5509,133,119
2020-12-23,161,5915,154,126
2020-12-24,168,6244,161,133
2020-12-25,168,6251,161,133
2020-12-26,168,6258,161,133
2020-12-27,168,6279,161,133
2020-12-28,168,6307,168,133
2020-12-29,175,6559,189,140
2020-12-30,189,6867,217,147
2020-12-31,196,7140,231,154
2021-01-01,203,7336,287,161
2021-01-02,203,7455,301,168
2021-01-03,203,7497,308,175
2021-01-04,203,8204,336,182
2021-01-05,224,9373,371,189
2021-01-06,252,10479,427,210
2021-01-07,280,11683,462,224
2021-01-08,294,12936,525,266
2021-01-09,301,13286,539,266
2021-01-10,301,13419,553,266
2021-01-11,350,15001,602,301
2021-01-12,371,16933,686,322
2021-01-13,399,19075,770,343
2021-01-14,420,21301,931,364
2021-01-15,462,23226,1064,385
2021-01-16,462,23646,1085,392
2021-01-17,462,23877,1106,392
2021-01-18,644,26838,1302,448
2021-01-19,679,30030,1554,469
2021-01-20,721,33061,1862,497
2021-01-21,756,36113,2219,525
2021-01-22,847,38836,2744,567
2021-01-23,854,39410,2856,581
2021-01-24,854,39697,2884,588
2021-01-25,882,43204,3388,623
2021-01-26,945,47320,4102,665
2021-01-27,980,51254,4886,714
2021-01-28,1050,54985,5894,756
2021-01-29,1120,58639,7084,805
2021-01-30,1127,59388,7294,833
2021-01-31,1141,59703,7399,833
2021-02-01,1225,63973,8820,910
2021-02-02,1323,69013,10535,987
2021-02-03,1407,74025,12628,1050
2021-02-04,1519,79296,14644,1127
2021-02-05,1659,84623,16863,1232
2021-02-06,1673,85673,17269,1239
2021-02-07,1687,86030,17430,1246
2021-02-08,1792,93401,20111,1407
2021-02-09,1953,101276,22708,1624
2021-02-10,2086,107723,24962,1827
2021-02-11,2289,113393,26985,2051
2021-02-12,2660,117978,29288,2415
2021-02-13,2765,118482,29778,2520
2021-02-14,2849,118755,30156,2632
2021-02-15,3479,121961,32900,3192
2021-02-16,4193,124817,36218,3871
2021-02-17,4935,127162,39746,4480
2021-02-18,5656,129283,43456,5229
2021-02-19,6258,130830,46627,5747
2021-02-20,6363,130970,47005,5859
2021-02-21,6412,131019,47166,5887
2021-02-22,7140,132650,50764,6447
2021-02-23,8057,134533,55027,7182
2021-02-24,8925,136367,58709,7924
2021-02-25,9674,137697,62167,8610
2021-02-26,10269,138838,64904,9205
2021-02-27,10374,138999,65254,9282
2021-02-28,10395,139111,65359,9324
2021-03-01,11137,140749,68481,10024
2021-03-02,12215,142527,72464,10892
2021-03-03,13307,144354,76433,12145
2021-03-04,14518,146195,80402,13356
2021-03-05,15540,147623,83748,14518
2021-03-06,15729,147770,84224,14777
2021-03-07,15806,147847,84413,14854
2021-03-08,16968,149814,88130,16457
2021-03-09,18396,152033,92435,18627
2021-03-10,19789,153986,97027,21672
2021-03-11,21371,156100,101388,25312
2021-03-12,22575,157535,104594,28826
2021-03-13,22778,157710,105042,29414
2021-03-14,22876,157794,105182,29631
2021-03-15,24318,159509,108983,34216
2021-03-16,25942,161231,112623,39872
2021-03-17,27608,162722,116193,45731
2021-03-18,29169,164227,119427,50897
2021-03-19,30450,165347,122185,55657
2021-03-20,30709,165550,122696,56616
2021-03-21,30849,165648,122878,57001
2021-03-22,32382,166929,125692,61649
2021-03-23,34440,168714,129521,67578
2021-03-24,36183,170163,132370,72128
2021-03-25,37737,171276,134666,75782
2021-03-26,39165,172095,136689,78743
2021-03-27,39410,172228,136920,79037
2021-03-28,39508,172270,137095,79170
2021-03-29,40509,173005,138901,81662
2021-03-30,41580,173733,140518,83664
2021-03-31,42574,174475,141869,85519
2021-04-01,43477,175091,143220,87164
2021-04-02,43554,175126,143297,87325
2021-04-03,43645,175154,143458,87493
2021-04-04,43680,175175,143514,87598
2021-04-05,43750,175224,143563,87675
2021-04-06,44716,175700,144858,89621
2021-04-07,45731,176274,146265,91700
2021-04-08,46515,176862,147378,93520
2021-04-09,47285,177324,148372,94808
2021-04-10,47397,177436,148456,94920
2021-04-11,47439,177450,148512,94976
2021-04-12,48111,177919,149359,96236
2021-04-13,48986,178458,150374,97615
2021-04-14,50057,178836,151277,98826
2021-04-15,51401,179270,152075,100079
2021-04-16,52549,179718,152859,101094
2021-04-17,52682,179739,152936,101234
2021-04-18,52752,179739,153020,101311
2021-04-19,54068,180054,153727,102333
2021-04-20,55622,180411,154427,103523
2021-04-21,57029,180789,155218,104615
2021-04-22,58660,181237,155925,105602
2021-04-23,60102,181699,156702,106456
2021-04-24,60214,181713,156751,106505
2021-04-25,60270,181741,156814,106554
2021-04-26,61698,182077,157507,107765
2021-04-27,63714,182483,158410,108941
2021-04-28,65513,182805,159243,109676
2021-04-29,67088,183050,159922,110691
2021-04-30,68677,183435,160545,111601
2021-05-01,68824,183470,160580,111650
2021-05-02,68880,183477,160601,111713
2021-05-03,68950,183512,160678,111790
2021-05-04,70301,183715,161294,112532
2021-05-05,71904,184058,162211,113855
2021-05-06,74382,184317,162757,114681
2021-05-07,76384,184681,163485,115486
2021-05-08,76734,184716,163555,115605
2021-05-09,76972,184730,163576,115633
2021-05-10,79604,184982,164507,116459
2021-05-11,82936,185528,165508,117817
2021-05-12,86478,185878,166495,118776
2021-05-13,89726,186263,167433,119931
2021-05-14,92288,186564,168014,120526
2021-05-15,92638,186585,168084,120631
2021-05-16,92883,186620,168154,120708
2021-05-17,95830,186844,168735,121877
2021-05-18,99162,187166,169351,122710
2021-05-19,101899,187390,169918,123417
2021-05-20,103698,187572,170373,123858
2021-05-21,104895,187740,170646,124313
2021-05-22,105147,187747,170667,124488
2021-05-23,105238,187754,170681,124488
2021-05-24,105469,187768,170730,124509
total,23704212,10089709,6311858,8072869
