,decline_per_1000_vacc
0-<10,1047
10-<20,1098
20-<30,623
30-<40,346
40-<50,201
50-<60,127
60-<70,71
70-<80,64
80-<90,48
90-<100,35
100-<200,141
200-<300,23
300-<1000,14
