wave,high_level_ethnicity,Vaccinated,Declined then received,Declined - all,total,per_1000,per_1000_vacc,converted
Other,White,2917852,2968,38717,7142905,0.415517216,1.017186615,76.65883204
Other,Mixed,78113,112,1883,292866,0.382427458,1.433820235,59.4795539
Other,South Asian,481628,588,4739,1330938,0.441793682,1.220859252,124.0768095
Other,Black,124873,294,4557,546140,0.538323507,2.354392062,64.51612903
Other,Other,114590,140,1722,519540,0.269469146,1.221747098,81.30081301
Other,Unknown,1390228,1337,20265,4410448,0.303143808,0.961712755,65.97582038
In care home,White,98686,595,2415,102991,5.777203833,6.029224003,246.3768116
In care home,Mixed,392,0,35,448,0,0,0
In care home,South Asian,1764,28,84,1911,14.65201465,15.87301587,333.3333333
In care home,Black,1512,49,238,1869,26.21722846,32.40740741,205.8823529
In care home,Other,602,14,28,658,21.27659574,23.25581395,500
In care home,Unknown,34608,231,959,36295,6.364513018,6.674757282,240.8759124
80+,White,938644,7749,24794,967701,8.007638723,8.255526057,312.5352908
80+,Mixed,4872,210,861,6132,34.24657534,43.10344828,243.902439
80+,South Asian,38892,1316,3892,44828,29.35665209,33.83729302,338.1294964
80+,Black,19586,1694,6160,27468,61.67176351,86.49035025,275
80+,Other,5663,189,756,7091,26.65350444,33.37453646,250
80+,Unknown,387863,4130,15638,412636,10.00882133,10.64808966,264.1002686
70-79,White,1819832,9569,44597,1886101,5.07342926,5.258177678,214.5660022
70-79,Mixed,9548,161,966,11830,13.60946746,16.86217009,166.6666667
70-79,South Asian,78239,1547,5208,89033,17.37557984,19.77274761,297.0430108
70-79,Black,25998,1274,5635,37051,34.38503684,49.00376952,226.0869565
70-79,Other,13734,245,1344,17465,14.02805611,17.83893986,182.2916667
70-79,Unknown,598444,3717,20972,642054,5.789232681,6.211107472,177.2363151
CEV,White,540596,3591,21637,596477,6.020349485,6.642668462,165.9657069
CEV,Mixed,18158,280,1897,24605,11.37980085,15.42020046,147.601476
CEV,South Asian,139587,1771,6699,165837,10.67916086,12.68742791,264.3678161
CEV,Black,73514,1666,9576,107345,15.52005217,22.66235003,173.9766082
CEV,Other,17528,245,1246,23240,10.54216867,13.97763578,196.6292135
CEV,Unknown,206752,1729,10633,240303,7.195082875,8.362676056,162.6069783
65-69,White,897449,2317,18571,952735,2.431945924,2.581762306,124.7644176
65-69,Mixed,7210,70,511,9254,7.56429652,9.708737864,136.9863014
65-69,South Asian,60739,623,2380,69993,8.900890089,10.25700127,261.7647059
65-69,Black,17626,399,2359,26502,15.05546751,22.6370135,169.1394659
65-69,Other,11270,77,749,15043,5.118659842,6.832298137,102.8037383
65-69,Unknown,317373,1071,9331,354907,3.017691959,3.374578178,114.7786947
At risk,White,1345190,5411,43708,1573950,3.437847454,4.022480096,123.7988469
At risk,Mixed,22750,168,1848,35308,4.758128469,7.384615385,90.90909091
At risk,South Asian,162358,1106,5614,208824,5.296326093,6.812106579,197.0074813
At risk,Black,49182,686,6356,89474,7.667031763,13.94819243,107.9295154
At risk,Other,24150,154,1281,35070,4.391217565,6.376811594,120.2185792
At risk,Unknown,479430,1988,17780,591500,3.360946746,4.146590743,111.8110236
60-64,White,711795,2100,13888,775754,2.707043728,2.950287653,151.2096774
60-64,Mixed,7651,42,406,10493,4.002668446,5.4894785,103.4482759
60-64,South Asian,37674,168,952,46081,3.645754215,4.459308807,176.4705882
60-64,Black,21000,203,1792,33936,5.981848185,9.666666667,113.28125
60-64,Other,10864,56,490,15484,3.616636528,5.154639175,114.2857143
60-64,Unknown,301210,1015,8106,355376,2.856129846,3.36974204,125.2158895
55-59,White,885318,4592,19600,986860,4.65314229,5.18683682,234.2857143
55-59,Mixed,12222,77,609,17388,4.428341385,6.300114548,126.4367816
55-59,South Asian,51289,203,1113,63798,3.181917928,3.957963696,182.3899371
55-59,Black,34440,259,2625,57680,4.490291262,7.520325203,98.66666667
55-59,Other,15841,63,539,22827,2.759889604,3.977021653,116.8831169
55-59,Unknown,392252,2051,11424,476798,4.301612003,5.228781498,179.5343137
50-54,White,925498,3129,19747,1062390,2.945246096,3.380882509,158.4544488
50-54,Mixed,15974,56,707,23170,2.416918429,3.505696757,79.20792079
50-54,South Asian,80815,315,1750,102809,3.063934091,3.897791252,180
50-54,Black,42133,259,2688,72366,3.579028826,6.147200532,96.35416667
50-54,Other,22029,91,742,32515,2.798708288,4.130918335,122.6415094
50-54,Unknown,415632,1568,11501,523544,2.994972724,3.772568041,136.3359708
