,max,min
ast_dat,2021-05-01,1850-01-01
astadm_dat,2021-04-30,1860-01-01
astrxm2_dat,2021-04-10,2021-03-12
astrxm3_dat,2021-03-11,2021-02-10
resp_cov_dat,2021-04-30,1860-01-01
chd_cov_dat,2021-05-01,1850-01-01
ckd_cov_dat,2021-04-30,1860-01-01
ckd15_dat,2021-05-01,1899-12-30
ckd35_dat,2021-05-01,1899-12-30
cld_dat,2021-04-30,1860-01-01
diab_dat,2021-05-08,1860-01-01
immdx_cov_dat,2021-05-01,1860-01-01
immrx_dat,2021-05-11,2020-07-01
cns_cov_dat,2021-05-01,1810-09-09
spln_cov_dat,2021-05-01,1860-01-01
bmi_dat,2021-05-01,1860-01-01
bmi_stage_dat,2021-05-01,1860-01-01
sev_obesity_dat,2021-04-23,1993-03-09
dmres_dat,2021-04-30,1900-01-01
sev_mental_dat,2021-05-01,1860-01-01
smhres_dat,2021-04-30,1900-01-01
shield_dat,2021-05-01,1900-01-01
nonshield_dat,2021-05-01,1900-01-01
learndis_dat,2021-05-01,1900-01-01
covadm1_dat,2021-05-01,2020-12-02
covadm2_dat,2021-05-01,2020-12-29
pfd1rx_dat,2021-05-01,2020-11-30
pfd2rx_dat,2021-05-01,2020-12-28
azd1rx_dat,2021-05-01,2020-12-08
azd2rx_dat,2021-05-05,2021-01-06
covrx1_dat,2021-05-01,2020-11-30
covrx2_dat,2021-05-05,2020-12-28
longres_dat,2021-05-01,1900-01-01
non_eth2001_dat,2021-05-01,1850-01-01
eth_notgiptref_dat,,
eth_notstated_dat,2021-05-01,1850-01-01
eth_norecord_dat,2021-04-30,1860-01-01
preg_dat,2021-05-01,2020-08-31
pregdel_dat,2021-05-01,2020-08-31
covcontra_dat,,
cov1decl_dat,,
cov2decl_dat,,
covdecl_imms_dat,2021-05-01,1990-02-09
covnot_dat,,
covnot_imms_dat,2021-04-30,2020-11-25
covsnomed_dat,,
