,0,1,2,3
2020-11-29,0,0,0,7
2020-11-30,0,14,0,14
2020-12-01,112,133,21,49
2020-12-02,119,140,28,56
2020-12-03,119,147,28,56
2020-12-04,126,147,28,63
2020-12-05,126,154,35,70
2020-12-06,140,154,35,77
2020-12-07,147,175,35,84
2020-12-08,1603,1883,1022,1197
2020-12-09,4466,4655,2611,3241
2020-12-10,8043,8883,4501,5397
2020-12-11,11830,13097,6524,7721
2020-12-12,15470,16093,8267,9667
2020-12-13,17661,17766,9156,10955
2020-12-14,21336,22484,10696,13139
2020-12-15,27342,68103,13608,17094
2020-12-16,34692,148127,16947,21931
2020-12-17,43393,223846,21021,28168
2020-12-18,52346,281057,25172,34314
2020-12-19,60025,353325,28497,39557
2020-12-20,69937,408688,32788,46662
2020-12-21,82320,444129,38234,55258
2020-12-22,94017,505288,43421,63140
2020-12-23,108101,555156,49462,72233
2020-12-24,115094,567644,52290,76559
2020-12-25,115206,567707,52332,76601
2020-12-26,116123,567847,52605,76993
2020-12-27,118517,568302,53354,78141
2020-12-28,122689,569464,54663,80136
2020-12-29,134519,591584,59213,86632
2020-12-30,156996,652904,68740,100023
2020-12-31,177814,698845,77385,112490
2021-01-01,184023,710024,79898,116235
2021-01-02,192213,723464,82852,120582
2021-01-03,198646,727349,84980,123900
2021-01-04,211071,731290,88942,130340
2021-01-05,233702,744891,96691,142968
2021-01-06,264047,773710,107142,160279
2021-01-07,304381,892801,122206,184695
2021-01-08,348824,1048481,139839,211274
2021-01-09,386295,1181810,154973,233464
2021-01-10,412020,1238986,163765,247261
2021-01-11,448350,1281098,176519,266889
2021-01-12,491995,1368745,192129,291235
2021-01-13,540400,1520743,210581,318605
2021-01-14,592557,1696940,231469,348593
2021-01-15,651553,1906492,256004,381717
2021-01-16,699510,2097123,275016,408296
2021-01-17,732354,2179765,286846,426314
2021-01-18,775152,2244921,302575,449162
2021-01-19,822493,2440004,322987,474593
2021-01-20,874832,2644656,348376,502089
2021-01-21,928697,2881921,378350,531461
2021-01-22,986531,3214281,416815,563661
2021-01-23,1033053,3550974,455392,589631
2021-01-24,1060150,3673586,474999,605101
2021-01-25,1094569,3783598,495887,623651
2021-01-26,1133573,3916843,522599,644959
2021-01-27,1173557,4051152,553826,666652
2021-01-28,1213240,4274298,596778,688709
2021-01-29,1256745,4615807,651189,713118
2021-01-30,1291101,4954593,707525,733082
2021-01-31,1315692,5149564,745024,747817
2021-02-01,1340934,5328890,780927,763000
2021-02-02,1368864,5528313,826007,780682
2021-02-03,1398880,5771087,889651,800268
2021-02-04,1429596,6028281,962507,820505
2021-02-05,1460676,6287876,1041159,841309
2021-02-06,1487570,6591900,1150051,861028
2021-02-07,1501878,6738998,1195586,872193
2021-02-08,1519791,6888707,1245517,884394
2021-02-09,1541659,7083685,1310785,900424
2021-02-10,1566649,7296989,1377768,919730
2021-02-11,1594327,7548100,1455468,944153
2021-02-12,1628263,7812630,1542989,976857
2021-02-13,1664684,8077265,1629222,1011906
2021-02-14,1684921,8176742,1665412,1032262
2021-02-15,1709393,8285249,1705312,1053087
2021-02-16,1742909,8422323,1794184,1092021
2021-02-17,1789907,8566390,1948289,1154412
2021-02-18,1838403,8688897,2100497,1213723
2021-02-19,1884274,8775914,2224411,1264340
2021-02-20,1929718,8851129,2353190,1314999
2021-02-21,1950452,8877981,2391963,1334095
2021-02-22,1975155,8916061,2444162,1359708
2021-02-23,2019059,8963164,2574467,1413020
